,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X000100.SZ,X002241.SZ,X002475.SZ,X000338.SZ,X002456.SZ,X002236.SZ,X600118.SH,X600271.SH,X002085.SZ,X600177.SH,X000157.SZ,X600372.SH,X002007.SZ,X300003.SZ,X300124.SZ,X000559.SZ,X600867.SH,X002292.SZ,X002294.SZ,X600089.SH,X002426.SZ,X002180.SZ,X601877.SH,X002506.SZ,X600522.SH,X002074.SZ,X000623.SZ,X002508.SZ,X000981.SZ,X000536.SZ,X600498.SH,X300136.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.067272812145816,0,0.298489086851426,0,0,0,0,0,0.179497331831527,0,0,0,0.0119157675445973,0,0,0.00304776129835423,0,0,0.0808921687483604,0,0.0162957592919214,0,0,0,0.0158705382201286,0,0,0,0,0,0,0,0,0,-0.0687007233054113,0,0,0,0,0,0.0244104681166845,0,0,0,0,0.0565100666271776,0,0,0,0.0033787039796179,0,0,0,0,0,0
X600104.SH,0.000216187544633595,0,0,0,0,0,0.0081266089263154,0,0,0.0619979372140154,0,0,0.812198374302765,0,0.0439145855488664,0,0,0,0,0,0.176253132101625,0,0,0,-0.0839951382066082,0,0,0,0,0,-0.158232209861888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521086026201539,-0.0680603279989597,0,-0.111466831557341,0,-0.0162606310160544,0.170531242318943,0,0,0,0,0
X000651.SZ,0,0.0737636359336266,0,0,0,0,0,0,0,0.650644057021884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298313870307018,0,0,0,0,0.325930455949863,0.126125644641588,0,0,0,-0.255739488579086,0,-0.171006896154811,0.0115380641021015,0.0632192519395651,0,0,0,0,0,0
X002415.SZ,0,0,0.0368574982260179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753646981489951,0.00553461325973794,0,0,0,0.00342966430525157,0,0,0,0,0,0,0,0,0,0,0,0.115531291666533,0,0,0,0,0,0.0473058053297821,0.355290776603281,0,0,0,0,0,0,0,0.00583168172634501,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.195172100665265,0,0.0698954479694467,0.0895169854152087,0,0,0.43432748631223,0,0,0,0,0,0.0776515352095225,0,0,0,0,0,0,0,0,0,0,0,0.049064461023558,0,0,0,0,0,0,0,0,0,0,0,-0.0331254269750136,0,0,0.00797714137551415,0,0.012093318502478,0,0.0130763609510401,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601844313080109,0.0703708623820262,0,0,-0.0481123813466201,0,0,0,0,0.128882198303214,0,0,0,-0.0295379286381779,0,0,0,0.0780735780080616,0,0,-0.00453330752335566,0.0260413484431354,0,0,0,0,0,0,0,0,0,0.150984495589633,-0.0446303447707958,-0.028170571330053,0.0748857159988103,0,0,0.0451569514498454,-0.0185337901799768,0.116193156155439,0,0,0,0,0
X002304.SZ,0,0.222669652915325,0,0,0,0,0,0,0,0,0,0,0.150890567011788,0,0,0,0,0.0357787183810212,0,0.0516625287892271,0,0,0,0,0.0258508152048918,0,0,0,0,3.46944695195361e-18,0.0882190562182969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0719602025237305,0,0.00600086399202808,0,0,0,0,0,0
X000725.SZ,0,0,0.113552348505615,0,0,0,0,0,0,0.0195700310309211,0,0,0,0.0451740545172022,0.0517838875759267,0,0,0.0704091012846514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0553954412211205,0.0436209354760462,0.0298891510065088,0,0.306296089873731,0,0,0.0334872004621747,0,0.079631301935358,-0.0158068540719442,0,0.139020993645216,0,0,0,0,0
X000625.SZ,0,0.186890309931082,0.102068240431922,0,0.227759815912632,0,0,0,0,0,0,0,0.172730644164708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115097371765881,0,0,0.0168026512388562,0,0,0,0,-2.71050543121376e-20,0,0,0.0564303672765801,-0.052712748203322,0,0,0,0,0,0
X000063.SZ,0,0.0594932454323125,0.117674864630562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160242813268225,6.93889390390723e-18,0,0,0,0,0,0.150929810325416,0,0,0,-0.00498100386109074,0,0,0,0,0,0,0,0,0,0.0221828755849681,0,0.143676745510989,0,0,0,0,-0.049793055490995,0,0,0,-0.0217260224762088,0,0,0,0,0,0
X600690.SH,0.0579648977325045,0,0.0443015242511219,0,0.0789754595532269,0,0,0,0,0.150559731384935,0,0,0,0.190678094493238,0,0,0,0.123372927310029,0,0,0,0,0.195401943062168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101141677976813,0,0.0351574238010607,0,0,0.00890330977454915,0,-0.112859892805776,-0.22660096205359,0,0,-0.00822380701263685,0,0,0,0,0,0
X600703.SH,0,0,0,0.0466423969199163,0.0099888131233084,0,0,0,0.11100754773992,0,0,0,0,0.105168740545563,0,0,0,-0.0905337245566637,0,0,0,0,0.262369502472229,0,0,0,0,0,0.0275641278631431,-0.00780844484661377,0,0,0,0,-0.0472782947695288,0.26827620489835,0,8.67361737988404e-19,0.084660349690553,0,0,0,-0.0464014998985453,0,0,0,0,0,0,0,0,-0.0078304489778522,0,0,0,0,0,0
X600741.SH,0,0.51777847821187,0.00961633252662936,0,0,0,0.104769337467269,-0.0423515878205574,0,0,0,0,0,0,0,0.0257117012848431,0,0,0,0,0,0,0,0,-0.0620153992284172,0,0,0,0,0,0,0,0,0,0,0,-0.00271891694558057,-0.0946865026259126,0,0,0,0,0,0,0,0,0,0.0867391504798961,0.0882668792051774,0,-0.011623599376481,0.00287878207445974,0,0,0,0,0,0
