,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X300014.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X002371.SZ,X600031.SH,X000725.SZ,X002241.SZ,X300124.SZ,X600703.SH,X000063.SZ,X003816.SZ,X002129.SZ,X000596.SZ,X000338.SZ,X000625.SZ,X002049.SZ,X000661.SZ,X002179.SZ,X601877.SH,X300142.SZ,X600089.SH,X000100.SZ,X600460.SH,X600741.SH,X002074.SZ,X600702.SH,X000799.SZ,X002236.SZ,X600779.SH,X601799.SH,X600884.SH,X000157.SZ,X000733.SZ,X600584.SH,X002414.SZ,X600563.SH,X002180.SZ,X600522.SH,X600183.SH,X002007.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.497121158091619,0,0,0.0764189068295984,0,0,0,0,0,0,0,0,0,-0.123982700387428,0,0,0,0,0,0,0,0,0,0,0,0,0.00965848919029388,0,0,0,0,0,0,0.0599523959384528,0,0,0,0,0,0,0,0,0,0.00911783148677436,0,-0.00588867441294537,0,0,0,0,0,-0.00508830301729275,0,0,0,0,0,0
X000858.SZ,0,0,0,0.352485496268158,0.139747936290419,0,0,0,0,0,0,0,-0.0162738153963183,0,0,0,0,0,0,-0.150480617179943,0.0209419691865904,0,0,0,0,0.240892743968233,0,0,6.93889390390723e-18,0.0974003914808918,0,0,0,0,0.128177516364456,0,0,0,0.0352620919373921,0,0,0,0,0,-0.00556330954784928,0,0,0,0,0,0,-0.0195141043880562,0.0128354261166942,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.267101086647831,0,0,0,0.063365753975637,0,0,0,-0.054730554523414,0,0,-0.0181796791535625,0,0.0363025347350176,0,0,0,0,0,0,0,0,0,0,0.00795908441389028,0,0,0,0.0730313581884414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110179031330623,0,0,0,0,0.000659607968547289,0,0
X600809.SH,0,0.195474636811599,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093842496117528,0,0,0,0,0,0,0,0,0,0.0166734876395553,0,0,0,0,0,0,0,0,0,0.493575455244166,0,0,0,0,0,0,0,0,-0.0943836617511885,0,-0.0939089665076621,0,0,0,0,0.0217900331051175,-0.0841140405206838,0,0,0,0,0,0
X000568.SZ,0,0.0837733466441523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229110036882653,0,0,0,0,0,0,0,0,0,0,0,0,0.0846174647484611,0.0275103104493419,0,0.272678963740598,0,-0.0364684157586798,0,-0.159224264161093,0,0,0,0,-0.0617704844244858,0,0,0,0,0.025783920936722,0,0,0,0,0,0,0
X600276.SH,0,0,0.0731535341264298,0,0,0,0,0,0,0.193675191848656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087493087338484,0.0255672143034436,-0.156538736416107,0.126037894851328,0,0,0,0,0.151789897192939,0,0,0.141041454290742,0,0,0,-0.217325730775273,0,0,0,-0.0654267431224334,0,0,0.00818845834876482,0,0,0,0,0,0.0143043656968913,0,0,0,0,0,0
X002475.SZ,0,0.00605317755434097,0,0.0827140358631919,0,0,0,0,0,0,0,0,0,0,0,0,0.228410075990148,0.121287541199971,0,0,0,0,0,0,0,0,-0.0756746152759213,-0.0643038667391433,0,-0.00275674966300136,0,0,0.00627784168027829,0,0,0,0,0,0,0,0,-0.0638053486443508,0,0,0,0,0,0,0.0469051832392947,0,0,0.022912797030298,0,0,0,0,0.131389992141908,0,0
X300014.SZ,0,0,-0.288039169492701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750399995881267,0,0,0,0,0,0,0,0,0,0.0361025069984805,0.0103254868376248,0.0271229443010481,0,0,0,0,0.163802601726315,0.154635855877816,0,-0.019508135014958,0,0.105164101212793,0,0,0.0311629634117121,0,0,0,0,0,0,0,0,0,0,0.0837629599287184,0,0,0,0.162898499304844,0,0
X002304.SZ,0,0.167394181792296,0.0897733923840254,0.268749950111637,0,0,0,-0.0287069372030552,0,0.163688252742219,0,0,0,0,0,0,0,0.00194281656782073,0,-0.121369887877857,0,0.00847277109089105,0,0.100274355552561,0,0,0,0,0,0,0,0,0,0,0,0,0.0891370296526507,0.0859947455935618,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.0146867577238537,0,0,0,0,-0.0634650473618202,0,0
X600690.SH,0,0,0,0,0.0514643500718801,0.0680259428810128,0,0.0227069318953045,0,0,0,0,0,0,0,0,0,0,0,-0.0101985828444833,0,0,0,0,0,0,0,0,0,0.00937673864552735,0.214383877642447,-0.129484343655756,0,2.16840434497101e-19,0,0,0,0,0,-0.00377221443848055,0,0,0,0,0.0280031049620646,0,5.42101086242752e-20,0.0809285512484098,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
