,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X002304.SZ,X002475.SZ,X600690.SH,X600104.SH,X600276.SH,X300014.SZ,X000651.SZ,X300124.SZ,X600031.SH,X002129.SZ,X000625.SZ,X003816.SZ,X000725.SZ,X002371.SZ,X002241.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X000338.SZ,X600089.SH,X002179.SZ,X600703.SH,X600741.SH,X002074.SZ,X601877.SH,X300142.SZ,X000661.SZ,X002180.SZ,X000733.SZ,X600522.SH,X600460.SH,X000100.SZ,X600702.SH,X600884.SH,X000799.SZ,X000157.SZ,X000800.SZ,X601799.SH,X002236.SZ,X600584.SH,X002056.SZ,X002176.SZ,X600563.SH,X600779.SH,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.110933228020964,0.0840145582113902,0,0,0.0903219845152474,0,0,0,0,0,0,0,0,0,0,0.119600236159028,0,0,0,0.208739437248762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00139383754105178,-0.0516266194753266,0,0,0,0,0,0
X000858.SZ,0.301035664221859,0,0,0,0.284899763492139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171881738138665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902924071131545,0,0.0606136643519913,0,0,0,0,0,0.00228025608299086,3.46944695195361e-18,0,0.049160626171829,0,0,0.00107882263453868,0,0,0,0,0,0,0
X600809.SH,0,0.404643314829615,0,0.0159506653267245,0.263854796069369,0,0,0,0,0,0,0,0,0,0,-0.0378198618114654,0,0,0,0,0.103989522316013,0,0.0570107188313474,0,0,0,0.161729705288763,0,0.0443334934725696,0,-0.0149445922218886,0,0,0.0423914440020184,0.0499737412257593,0,0,0.0820299776471664,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0179203400163148,0,-0.00778874581671001,0,0,0,0
X002415.SZ,0,0,0,0,0,0.192327844943156,0,0,0,0,0,0,0.00571332220166986,0,0,-0.222044400792119,0,0,0,0.176051555303614,0,0,0,0,0,0.0011166319812626,0,0,0,0,0.0620231625871691,0.029975343110671,0,0,0,0,0,0,0.114815471216892,0,0,0,0,0.722686386729145,0,0,0,0,0,0,0,0,0.127901446840234,0,0,0,0,0,0
X000568.SZ,0,0,0.270380705578294,0,0,0.143026118553758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227889384224712,0,0,0,0,0,-0.0215010311520138,0,0,0,0,0,0,0,0,0,0,0.00131066523647066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150257782016894,0.0500922694712701,0,0,0,0,0,0
X002304.SZ,0.137304139617442,0,0.0180343329224611,0.0353309279681401,0.21751776776648,0,0,0,0,0,0,0,0.147711915992258,0,0,0,0.118316974693061,0,0,0,0.0231342238524631,0,0.0685012265274433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179820516652195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00951153872175834,-0.102075872751406,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.03747629953663,0,0,0,0,0,0,0,0,0.114420885005346,0.371417470512785,0.0410945724911685,0,0.0426637663006438,0,0,0,0,0,0,0,0,0,0,-0.0152286450868234,0.0284030176672061,0,0,0,0,0,0,0,0,0.122041118840529,0,0,0,0,0,0,0,0,0.0188985706873727,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.162737550122034,0,0,0,0,0,0,0.0247597557161767,0.146267202307729,0,0,0.037085403205012,0,0,0,0,0,0.0558716568570626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985648164400189,0,0,0,0.00981299355523812,0,0,0,0,0,-0.0323141405915674,-0.03095888576115,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729267562208541,0,0,0,0,0,0,0,0,0,0,0,0.266609584888023,0,0,0,0,0.0377378057913697,0,0.0285816124461629,0,0,0,0,0,0,0.125486255137481,0,0,0,0,0,0,0,0,0.0298181222991479,0,0,0,0,0,0,0,0
X600276.SH,0,0,-0.0328135220433737,0,0,0,0.263859796796757,0.0641665122883178,0,0,0,0,-0.250397664183262,0,0,0.141036425017787,0,0,0,0,0,0,0,0,0,0,0,-0.0229595960947676,0.126086001287175,0,0,0,0,0,0,0,0,0.0954713710521126,0,0,0,0.165654917078119,0,0,0.0199071605951976,0.0364175200921821,0,0,0.248159991538864,0,0,0,0,0.0167893087741874,0,0,0,0,0
