,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000625.SZ,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X002241.SZ,X600066.SH,X000338.SZ,X002456.SZ,X000100.SZ,X002508.SZ,X601877.SH,X300124.SZ,X600177.SH,X300003.SZ,X600522.SH,X300136.SZ,X002294.SZ,X600271.SH,X000157.SZ,X002008.SZ,X002085.SZ,X002007.SZ,X600118.SH,X600089.SH,X600487.SH,X600566.SH,X600867.SH,X600699.SH,X600809.SH,X600372.SH,X000559.SZ,X300115.SZ,X002180.SZ,X000623.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00406291743748221,0,0,-0.0941120540156829,0,0.096121259690941,0,0,0,-0.000403316755865139,0,0,0,0,0,0,0,0,0.117333838847783,0,0,0.152879603315295,0.0656713231765448,0,0,0,0.14895489444278,-0.0848707979080019,0,0,0,0,0.333249297309993,0,0.00992454805088116,-0.0132747871689748,0,0,0,0,0,0
X600104.SH,0,0,0,0.129140732649952,0,0,0,0.0153504601491844,0.209891244473857,0,0,0.121322073211552,0,0.333863292526178,0,0,0,0,0.00933225192799876,0,-0.0551489071052362,0,0.0553197184965002,0,-0.081186051469304,0,0,0,0,0,0,0,0,-0.0819389632621798,0,0,0,0,0.0337018195534767,0,0,0,0,0,-0.0389311439586047,0,0,0,0,0,-0.0268051192943717,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0426543881821859,0.133349156536801,0.0693630918476239,0,0,0,0,0,0.123481428218024,0,0,0.202701067701475,0,0,0,0,0,0,0.0868464047753497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20283901463351,0,-0.304947486062397,0,0,0,0,-0.0386326986922898,0,0,0,0,0.0344656089591523,0,0,0,0,0,0
X000651.SZ,0.126256786396783,0,0,0,0,0,0.0318617119031949,0,0.211096468456019,0.154806099827232,0.0826304380752696,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.118064768610407,0,0,0,0,0,0.0312301407315158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317338690379829,0.0101680490406238,0,0,0,0,0,0
X000858.SZ,0.114954848023258,0,0,0.0276797549933082,0,0,3.46944695195361e-18,0,0,-0.00689793901951444,0,0,0.55020170719479,0,0,0.101601438720967,0,0,0,0,0,0,0,0.0922038373927086,0,0,0,0,0,0,0,0,0,0,0,0,0.0181149350506453,0,0,0,0,0,0,0,0,0,0,0,0,-0.0067520630440817,2.16840434497101e-19,0,0,0,0,0,0
X600276.SH,0,0.0374832293171069,0.101310397365973,0,0,0,-0.00555763221765038,0.0670453717899922,0.0231939392123505,0,0,0,0,0,0,0,-0.180841727292162,0,0,-0.0682066805253421,0.0401970118908877,0,0,0,0,0,0,0,0,0,0,0,0.0229427084410124,0,0,0,0,0,0,0,0,0,-0.0817626683864662,-0.15376010337106,0,0,0,0,0,0.011471055572692,-0.000392788515236944,0,0,0,0,0,0
X000725.SZ,0,0,0.407676357292108,0,0,0,0,-0.0318439242925239,0,0,0,0,0,0,0,-0.015281260632462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215777656598177,0,-0.0293372745031735,0.175971727369447,0,0,0.495620935614714,0,0,0,0,0,0.0166647928823831,0,0,0,0,0,0,0,0.0366732776956599,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.010022994411159,0,0,0,0.547187824391681,0,-0.0150720444597967,0,0,0,0,0,0,0,0,0,0,0,0,0.0729775733656969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144991513413376,0.13994059695876,0,0,0,0,0,-0.23356689452031,0,0,0.865734803874193,0,0,0.0205587404208861,0,0,0,0,0,0
X600690.SH,0,0.624802217813286,0,0.0609331830649472,0,0,0,0.0474391040920318,0,0,0,0,0,0,0,0.0531539060412245,0,0,0,0,0,0.00843639429787204,0,0,0,0,-0.00940885270780759,0,0.00275967785802073,0,0,0,0,0,0,0,0,0.0631704855044889,0,0,0,0,0,0,0.105276825467917,0,0,0,0,-0.00269288230192909,-0.00231998806764685,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0890140263422407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930588040890553,0,0,0,0,-0.205684882601009,0,0,6.93889390390723e-18,0,0,0,0,0.0631741031889628,0,0,0,0,0.071103701416214,0,0.250431487377777,0,0,-0.0417898497232741,0,0,-0.00965022251570527,0,0,0,0,0,0
