,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X002304.SZ,X600104.SH,X000568.SZ,X600031.SH,X600809.SH,X000725.SZ,X000063.SZ,X600690.SH,X002241.SZ,X000661.SZ,X003816.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X300124.SZ,X600703.SH,X002007.SZ,X600741.SH,X000625.SZ,X000100.SZ,X002371.SZ,X300142.SZ,X002129.SZ,X002236.SZ,X601877.SH,X002049.SZ,X000157.SZ,X002179.SZ,X600584.SH,X300003.SZ,X000800.SZ,X002414.SZ,X600183.SH,X300136.SZ,X601799.SH,X000066.SZ,X000977.SZ,X002456.SZ,X002008.SZ,X300146.SZ,X002185.SZ,X600118.SH,X000050.SZ,X600779.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0857418515441045,0,0,0,0.0709660316019992,0,0,0.0241921777193301,0,0.295062394474247,0,0,0,0,0,0,0,0.126090043989587,0,0,0,0,0,0,0.167489384015711,-0.0279098005380916,0,-0.063355127330015,0,0,0,0,0,0,0.0314006751143527,0,0,0,0,0,0,0,0,0,0.0146738456500801,0,0,0,0.0500546555123883,0,0.0950857958838104,-0.0480542426005838,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0571449251490796,0,0,0,0.0947592790982124,0,0,0,0.0460343765835583,0,0,0,0.151024226047962,0,0,-0.0872575479308716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226778912936968,0,-0.00310014699457349,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0564554346983442,0,0.0222274268345573,0,0.0134345300414629,0,0.144474511307097,0,0,0,0,0,0,-0.0648153628637851,0,0,0,0.0562592697077605,0.0210291209953497,0,0,0,0,0,0,0.173059549885696,0,0,0,0,0,0,0,0,0,0.0637987242193384,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0225385513081379,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.0209220758519683,0,0,0,0,0,0.340443188212731,0,0,0,0,0,0,0,0,0,0,0.139897297497836,0,0,0,0,0,0,0,0,0.0611613744141148,0,0,0,0,0,0.0238160618922185,0,0,0,0.108491482294604,0,0,0,0.127396776475647,0,0,0,-0.0134494832421828,0,0,0,0,0,0
X002415.SZ,0,0,0,0.180923661849852,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210469201101893,0,0.0192831338659088,0,0,0,0,0,0,0,0.0571682006515187,0,0,0,0,0,0,0,0,0,0,0,-0.0129965432586466,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719665565673123,0,-0.0430022706290489,0,0,0,0,0,0,0,0,0.0718521559639328,0.103470851941572,0,0,0,0,0,0.0136713381406205,0.185891081096801,0.051366137467179,0,0,0,0,0,0,0,0,0,0,0,-8.70204479179017e-05,0,0,0,0,0,0,-0.0525014579352266,0,0,0,0,0,0
X002304.SZ,0,0.140390864623911,0,0,0.069796693099595,0,0,0,0.33450664603211,0,0,0,0,0,0,0,0,0,0,0.132962741333051,0,0,-0.088833933630048,0,-0.00662731231468576,0,0,0,0,0.018527074733077,0,0,0,0.0939081435505168,0,0,0,0,0,0,0,0,0,0,0,0.0715799330404863,0,0,0,0.0165837248891513,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0957217659988635,-0.0605177985910467,0,0,0,0,0,0,0.184540287754976,0,0,0,0.06175689659381,0,0.123825178668914,0,0,0.0537807773554901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899370141136457,0.0385650005215308,0,0,0,0.017829521783957,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0.293777994740902,0,0,-0.0257309504997873,0.0815406222604349,0,0,0,0.15868609405905,0,0,0,0.149175329976771,0,0,0,0,0,-0.0363042357698649,0,0,0,0,-0.101823907718544,0,0,0,0,0,0,0,0,0,0,0,0,0.0414363628591172,0,0,0,0,0,0,0.323465993608198,-0.154834475684074,-0.0148301959308314,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255577055331466,0,0.405842996123233,0,0.0519008513083041,0,0,-1.38777878078145e-17,0.113256397118924,0,0,-0.0262529887293393,-1.73472347597681e-18,0,0,0,0,0.0869239732230483,0,0,-0.0625857060871908,0,0,0,0,0.0194514033156301,0,0,0,0,0,0,-0.0907438580175722,0,0.0808774832479821,0,0.104799327116593,-0.0576783890879242,0,0,0,0,0,0
X600809.SH,0.224650490561146,0.119404669576492,0.0260939016437664,0,0,0,0,0,0.196052707533599,0,0,0,0,0,0,0,0,-0.0519834491339552,0.0739955952935795,0,0,0,0.139454793244069,0,0,0,0,0.0266908119996813,0,0.0733490356675883,0,-0.0765763499549488,0,0,0,0,0,0,-0.102669765427473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324194603659703,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.0397864531145204,0,0,0,0,-0.0250602680240095,0,0,-0.0411137247360276,0.149464192359455,0,0,0,0,-0.0353107952786852,0.404356474722001,0,0,0.162201870167947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00559662903907511,0,0,0.25994826852965,0,0,0,0.0304440801384791,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,-0.0404706142610034,0,0.148867103664037,0,0,0.0699059326093982,0,0,0,-0.193136909356742,0,0,0.0116003277404896,0.0838959224408661,0,-0.0624992174636284,0.102724506971371,0,0,0,0.0886456698888671,0.0586846232842706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781008889772338,0,0.0602325013167983,0,0,0,0,0.00810369096718486,0,0,0,0,0,0
