,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X600118.SH,X000625.SZ,X600690.SH,X600703.SH,X600372.SH,X600271.SH,X000100.SZ,X600031.SH,X002292.SZ,X000157.SZ,X000338.SZ,X002236.SZ,X002241.SZ,X600741.SH,X600089.SH,X600066.SH,X002475.SZ,X600177.SH,X601877.SH,X000559.SZ,X002465.SZ,X000547.SZ,X600435.SH,X600839.SH,X002129.SZ,X000016.SZ,X300124.SZ,X600582.SH,X000568.SZ,X300003.SZ,X002179.SZ,X002498.SZ,X002294.SZ,X600252.SH,X002276.SZ,X000977.SZ,X000066.SZ,X002456.SZ,X002049.SZ,X002008.SZ,X600198.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.21752400917391,0,0,0,0.0160527437058065,0,0,0.139120026863817,0,0.0210600745694654,0,0,0,0,0,0,0,0,0,0,0.0477752326300746,0,0,0,0.0788133702242993,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0379964364783391,0,0.0144273305191133,0.0136264670988688,0,0,0,0,0,0
X600104.SH,0.331606729020411,0,0,0,0,0,0.0729458815968113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134598591751921,0,0,0.208882707476735,0.0255860523069211,0,0,0,0,0,0,0,0,0,0,0,0,0.0434225253310027,0,0,6.93889390390723e-18,0,0,0,0,0,0.0306038774743152,0,0,-0.0457675316605404,0.0153196192190276,0.0343204759310812,0,-0.0823691475177019,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0666178921934194,0,0,0,0,0,0,0,0.0869050928388417,0.1035950278011,0,0.100522944232645,0,0,0,0.00281167375686548,0,0,0,0,0,-3.46944695195361e-18,0.00321396012164747,0,0,0,0,0,0,0,0.367905123712116,0,0,0,0,0,0,0,0,0,0.0681735253426576,0,0,0,-0.0162638833526958,0,0,0,0,0,0,0
X002415.SZ,0.164510618480241,0,0.108176790624914,0,0,0,0,0,0.00864876304871055,0,0,0,0,0,0,-0.0143309826690946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0662544155673078,0,0,0,0,0.191475269775044,0,0,0.0217208538913471,0.261945343348276,0,0,0.179842302398421,-0.0192546040790531,-0.0464672750849159,0,-0.0109317829868617,0.0288213288405471,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.119300694918927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388695625512492,0,0.0971292404665543,0,0,0,0,0,0,0.0441169936172506,0,0,0,0,0,0,0,0,0,0.188748041580989,0,0.128235948843095,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.259170346637271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389752365902886,0.171389702416916,0,-0.0263497307969557,0,0,0,0,0,0,0,0,0.65365776497872,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0070248349380726,0.00393789138462677,0,0,0,0,0,0
X002304.SZ,0,0.0585506790514616,0,0,0,0.251409960416961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766052958025353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576170782691443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723476549616609,0,0,0.0300146428828671,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0879556057786642,0.166326710769002,0,0,0.0435623710212549,0,0,0,0,0,0,0,0.00409806496509237,0.166699285802531,0.017565268137813,0,0,0.127775615129823,0,0,0,0,0.0366338037726658,0,0,0,0,0,0.0287955243417439,0,0,0,0,0.0435575594900673,0,0,0,0,0,0.070869122724456,0,0,0,0.0178612707518724,0,0,0,0,0,0
X000063.SZ,0.163236065390161,0,0,0.0767268542119354,0,0,0,0,0,0,0,0,0,0,0.209017565651017,0,0,0,0,0,0,0,0.0928899894367738,0.265454822490344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237098971547678,0.025452338371679,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.00891701693334031,-0.0394545541015917,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137797599207597,0,0,0,0,0,0.015344104221676,0,0,0,0,0,3.46944695195361e-18,0,0,0.453330678535436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201191458638888,0,0.0750052597492502,0,0.0346845612911735,-0.0270320801351165,0,0,0,0,0,0
