,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X000651.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000725.SZ,X000596.SZ,X600031.SH,X002371.SZ,X000625.SZ,X000338.SZ,X002129.SZ,X300014.SZ,X002179.SZ,X002049.SZ,X600703.SH,X000100.SZ,X600089.SH,X600372.SH,X002236.SZ,X600741.SH,X000157.SZ,X600584.SH,X000977.SZ,X000661.SZ,X002241.SZ,X601877.SH,X600522.SH,X600702.SH,X000733.SZ,X601799.SH,X002074.SZ,X000800.SZ,X002028.SZ,X002007.SZ,X002180.SZ,X002463.SZ,X300142.SZ,X600460.SH,X600183.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0568312196781033,0.154726134249908,0,0,0,0,0,0,0.0284020203233804,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.157800126864755,0,0,0,0,0,0,-0.0247241981093897,0,0,0,-0.0434423405509639,0,0,0.0268421333182481,0,0.113958624685476,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0638272805244234,0.0732133604839528,0,0,0,0,0,0
X000858.SZ,0,0,0.479067288651613,0,0,0,0,-0.0268013562152199,0,0,0,0,0,0,0,0.0376789633045378,0,0,0.119141732764195,0,0,0,0,0,0,0,0,0,-0.0907452808552205,0,0,0,0.00772660971585929,0,0,0,0,0.0637352195603938,0,-0.166411205826998,0,0,0,0,0.137399361793846,0,0.0914474193649401,0.0502177603709997,0,0,-0.0202154789412563,-0.00769746366161576,0,0,0,0,0,0,0
X000568.SZ,0.197365984555349,0.133922391835027,0,0.174283994342561,0,0.0364045756270378,0,0,0,0,-0.0271630501832168,0,0,0,0,0.28179044863271,0,0.102793174828365,0,0,0,0,0,0,0,0,0,0,-0.0620201798907891,0,0,0,0,0,0,0,0,0.165615873296899,0,0,0,0,-0.155464296653212,0,0,0.0206520061124152,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0.0908559880718502,0,0,-0.0392750867221277,0,0,0,0,0,0,0,0,0,0,0,0.0455834405150792,0,0,0,0.0894061065726096,0,0,0,0,0.0027383503881414,0,0.285127101402215,0,0,0.036235843571176,0,0,0,0,-0.0720804770638536,0.155012805190358,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0669201412564504,0,0.014723175691908,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.187583660952461,0,0,0,0,0.0427033284958249,0,0,0.0458776374140027,0,0,0,0,0,0.208071401639307,0.025350551233582,0,0,0,0,0,0,0,0,0.484535909593236,0,0,0,0,0,0,-0.0291336949162036,0.0550139926201396,0,0,0,0,0,0,0.0322124183929121,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116213191363065,-0.203397907230762,0,0.0253507513698679,0,0,-0.195339379074928,0,0,0,0,-0.297609149318502,0,0,0.0250311977798278,0.204770364411585,0.574832473488132,0,0,0,0,0,0.125366003463425,0,0,0,0,0,0,0,0,0.082816271087601,0,0,0,-0.0504557460198213,0,0,0,0,0,0
X600690.SH,0,0.0235855739128189,0,0,0,0,0,0.00269002928265154,0,0.0449880720651406,0,0,0,0.00210107632530624,0,0,0.122244715071592,0,0,0,0.0430494191563184,0,0,0.024500890588019,0,0,0,0,0,0,0,0,0.00816026640325896,0,0,0,0,0.0774431932759721,0,0,0,0,0,0.0716639341166289,0,0,0,0.0285048671585626,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33153404928718,0,0,0,0.0263425139755708,0.120139993833117,0,0,0,0,0.149369926684557,0,0,0,0,0.0750144296399859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352431789585232,0,0,0,0,0,-0.0901606742853715,0.12304871791646,0,0,0,0,0,0
X002304.SZ,0,0.423233503063944,0.0535573899720177,0,0.11191768014104,0,0,-0.0178527312821433,0,0,0,0,0,0,0,0,0,0,0.046766346596009,0,0,0.0138204817666719,0,0,0,0,0,-0.0140502003720452,0,0,0,-0.0171847188311925,0,0,0,0,0,0.0536247065830881,0,0,0,0,0,0,0.0154982229650778,0,0,0,0,0,0,0.00318669480013327,-1.73472347597681e-18,-0.140221909389929,0,0,0,0,0
X000651.SZ,0,0.097248148552686,0,0,0,0.00423132202419441,0.278893022010632,0.11719211042421,0,0,0,0,0,0,0,0,0.0256010972942995,0,0.134037540753975,0,0.00144481149744495,0,0,0,0,0,0,0,-0.12244332854232,0,0,0,0,0,0,0,0,0,0.0522102156920637,0,0,0,0,0,0.0310788074256219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
