,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X000338.SZ,X600031.SH,X002008.SZ,X000625.SZ,X002456.SZ,X300124.SZ,X601877.SH,X300003.SZ,X600487.SH,X600066.SH,X000100.SZ,X600809.SH,X002241.SZ,X002294.SZ,X600867.SH,X600271.SH,X300136.SZ,X600522.SH,X002508.SZ,X600566.SH,X000050.SZ,X600089.SH,X000157.SZ,X000981.SZ,X000596.SZ,X600498.SH,X600177.SH,X600707.SH,X002179.SZ,X000661.SZ,X600699.SH,X002180.SZ,X300142.SZ,X002049.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.402774507108625,0,0.0389158440461545,0.0404833914800833,0,0,0,0.0804091890099579,0,0,-0.126495621704035,0,0,0,0,0,0,0.0636544730273599,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181932900999028,0.0556193520913617,0,0,0,0,0,0,0.127999737408417,0,0,0,0.00584595143908698,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.154847623869534,0,0,0,0.265049645819825,0.336313707026812,0,0,0,0,0,-0.151776674248026,0,0.132612818907848,0,0,-0.0209023188082892,0,0,0,-0.0731305178896774,0,0,0,-0.0180678386732492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00752151338043897,0,-0.00710976765395079,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0738511517492052,0,0,0,0.0552886442959193,0,0.135299376303445,0,0,0,0,0.205677486388747,0.0554446393025633,0,0,0,0,0,0,0,0.291962071674847,0,0,-0.0175933499616907,0,0,0,0,0.110739277320003,0,0,0,0,0,0,0.247328602236542,0,0,0,0,0.0212423928906778,0,0,0,0,0,0,0,-0.00511196791297757,0,0,-0.0727985069342741,0,0,0,0
X000651.SZ,0,0,0,0,0.316300028097945,0,0,0,0,0.150110320731162,0,0,0,0,0.0636494066789476,0,0.0593014611064413,0,0,0.00761823509125799,0.0799247773641391,-0.0259647818172159,0,0,0,0,0,0,0,0.101933468658428,0,0,0,0.148197658175244,-0.0428794322016004,0,0,0,0,0,0,0,-0.0972534150084997,0,0,0,0,0.163745660913134,-0.0552850225749814,0,0,0,-0.00437219090647299,0,0,0,0,0,0
X000858.SZ,0.220272743545907,0,0,0.341016922776995,0,0,0,0.0492388044545334,0,0,0,0.386200029761272,-0.0130299444377512,0,0.0870996053423959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546422791325919,0,0,0,0,0,0,0,0,0,-0.0509750130789098,0,0,0,-0.0649327692678579,0,0,0,0,0,0,-0.0135332695345402,0,0,0,0,0,0
X600276.SH,0,0,0.0299645327881508,0,0.0377146150539238,0,0,0,0,0.155948487375754,0,0,0,0,0,0,0,0,0,0,0,0,0.00484157739892305,0.345125637860416,0,0,0.0518643331989446,0,0,0.0213975115770414,0,0,0,0.107997089778198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00810652134925449,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.152998103029121,0,0,0.227370149669893,0,0,0,0,0,0,0.106496481680628,0,0,0,0,0,0,0.0882989454541039,0,0,0.182134507068859,0,0,0,0.105260360277942,0.142460153089942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115111233860947,0,0,0,0,0.117644447581901,0,-0.0289344156516571,0.0391199159563108,0,0,0,0,0,0
X002304.SZ,0.252002328567654,0,0,0,0.00886097238218066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0655298673026717,0,0,0,0,0,0,0,0,0,0,0,0.412027952354275,0,0,0,0,0,0.195774753289638,0,0,0,0,0,0,0,0,0.0443397526559666,0,0,0,-0.0116348273703987,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.416801323408207,0,0,0,0,0,0,0,-0.0245892419278458,0,0,0,0,-0.083137173052249,0,0,0,0.361572326219942,0,0.158949246330435,-0.218327686499334,0,0,0,0.356938648022727,0,0,0,0.261668316562947,0,0,0,0,0.0855991483309241,0,0,0,0,0,0,0,0,0,0,0,0.0104614094519729,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.225095944339726,0.216741278830831,0.00400060347167133,0,0.0309610372528132,0,0,0,0,0.231141785407642,0,0.0264245034801373,0,-0.0741561947220397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112299000171491,0,0,0,0,0,0.0418215448370341,0,0,0,0,0,0,0,0,0,0,0,-0.0100237173812027,0.011884078419693,0,0,0,0,0,0
