,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000568.SZ,X000338.SZ,X002475.SZ,X600703.SH,X600741.SH,X601877.SH,X600271.SH,X300003.SZ,X002236.SZ,X300124.SZ,X600809.SH,X002008.SZ,X000100.SZ,X600487.SH,X600498.SH,X002007.SZ,X000661.SZ,X000625.SZ,X300146.SZ,X300142.SZ,X002179.SZ,X600867.SH,X000596.SZ,X000157.SZ,X600566.SH,X600177.SH,X002456.SZ,X600066.SH,X600089.SH,X002506.SZ,X002180.SZ,X600522.SH,X600372.SH,X002294.SZ,X002241.SZ,X300136.SZ,X000977.SZ,X600699.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.510480545268181,0.105082404342745,0,0,0.0885277713825084,0,0,0,-0.0133359628555731,0,0,0,0,0,-0.0837566864798725,0,0.00898303775495646,0,0,0.0357327023891519,0,0,0,0,0,0,0,0,0.281805623319416,0,0,0,0,0,0,0,0,0,0,0,0,-0.0372419145730041,0,0,0,0,0.0055648584088691,0,0,0,0,0,0,0
X600104.SH,0,0,0.0469965493095308,0,0.100074155059536,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0834166282792843,0,0,0.107744887785645,0.0399278413943332,0,0,0,0,0,0.151169706387597,0,0,0,0,0,0,0,0,0,0.0779516046799776,0,0,0,0,0,0,0,0,0,0,0,0.220675157405188,0,0,0,-0.015940776140256,0.0243124974356133,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117281000866971,-2.16840434497101e-19,0.630193954804834,0,0,0.286658608744082,0.0882732788326298,0,0,0,0,0.0488403553126108,0,-0.108982247059874,0,0,0.0756704824031208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229271458780535,-0.0207990379887425,0,0,0,0,0,0,0
X000651.SZ,0.0844247671677594,0.108907362362804,0,0,0,0.0559309164948549,0.0790568796349299,0,0.309767000404617,0,0,0,0,0,0,0.120599866966362,0,-0.0115308291406917,0,1.73472347597681e-18,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.069980226381758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314320795610594,0,0,0,0,0.0027996409035702,0.00168165909673578,0,0,0,0,0,0
X600276.SH,0,0,0.177584421732775,0,0,0,0,0,0,0.0276108157433653,0,0,0,0,0,0,0,0,0.442416662383986,3.46944695195361e-18,0,0.0717540984109325,0,0,0,0,0,0,0,0,0,0,0.0160491575459455,0,0,0,0,0,0,0,0,0,0,0,0.0685537801076951,0,0,0,0,0,0,0.00156043578845035,0.0172078068710753,0,0,0,0,0,0
X000858.SZ,0.134976316052641,0,0,0,0,0,0.189171688340185,0,0,0,0,0,0,0,0,0.105574635829176,0,0,0,0,0,0.221817513641327,0,0,0,0,0,-0.0429734119972966,0,0.00937679429482747,0,0,-0.0123944136999396,0.27189960528674,0,0,0,0,0.0121555699711355,0,0,0,0,0,0,0,0,0,0,0,0,0.0049392446059154,0.022914494454499,0,0,0,0,0,0
X002304.SZ,0,0,0,0,-0.0202946596844783,0.342648373378126,0,0,0,0,0,0.21405185778706,0,0,0,0,0,0,0.0830893683326794,0,0,0.230699521330561,0,0,0,0,0,0,0,0.137399502493249,0,0,0,0.216145420951264,0,0,0,0,-0.0537155388301683,0,0,-0.0368865341060116,0,0,0,0,-0.048358823335576,-0.0339179874994833,0,0,0.160280425482331,0.00551860828868811,0.0575207598624782,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0820467545774038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164183470653175,0,0,0,0,0,0,0,0,0,0,0,0,0.232250713540228,0,0,0,0.10657941131188,0,0,0,0.0382584564606349,0,0,0,0.0430972472758042,0,-0.0318828559320016,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.102030810256578,0.157429952362963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166886061981102,0,0,0,0,0,0,0,0.115104100332044,0,0,0,0,0,0,0,0,0.397699140870519,0,0,0,-0.0100391460882688,-0.0422960800501037,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141752013846072,0,0,0,0.0997724296289794,0.48046161566581,0,0,0,0,0.124990746240997,0,0,0,0,0,0,0.0960700503778789,0,0,0,0,0,0.00366327004718664,0,0,0.0412338562059345,0,0,0,0,0.0309834480211129,-0.0298500224140247,0,0,0,0.174779561825428,0,0
