,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X000338.SZ,X600703.SH,X000568.SZ,X300003.SZ,X600741.SH,X601877.SH,X600271.SH,X300124.SZ,X002236.SZ,X002008.SZ,X002456.SZ,X000100.SZ,X600498.SH,X002007.SZ,X600487.SH,X000661.SZ,X300146.SZ,X000625.SZ,X600566.SH,X002179.SZ,X600867.SH,X000596.SZ,X600809.SH,X600177.SH,X002180.SZ,X002294.SZ,X000157.SZ,X300142.SZ,X600089.SH,X002506.SZ,X600066.SH,X300136.SZ,X000977.SZ,X600372.SH,X002241.SZ,X600522.SH,X000981.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.774840585397233,0,0,0.0900054109815434,0,0,0,0,0,0,0.042212132449962,0,0,0,0,0,0,0,0,0,0.00648142659610939,0.102053824596801,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0330871967811385,0,0,0,0,0,0,-0.013644108921907,0,0,0,0,0,0,0,0.0129644807160451,0.00161128054258473,0,0,0,0,0,0
X600104.SH,0,0,0.167275541535975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286365656331436,0,0,0,0,0,0,0,0.136071239408268,0,0,0.00964555400566532,0,0,0,0,0,0,0.19476856932163,0,0,0,0,0,0,0,0,0,0.11725227080063,0,0,0,0,0,-0.155974163750673,0,-0.00222688673699931,0,0,0,0,0,0
X002415.SZ,0,0.0650878434031747,0,0.0443880213461089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607079907633395,0.00952092798794591,0,0,0.195240405626676,0,0,-0.11598667483071,0,0,0,0,0,0,0,0,0.0676553687037867,0,0,0,0,0,0,0,0,-0.0633928228721168,0,0,0,0,0.181407293282039,-0.0398403598936236,0.0854705845989334,0,0,0,0,0,0
X600276.SH,0,0,0.00649533337831058,0,0,0,0,0,0,0,0,0,0,0,0,0.312340520555637,0,0,0,0,0.220409111770353,0,0,0,0,0.0901724977494829,0,0,0.205503969787195,0,0,0,0.0244241017091487,0,0,0,0,0.110612834052663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456391201234674,0,0,0,0,0,0,0
X000651.SZ,0.15515545130478,0,0,0,0,0.142668606942312,0,0,0,0,0,0,0,0,0.185465018240169,0.0818298043423215,0,0,0,0.0685589522542806,0,0,0,0,0,0,0,0,0.0245975685437306,0,0,0,0.0669684762581948,0,0,0,0,0,0,0.0237542140281367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.0703052508821565,0.0224229809678736,0,0,-3.46944695195361e-18,0,0.17907185852005,0,0,0,0,0,0,0,0.0943625193106186,0,0,0,-0.0110041388402897,-0.00403621612640765,0,0,0,0,0,0,0,0,0,0,0,0,-0.00572299546137118,0.194155573806196,0.277311896301672,0,0,0,0,0,0,0,0.0939719397006205,0,0,0,0,0,0,0,0,0.0189877377947004,4.33680868994202e-19,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.123825454674276,0,0,0,0,0,0,0,0,0.391748551385938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036271491094328,0,0,0,0.0443371850109159,0.159568487448381,0.286708461725585,0,-0.0425218452241351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042468477998313,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787654317455432,0,0,0.0608156925685628,0,0,0,0.0333574845714037,0.216448636223262,0.276446370523828,0,0.122636014139345,0.0833778071907363,0,0,0.00751938159942808,0,0,0,0,0,0.0611155789924769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.312069476829935,0.0200611238261056,0,0,0,0,0,0,0,0,0,0,0,0,0.0890891317026663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104528751867623,-0.0158525990235471,0.315642009873065,0,0,0,0,0,0,-0.0226374717008958,-0.0237058528538621,0,0,0,0,0,0
X000063.SZ,0,0,0.208266760406104,0,0,0,0,0,0,0,0.281766442180293,0,0,0.217433390344516,0,-0.0053626927080093,0,0,-0.0333576302852674,0,0,0,0.189256378736288,0,0.174987141482329,-0.0605192637784666,0.207658965621622,0,-0.149934056520003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109613818939878,-0.118533050448822,0,0,0,0,0,0
