,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X002304.SZ,X003816.SZ,X000661.SZ,X000725.SZ,X000568.SZ,X000338.SZ,X600703.SH,X600809.SH,X600690.SH,X002371.SZ,X000596.SZ,X002007.SZ,X300003.SZ,X000100.SZ,X600183.SH,X300142.SZ,X002241.SZ,X600741.SH,X300124.SZ,X000977.SZ,X300014.SZ,X000157.SZ,X002129.SZ,X601877.SH,X600584.SH,X000625.SZ,X002236.SZ,X000800.SZ,X002049.SZ,X000066.SZ,X002463.SZ,X002414.SZ,X002456.SZ,X300136.SZ,X600118.SH,X002179.SZ,X002185.SZ,X600498.SH,X600522.SH,X000021.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.137037795935983,0,0,0,0,0,0,0.0537800487340551,0.102352644165279,0,0,0,0.0018535940035394,0,0,0,0,0,0.257474041911239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201206077860571,0,0,0,0,0,0,0,0,0.0486996108056178,0,0,0.0210311966261844,0,0,0,0.0455751499746634,0,0,0,0,0,0,0,0
X000858.SZ,0.141332154438503,0,0,0,0,0,0.0550629066228421,0,0,0,0,0.00461412534131823,0,0.385845910865278,0,0,0.263275585042253,0,0,0.017405632666621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364785589113892,0,0,-0.0463981499447755,0,0,0.00830782187580635,0.0428040883600228,0,0,0,0,0,0
X600276.SH,0,0.0107535001871334,0,0,0,0,0.203216293838956,0,0,0,0,0,0,0,0,0,0.163544762133568,0,0,0,0.012042977894398,0.0634049674863093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00287256655235576,0,0,0,0,0,0,0,0,-0.0501212183052937,0.0231308035559921,0,0,-0.00420954415579062,0,0,0,0,0,0,0
X000651.SZ,0,0.0149347617313749,0,0,0,0,0.0205119167197788,0,0,0,0,0.0316115201537641,0,0,0,0,0.108772977783439,0.431323161426573,0,0,0,0,0,0,0,0,0.0642044942069475,0,0,0,0,0,0,0,0,0,0,0.00895760934034383,0,0,0,-0.051996041843653,0,0,0,0,0,0,0,0,0.0213587853806875,0.0109205073471046,0.0135066555462236,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0558308336051852,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0939070273389005,0,0,0.142098558856764,0,0,0,0,0.00128292680111598,0,0,0.0897221474647765,0,0,0,0,0,0,0,0.00992310265856946,0.0576123455034861,0,0,0,0,0.0271732259221031,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0303633526574237,0.16390006367622,0,0,0,0,0,0,0,0,0.0552122095598469,0,0,0,0,0.00488335092725903,0.0606534392287797,0,0,0.0184762146482881,0.1642572170975,0,0.0667167951215426,0,0,0,0,0,0.195333128901512,0,0,0,0,0,0.186245682874433,0,0,0,0,0.0483708230984522,0.102198490498992,0,0,0,0,0,0,0,0.00397881865543293,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991522376970337,0,0.111345720896914,0,0,0,0,0.363075276033205,0,0.125635456916811,0,0,0.00951930356222147,0,0,0.0906647556233929,0,0,0,0,0,0,0,0,0,0,0,-0.109538118759666,0,0,0,0,0.0220897367707113,0.0561341128388041,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.100056063141408,0,0,0,0.0394649994810274,0,0,0,0,0,0.0159632218683526,0,0,0,0.194252599412887,0,0,0,0,0,0,0,0,0,0,0.169162537670387,0,0,0,0,0,0,0,0.201619622414297,0,0,0,0.440387566537699,-0.197454946699572,0,0,0,0.0274797034210517,0.103250388538856,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.129300294988225,0,0,0,0,0,0,0,0,0.308930107684296,0,0.0613510620687747,0,0,0,0,0,0,0,0,0,0.046266547864554,0,0,0,0.174786619187247,-0.018210925332633,0,0,0.0649561405327618,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0329579851194827,0,0,0,0,0,0
X002304.SZ,0,0.153662180007775,0,0,0,0,0,0,0,0,0,0,0,0,0.16771922669085,0,0,0.15487535195028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00555235967654871,0.0821154034176567,0,0,0,0,0,0,0,0,0.0021026773222548,0,0,0.023897887736698,0,0,0,0,0,0.0119939860818123,0,0,0,0,0,0
