,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002304.SZ,X002475.SZ,X000651.SZ,X600690.SH,X300124.SZ,X600104.SH,X002371.SZ,X000725.SZ,X000063.SZ,X003816.SZ,X002129.SZ,X000596.SZ,X600031.SH,X300014.SZ,X000625.SZ,X600703.SH,X000338.SZ,X002049.SZ,X002179.SZ,X600089.SH,X002236.SZ,X002241.SZ,X000100.SZ,X000661.SZ,X600584.SH,X002180.SZ,X600702.SH,X601877.SH,X000977.SZ,X300142.SZ,X600460.SH,X600522.SH,X000157.SZ,X600741.SH,X002074.SZ,X000733.SZ,X300003.SZ,X002007.SZ,X600183.SH,X002463.SZ,X000066.SZ,X002294.SZ,X002414.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.113507645803213,0,0,0,0,0.0562141061997995,0,0,0,0,0,0.0341323161424254,0,0,0,0.0125728050895424,0.000723682112986112,0,0.0628004207928587,0,0,0,0.0190073757106313,0,0,0,0,0,0,0,0,0.199356636420595,0,0,0,0,0,0,0,0.167156317857087,0,0,0,0,0,-0.0411445863599283,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0470689134311972,0,0.0101675199848055,0.359388007032339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121509163833239,0,0,0,0,0,0.0362692348951104,-0.044159895300922,0,0,0,0,0.0125870271711868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0275993236476835,-0.00810832198197478,0,0,0,0,0,0
X002415.SZ,0,0.0461893447343143,0,0,0.115490508862385,0,0,0.105053330091596,0,0,0,0,0.0244742140472989,0.117446470326514,4.33680868994202e-19,0,0,0,0,0,0,-0.0375732667193406,0,2.16840434497101e-19,0,0,0.246407091646773,0,0,0,-0.0645803041975618,0.166133742231575,0,0,0.0281569884695399,0,0,-0.0596614078440993,0,0,0,0,0,0,0,0,0,0,0,0,0.0751004114893794,0,0,0,0,0,0,0,0
X000568.SZ,0.12124634676968,0.38478054279243,0.147130447562345,0,0,0,0.243227450949563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714585357311663,0,0,0,0,0,0,0,-0.0155248678215276,0,0,-0.039210780580492,0,0.0380592499028935,0,0,0.0572072697533725,0.053346120711663,0,0,0,0,0,0,0,0,-0.0341521408958017,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,-0.0152590454973186,0,0,0,0,0,0,0,0,0,0,0,0,0.00561939262753495,0.0834626331673517,0,0,0,0,0.0551059962936796,0,0,0,0.0785115601264679,0,0.100302002055508,0,0,0,0,0,0,0,0,0,0.271458296328346,0,0,6.93889390390723e-18,0,0.0382874384835144,0,0,0,-0.0225926339151511,0,0,0,0,0,0,0
X600809.SH,0,0.158528299064228,0,0,0,0,0.152078412380634,0,0,0,0,0,-0.00933248193231598,0,0,0,0,0.0687140863468204,0,0,0,0.0530648342447319,0,0,-0.20085817289067,0,0.0455716761986516,0,0,0.0684032238039194,0,0.144596101963191,0,0,-0.0277100282473229,0,0,0,0,0,0,0,0,0,0,0,0.00867156720410552,0,0,0,0,0,-0.0381173073319392,0,0,0,0,0,0
X002304.SZ,0,0.348867312222369,0,0.366607784573981,0,0,0,0,0,0.0455345091934918,0,0,0,0,-0.0533051934996481,0,0,0,0,0,0,0,0,0,0,0,-0.0610678540535781,0,0,0.0665363477690572,0.105319819612328,0,0,0,0.0357444353914551,0,0,0,0,0,0,0,0,0,0,0,0,-0.0659603443352382,0,0,0,-0.0295847043597976,0.0240539157531085,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0294144845951397,0,0,0,0,0,0,0,0.0680462733968796,0,0,0.166932068012706,0,0,0,0.000654383858098118,0,0,0,0,0,0,0,0,0.116623699652732,0,0,0,0,0,0,0,0,0.0774691604194169,0,0,0.281662684172126,0,0,2.16840434497101e-19,0.0329039996865664,0,0,0,0,0,0
X000651.SZ,0,0.0771063510565863,0,0,0,0,0,0,0,0.112557245505913,0,0,0,0,0.0166517656733325,0,0,0,0,0,0.203287779320929,0,0,0.00590075092530489,0,0,0,0,0,0,0,0,0,0,0.00524086921907443,0,0.0848699057461868,0,0,0,0,0,-0.0164424301786377,0,-4.33680868994202e-19,1.73472347597681e-18,0,0,0,0,-0.0378014558737023,0,-0.0437681658165408,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.247197428387409,0.0129044755815337,0.190509836308811,0,0,0,0,0,0,0,0,-0.172912678441955,0,0,0,0,0,0,0,0,-0.265383025946326,0,0,0,0.210238329028299,0,0,0,-0.0147655459279725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280889661517352,0.00343689015493275,0,0,0,0,0,0
