,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X600741.SH,X000625.SZ,X002241.SZ,X002475.SZ,X000338.SZ,X600031.SH,X002456.SZ,X600066.SH,X600809.SH,X601877.SH,X300124.SZ,X600487.SH,X002085.SZ,X002008.SZ,X000100.SZ,X600522.SH,X002508.SZ,X300136.SZ,X300003.SZ,X600089.SH,X600177.SH,X600271.SH,X000157.SZ,X600118.SH,X002294.SZ,X000559.SZ,X600867.SH,X600699.SH,X600498.SH,X000050.SZ,X300115.SZ,X002180.SZ,X600566.SH,X000981.SZ,X000596.SZ,X600372.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.147815037137461,0,0.0125273517041439,0,0.0205187716915898,0.0351398257810271,0,0.121332910977307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103974492777753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053498005196803,0,0,0.0446383752056865,0,-0.0222605414502953,0,0.00888315459547785,-0.0171252411854994,0,0,0,0,0,0
X600104.SH,0,0,0.0517663486008994,0.0181504522712295,0,0,0,0,0,0,0,0,0,0.363034856973689,0,0,0.0431782302251197,0,-0.013317800350766,0,0,0,0,0.078509317409678,0,0,0,-0.0543625502876955,0,0,0,0,-0.102069188031854,0,0,0,0,0,0,0,0,0,-0.00851685579689267,0,0,0,0,0.036625638428087,0,0,0,-0.0391012632232889,0.0287358760360175,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0179298910077414,0,0,0,0.188715435366388,0,0,0.0748295945015628,0,0,0,0,0,0,0,0.0397227552579251,0,0.0772011773257494,0,0,0,0,-1.35525271560688e-20,0.0936848885023474,0,0,0,0,0,0,0,0,0,0,0,0.0476114519097646,0.00137264159264133,0,0,0.0451882068085725,0,0.0792026010784413,0,0.0417852930132501,0,0.0267706610015579,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0702383083412079,0,0,0,0.288021980374601,0.0541110780328006,0,0,0,0,0,0,0.0287711072267385,0,0,0,0,0,0,0,-0.00812001498131123,0,0,0.350103253648213,0,0,0,0,-0.0435541201846914,0,0,0,0,0,-0.0123246704904236,0,-0.0318296305242192,0,-0.00667130217120336,0,0,0,0,0,-0.0753822397048649,0.00803087500564274,0,-0.0361778447767851,0,0,0,0,0
X000858.SZ,0,0,0,0.189921294878593,0,0,0,0,0,0,0,0.352053730466312,0.0253475517523828,0,0,0,0,0,0,0,0,0.168140234832063,0,0,0,0.027979277247758,-0.0430071542882198,0,0,0.0407575832372735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00569152282367061,4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0448601123844351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145619226373156,-0.0762815082496571,0,0.136344730514404,-0.0577552796487135,0,0,0,0,0,0,0,0,0,0,0.0418428350827393,0,0,-0.0412325546850342,0.0407004954190164,0.0169453523007213,0.0227192576969653,0,0,0,0,0.0211528728385362,0,0,-0.0082998382314598,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.0235235609431854,0,0.199046357133059,0,0.190234283288862,0,0,0,0,0.127621333985529,-0.00362109656290695,0,0,0,0,0,0.04846889958021,0,0,0,0,0,-0.0109684274725165,0,0,0,0,0,0,0,0,0,0,0.0280803400946014,0.083935705587709,-0.100516319901251,0,0,0.0371031797848379,0,0,0,-0.0374164277011676,0.0176511323743704,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.03552622255302,0,0.125502612486653,0,-0.0775561840209287,0,0.0057222899094607,0,0,0,0,0,0,0.0287706475143724,-0.0318907368548935,0,0,0,0,0,0,0,0,0,0,0,0,0.224234426092819,0,0,0.144572766192145,0,0,0,0,0,0,0,0,-0.0181907002927495,-0.00777169267428757,0.0115513013165076,-0.129069510429672,0,0,0,0,0
X000063.SZ,0,0,8.67361737988404e-19,0,0,0,0.127079063620964,0,0,0.0468937964664058,0.14329641525137,0.0352531936529504,0.0880971979237965,0,0,0,0,0.0847072904126765,0,0,0,0,0.099066901419683,0,0.0713719871806294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655833067963908,0,0,0.0412887017874991,0.0614704268782605,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0.046867757422459,0,0,0,0,0,0,0.0121361070206364,0.0417116183608289,0.0148170876157093,0,0,0,0,0,0,0,0,0,0,-0.0215513033265569,0,0,0,0,0,0,-0.12365652955734,0,0,0,0,0,0,0,0,0,0,0,0.110486392154661,0,0,0,0.0841126895592387,0,0,0,0.161035641143018,-0.0700457944960929,0,0,0,0,0,0
