,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X002475.SZ,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X000338.SZ,X300003.SZ,X000063.SZ,X600271.SH,X002236.SZ,X600809.SH,X601877.SH,X002008.SZ,X002456.SZ,X600867.SH,X000596.SZ,X300124.SZ,X600487.SH,X000100.SZ,X600566.SH,X000625.SZ,X000661.SZ,X002294.SZ,X600066.SH,X600498.SH,X000977.SZ,X300142.SZ,X300136.SZ,X002179.SZ,X002180.SZ,X000157.SZ,X002007.SZ,X300146.SZ,X000981.SZ,X002241.SZ,X000869.SZ,X000050.SZ,X002049.SZ,X600522.SH,X600779.SH,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.414753898815229,0,0,0,0,0,0.00563439252839484,0,0.0365768392436332,0,0,0,0.0701885952106614,0,0,0,0,0,0.0168102227289788,0,0,0,0,0,0,0,0,0,0,0.0115807023935007,0,0,0,0,0,0,0,0,0,0,0.0892409965850971,4.33680868994202e-19,0.0266370910837124,0,0,0,0,0,0.00102755647985997,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0443065664948679,0,0.0906876987990059,0,0,0,0.0169481505556977,0,0,0.110529880871602,0.256771387954981,0,0,0.0231896349817367,0,0,0,0,0,0,0,0.0160239307436635,0,-0.00841420515841123,0,0,0,0,0,0,0,0,-0.0935393702654709,0.0285918295195111,0,-0.200278868807741,0,0.0965108703315865,0,0,0,0,-0.0349599789097628,0,0,0,0,0.0498712540511667,0.0218894989369377,0.043205088014926,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.135933825713761,0,0,0,0,0.01891872619935,0,0,0,-0.109962246240506,0,0.285412222337174,0,0,0.0123438447914893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184309470121398,0,0,0,-0.0142146486430644,0,0,0,0,0,0,0,0.0367797987505949,0,0,0.0231454658236476,0.0345034891587324,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0555172867714182,0,0.21840217001253,0,0.162310373207881,0.0724445252518382,0,0,0,0,0,0,0,0,0.00591191959810257,0,0.0420166014372083,0.116515957632998,0,0,0.197405237235066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181962863877923,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0181037921960931,0.0580031807460858,0,0.0158132783376199,0,-0.0349534038780262,0,0,0,0,0,0,0.0946048600048031,0,0.158317617489009,0,0,0.0848472727466048,0,0.044988940045559,0.251038022227989,0,0,0,0.143134832084567,0,0,0,0,0.06431349760516,0,0,0,0,0,0,0,0,0,0,0.0374649206606145,0.00749566823198226,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.225102280453974,0,0,0,0,0,0.176482460735727,0,0,0,0,0,0,0.112468427192239,0,0,0,0.0086124396325786,0,0,0,0,0,0,0,-0.0341251200974212,0,0,0,0,0,0,-0.0802281138712899,0,0,0,0,0,0,0,0.0674343932747136,0,0,0.0154577256831624,0.0268447872706823,0,0,0,0,0,0
X002304.SZ,0,0,0,0.523853702935754,0,0,0,0,0.00562843539949833,0,0,0.0861537807423294,0,0,0,0.117888833282041,-0.0865615170584956,0,0,0.256082738543939,0.0813948774706891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0957092356336036,0,0,0,0,0,-0.12705004926548,0,0,0,0,0,0,0.0253781643022106,0,0,0.0057678469920719,0.00508933785859579,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00554982895629294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106382881737381,0.276790729321119,0.0845901304971418,0,0.00927416131462646,0.103625995997686,0.251443418102179,0,0,0,-0.00618570538100035,0.00324600023610838,0,0,0,0,0,0
X600690.SH,0,0,0,0.46426741169573,0,0.0578654086071206,0,0,0,0,0,0,0,0,0,0,-0.0500007110115202,0,0.0751670049785967,0,0,0,0.000362393615667638,0.0858011172607314,0,0,0,0,0,0,0,0,0,0,-0.123678679739727,0,0,0.0501238120579896,0,0,0,0,0,0,0.196231117084171,0,0,0,0,0,0,0,0.0204748227795879,0,0,0,0,0,0
X002475.SZ,0,0.165089582750643,0,0,0,0.0816419670120608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560992590568949,0,0,0.08183241594969,0,0,0,0,0,0,0,0,0,0,0.011409521373256,0,0,0,0.0489657080102007,0,0,0,0,-0.105968987069163,0,0,0,0,0,0.0131595970425891,0.00268431113132073,0,0,0,0.122394283480856,0,0
