,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X002371.SZ,X000063.SZ,X600104.SH,X003816.SZ,X000568.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000338.SZ,X000625.SZ,X002304.SZ,X000100.SZ,X002241.SZ,X000596.SZ,X300014.SZ,X600418.SH,X002463.SZ,X002179.SZ,X000977.SZ,X600584.SH,X600183.SH,X000157.SZ,X600066.SH,X002028.SZ,X600089.SH,X600703.SH,X600372.SH,X600741.SH,X002049.SZ,X002236.SZ,X601877.SH,X600522.SH,X000066.SZ,X000921.SZ,X002156.SZ,X002281.SZ,X600460.SH,X000988.SZ,X600839.SH,X002456.SZ,X600487.SH,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0.0278198150089534,0,0,0.210567736049105,0,0,0,0,0,0,0,0,0.228789826609075,0,0,0,0,0,0.0857697438099705,0.0152145405826126,0,0,0,0,0,0,0,0,0,0,0,-0.0321502625150626,0,0,0,0,0,0,-0.0302348989431561,0,0,0,0.00627542577385273,-0.000619562011243524,0,0,0,-0.0135752461609607,0,0
X000858.SZ,0,0,0.0641897584951425,0,0,0,0,0.233092103353892,0,0,0,0,0.429779108196224,0,0,0,0,0,0,0,0.0171081885732616,0.0579227283913909,0,0,0,0,-0.050906473247378,0,0.0634837636017672,0,0,0,0,0,0,0,0,0,0,0,-0.0420184640701844,0,0,0,0,0,0,-0.0075946672514617,0,0,0,-0.00125387190380356,-0.0155682726703225,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0570825681974737,0,0,0,0,0,0,0,0,0.038537842809733,0.18620823123023,0,0.0325855521408711,0,0.0827879047785651,0,0.0240702258815099,0,0,0,0,0,0,0,0,0.132523804052758,0,0,0,0,-0.00988893260103571,0,-0.0343834553966681,0,0,0,0.102316290376125,1.38777878078145e-17,0,0,0,-0.02940109261206,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123890885006354,0,0,0,0.0416454190582385,0,0,0,0.163646353543017,0.117409430515726,1.73472347597681e-18,0,0,0,0,-0.0534518883525026,0,0.206269544761713,0,0,0,0,0,0,0,0,0,0.0798908584757817,0,0,0,0,0,0,0,0,0,0,0.0168421120290096,-0.000429009552558605,0.0912805087423263,0,0,-0.0936930175001739,0,0
X002415.SZ,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0232061499672063,0.122968942847132,0,0,0.0862055180276342,0,0.0128245240090554,0,0,0,0,0,0,0,0.105788664508266,0,0,0,0,0.0892638548266911,0,0,0,0,0,0,0,0,0.00919771467397163,0,0,0,3.46944695195361e-18,0,0.015652876447532,-0.00224462287997113,0,0,0,0,0,0,0,0,-0.0041473726468116,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246103312948372,0,0,0,0,0,0,0.225707267112958,0,0.0527872023015695,0.0767901618931389,0,0,0,0,0,0,0,0,0,0.327352662799835,0,0,0,0,0.0168073413063817,0,0,0,0,0.0196738817087244,-0.00082136977516248,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.124166252280905,0,0,0,0.0320819842394604,0.0557413424892058,0,0,0,0,0,0,0,0,0,0,0,0,-0.132396026675798,0,0,0,0,0,0,0.3133512026576,0,0,0,0,0,0,0,-0.0188384866041311,0,-0.0465088768861148,0,-0.00892765755803002,0,0,0.091452594346571,0,0,0.0108075292295737,0,0,0.00689654398073274,0.011309710074362,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.0490687917592432,-0.00571849091801047,0,0.518603614697992,0,0,0,0,0,0,0,0,0.246496876683713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314887597228212,8.67361737988404e-19,0,0,0,0,0,0,0,0.0165538671920207,-0.00287385113810549,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,-0.00755722649624291,0,0,0,0.235457220021041,0,0,0,0,0,-0.00647607181348478,0,0,0.0176544396974237,0,0.188520379700633,0.180035464625164,0,0,0,0,0,0,0,0,0,0,0,0,-0.150717027671438,0,0,0.199485705081476,0.0560269753292407,0,0.00524873025237457,0,-0.0707734913146346,0,0,0,-0.0126488063304384,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.106611608615445,0,0,0,0.202784699861187,0,0,0,0,0,0,0,0,0,-0.0200938304252015,0,0.363231257633131,0,0.112755719484602,0,0,0,0,0,0,0,0.0991667104091695,0,0,0,0.0217547943314049,-0.105357592272308,0,0,0,0.173457999313905,0,-0.116259304484316,0.138715769990228,0,0,0.0332699237775553,-0.024445513773149,0,0,0,-0.0322761388018388,0,0
