,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000338.SZ,X300014.SZ,X002179.SZ,X002129.SZ,X000100.SZ,X600089.SH,X600703.SH,X002236.SZ,X600372.SH,X002049.SZ,X002241.SZ,X600741.SH,X000157.SZ,X000661.SZ,X600584.SH,X600522.SH,X601877.SH,X000977.SZ,X601799.SH,X002074.SZ,X000800.SZ,X002007.SZ,X600183.SH,X002463.SZ,X002028.SZ,X600702.SH,X300142.SZ,X000066.SZ,X002180.SZ,X000921.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.157807233549725,0,8.84265924034622e-05,0.26430548347459,0.0090890213210485,0,0.101166498577677,0,0,0.114752716290129,0,0,0,0,0,0,0,0,0,0,0,0,0.0403848525382936,0,0,0,0,-0.0864616284344292,0,0,0,0,0,0,0,0,0.172496859698421,0,0,0,0,0,0.147378742166089,0,0.066796783556409,0,0,0,0,0,0.010615003949424,0.0539238067734079,0,0,0,0,0,0
X000858.SZ,0.0804711662129018,0,0,0,0,0,-0.0211072211146548,0,0,0,0,0,0,0,0.124752544972528,-0.0181609596667463,0.27909730164262,0,0,0,0,0,0,0,0,0,0,0,-0.0811132805554775,0,0,0,0,0,0,0,0.0527917867292633,-0.169909249422728,0,0,0,0,0,0.103935503321429,0.0576708662590392,0.147006418488697,0,0,0,0,0,0,0.0107982475710076,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0797868946557897,0,-0.157041847907141,0,0,0,0,0,0,0,0,0.0772890525820353,0,0,0.0464046522871739,0,0,0,0,0.109146834812731,0,0,0,0.16461236284803,0,0,0.00987310042221071,0,0,0,0,0,0,0.0371411710330983,0,0,0,0,0,0,0,0.130143717949047,0,0.027661897995695,0,0,0,0,-0.00375922654256283,0,0,0,0,0,0,0
X000568.SZ,0.305980897425106,0,0,0,0.114278166964481,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.310723266562336,0.0155268904429454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122100822693729,0,0,0,0,0,0,0.0139172842229539,0.00272222393953319,0,0,0,0,0,0
X600809.SH,0,0,0,0.534858639913288,0,0,0.165568970063702,0.0616919375636361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0836592309343365,0,0,0.0478420532677065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746735236766199,0,0,-0.183408313371459,-0.132485054998878,0,0,0.0437844702245294,-0.0622077035712581,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266300818437581,0,0,-0.112125009238193,0,0,0,0,0.127875671270599,0,0,0,-0.255225450715728,0,-0.151465688582869,0,0,0,0.56567572397635,0.0422513914080433,0,0,0.0360392723548704,0,0,0,0,0,0.0701967545772235,0,0,0.0600436679585652,0,0,0.203749519268467,0,0,-0.0245678768817563,0,0,0,0,0,0,0
X002475.SZ,0.00991432059213516,0,0,0,0.124855088182285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190729162853496,0,0,0,0,0,0,0,0.126433684110633,0,0,0,0.336165555613277,0,0,0,0.0891829434432616,0,0.0654165500005115,0,0,-0.0785258938329232,0.0864731227790503,0,0,0,0,0,0
X600690.SH,0.0562804962548752,0,0,0,0,0,0,0,0,0,0,0.0332939584403678,0,0,0.030166298926538,0,0,0,0.218396995374228,0,0,0,0,0.00156896970840069,0,0,0,0,0.0196547861212746,0,0.0596879161069889,0.0162392339342006,0,0,0,0,0,0,0.0254360447285195,0,0,0,0.0273755443341138,0,0,0,0,0,0,0,0,0,0.00666667434460895,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.102400535379507,0,0,0,0,0.0724072054566307,0,0,0,0,0,0,0.24946580712633,0,0,0,0.0380622484839995,0,0,-0.0106792308295645,-0.133073833024467,0,0,0,0,0.138554848755709,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256792543467813,0.194139088011172,0,0.00497009163768683,0.0683569003285915,0.0454049057382754,0,0,-0.0281175706715467,0,0,0,0,0,0
X002304.SZ,0,0,0,0.326746061150925,0,0,0,0,0,0,0,0,0,0,0.196152681255548,0.0629361698557712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0523167348629937,0,0,0,0,0,0,0,-0.0746374751283657,0,0,0.139678655124436,0,0,0,0,0,0,0.0235094909383337,-0.0196683637128679,0,0,0,0,0,0
