,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000858.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X600031.SH,X600118.SH,X600271.SH,X000559.SZ,X000100.SZ,X002241.SZ,X600066.SH,X600372.SH,X000157.SZ,X002236.SZ,X600741.SH,X002475.SZ,X002292.SZ,X000338.SZ,X600089.SH,X600177.SH,X002465.SZ,X002049.SZ,X601877.SH,X300124.SZ,X000568.SZ,X002506.SZ,X600582.SH,X300003.SZ,X002294.SZ,X002074.SZ,X000869.SZ,X002129.SZ,X002085.SZ,X300001.SZ,X600867.SH,X000547.SZ,X600839.SH,X600498.SH,X002276.SZ,X000623.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0960280770478346,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305965570823475,0,0,0,0,0,0,0,0,0,0.0908039568487631,0,0,0.0625871911002149,0,-0.0341335862109803,0,0,0,0.0425019479280943,0,0,0,0,0,0,0,0,0,0.0195132202840934,0,0,0.0298621055723095,0,-0.0486332383590827,0,-0.0310182298507493,0.0361256130579721,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.257174026610166,0.103772586114474,0.120731640232813,0.0158488707064522,0,0,0,0,0,0,0,0,0,0,0,0,0.178989049491059,0.0194528718870647,0,0,0.0571763625601367,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0234259685411386,0,0,0,0,0,0,0,-0.166113102495342,0,0,0.00335943942912913,-0.00784409825785132,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583180087649145,0.0828194942140207,0,0,0,0.0861847647420053,0,0.0622768703098165,0,0,0,0.0185378043748158,0.125263316716434,0,0,0,0,0.0599849650789609,0,0.176056417823362,0,0,0,0,0,0,0,0,-0.0964144803718297,0,0,0,0,0,0,0,0.0647888921791469,0,0,0,-0.0602615509468804,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0770338040344675,0,0,0,0.0495889401292405,0,0,0,0,0,0,0,0,0.109069175869675,0,0,0.00600347879134729,0,0,0,0,0,0.00969161278503102,0.13391403338916,0,0,0,0,0,0.0182290860253446,0.0236911999557625,0,0,0,0,0,0,0,0,-0.0173229091293336,0.0200832868044058,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036251683960775,0,0,0,0,0.0136582042730802,0,0,0,0,0,0,0,0,0,0.0650998708257242,0.00703892624220692,0,0,0,0.162123099443107,0,0.0423379505540922,0.208693315689006,0,0,-0.012854833382625,0,0,0,0,0,0,0
X002304.SZ,0,0.118429570832497,0,0,0,0,0,0,0,0,0,0,0,0.112607902681655,0,0,0,0,0,0,0,0.161743477404928,0.11931015263674,0,0.0643238648795337,0,0,0,0,0,0,0,0.0607477855165032,0.00174627614604203,0,0.0514672965056961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369075656058406,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0623467840479863,0.193447128982328,0,0,0,0,0,0.0411926895362842,0,-0.149335057016238,0,0,0,0,0,0,0,0,0,0.135784488067178,0,0,0,0,0,0,0,0,0,-0.0629669671558985,0,0,0.0662483369028783,-0.0275899194503974,0,0.044590728344434,0,0.0486957066705679,0,0,0,0,-0.0665726007688874,0.0608735921497178,0,-0.143812901929396,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0333622805445357,0,0,0,0,0,0,0,-0.0493785295724898,0,0,0,0,0,0,-0.112343299251091,0,0,0.093036997714291,0,0,0.0295094399093819,0,0,0,0,0,0,0,0,0,0.0469853198822184,0,0,0,0,0,0.0406384991735032,0,0,0.0486214982079738,0,0,0,0,0.0130143104850657,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068390744972793,0,0,0.00187484271067146,0,0.0882336747251265,0,0,0.0446876593613512,0,0,0,0.21029971269646,0,0,0.0175890560605139,0,0,0,0,0.140145493179629,0,0,0,0,0,0,0.00232960684153615,0,0,0,0.0110756490816533,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107899962794163,0,0,0,0,0,0,0.390724931995262,0.034563628910084,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.134616840299234,0,0.0201197326711361,0,0,0,0,0,0.127003654402724,0,0,-0.0119244252483007,-8.67361737988404e-19,0,0,0,0,0,0
