,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X000625.SZ,X002304.SZ,X600276.SH,X000063.SZ,X600690.SH,X600031.SH,X600372.SH,X000338.SZ,X002241.SZ,X000157.SZ,X600741.SH,X600703.SH,X600089.SH,X000100.SZ,X002236.SZ,X000581.SZ,X600118.SH,X601877.SH,X000550.SZ,X002475.SZ,X000559.SZ,X000050.SZ,X000568.SZ,X002294.SZ,X600066.SH,X600839.SH,X002129.SZ,X600271.SH,X002456.SZ,X000400.SZ,X300003.SZ,X000869.SZ,X300124.SZ,X002007.SZ,X000623.SZ,X000800.SZ,X600435.SH,X002038.SZ,X002292.SZ,X600177.SH,X000977.SZ,X002049.SZ,X002008.SZ,X600867.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0.0527490118361455,0,0.0957140667841444,0,0,0,0,0.0943870283722505,0,0,0,0,0.251530998794076,0,0,0,0,0,0.00188369156669772,0.0173151708238932,0.0638726350445407,0,0.0359939127309753,0,0,0,0,0,0.00821121858321834,0,0.130683389432954,0,0,0,0,0.0768102184888182,0,0,0,0,0,0,0,0,0.0405833442186193,0,0,0.0105535263288488,0,0,0,0,0,0,0
X600519.SH,0,0,0.107001500322687,0,0,0,0,0.26789136510777,0,0,0,0,0,0,0,0,0.00881107360852089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.00914562167960641,0,0,0,0,0.0910367159814482,0,0,0,0,-0.0323008553724515,0,0,0,-0.0948526840104288,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107153593796719,0.269277985083252,0.0119758289913557,0,0,0,0,0,0.010865822982684,0,0,0,0,0,0,0,0,0,-0.131063767601022,0,0,0.0274429616487863,0,0,0,0,0,0,0,0.0396842590803056,0,0,0,0.0329411499060577,-0.0494697132097487,0,0,0,0,0,0
X000651.SZ,0,0,0.143379769481187,0,0,0,0,0,0,0,0.242355865966229,0,0,0,0,0,0,0.0623176373820845,0,0,0,0,0,0.259526311120793,0.0130943974149047,0,0,0,0,0,0,0.0317071797624695,0,0,0,0,0,0,0,0,0,0,0,0,0.114193035760476,0,0,0,0,-0.171943740323,0,0,0.00411281946484283,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0381473615549969,0,0,0,0,0,0,0,0,0.128205322188879,0.0336433296025939,0,0,0,0.0823589436804149,0,0,0.216069939114992,0,0,0,0,0,0,0.0288786634942992,0,0,0,0,0.209007247721721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117742490458575,0,0.0729377538984805,0,0,0,0.0192023020651992,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0485130675535717,0,0,0,0,0,0,0,0.0277590470938574,0,0,0,0.0900624152193712,0,0,0.0535375582707282,0,0,0,0,0.151416931129169,0,0.0585150369468682,-0.0158522502580471,0.235971234696532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407633740152017,0,0,0,-0.0065290520378696,0,0,0,0,0,0,0
X000625.SZ,0.353497157401715,0,0,0,0,0,0,-0.0267906040311852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295295551421895,0,0,0,0.16580310364684,-0.0348677299890828,0,0,0,0,0,0,0.139253415007166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00785301175388176,-0.0056344566055038,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.176201594663595,0,0,0,0,0,0.0783615582997894,8.67361737988404e-19,0,0,0,0,-0.0683768880959585,0,0,0,0,0,0.192230680686992,0,0,0,-0.0528299674928784,0.183189850436554,-0.106685630280791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402819588395178,0,0,0,0,0,-0.0217126942403138,0,0.00388873372434601,0.0532146549850888,0,0,0,0,0,0
X600276.SH,0,0,0.135175116135199,-0.0360623050893863,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411740284380297,0.104089674837056,0,0,0,-0.0321647299163736,0,0,0,0,0.050749144018037,0,0,0,0,-0.0183475800918534,0,0,0.0309710213255487,0,0,0.0861294481522495,0,0,0,0,0,0,0,0,-0.165852284810083,0,-0.0577631902252635,0.209604939805211,0,0.019280542218763,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049548585852192,0.035803847525513,0,0,0.0412112175850689,0,0,0.051518559207665,0,0,0,0,0,0,0,0,0,0.03907338586902,0.109555645253208,0.00146445527322651,0.107981519474512,0.0465760448817942,0,0.0914185241157913,0,0,0,0,0,0,0,0.0170016599554795,0.0220573865573541,0,0,0.00796773120420437,8.67361737988404e-19,0,0,0,0,0,0
