,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600031.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X000559.SZ,X600066.SH,X002292.SZ,X002236.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002475.SZ,X601877.SH,X002129.SZ,X600839.SH,X000547.SZ,X600177.SH,X300124.SZ,X000016.SZ,X600435.SH,X000568.SZ,X002465.SZ,X300003.SZ,X600582.SH,X002294.SZ,X002456.SZ,X002074.SZ,X000977.SZ,X600252.SH,X002008.SZ,X002276.SZ,X000066.SZ,X000800.SZ,X000581.SZ,X300032.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.220434436957175,0,0,0,0,0,0,0.0898917339687837,0.0398773128299294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159632101540174,0.0112064584410392,0,0.0409256263819095,0,0,0,0,0,0,0,0,0.0092759082929681,0,0,0,0,0,0,0,0,0,0,0,0,0.000642496137704739,0,0,0,0.017052771420642,0,0,0,0,0,0
X600104.SH,0.43582003228809,0,0,0,0,0,0.0669953992040754,0,0,0,0,0,0,0,0,0,0,0,0,0.187635878482215,0,0,0,0.0240435780200256,0,0,0.0442504814361721,0,0,0,-0.00945000113053158,0,0,0,0,0,0,0.0948690028538261,0,-6.93889390390723e-18,0,-0.0114128131511998,0,0,0,0,0,0,0,0,-0.10815312242302,0.0164668830972351,0.0170213954274711,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.159859901896239,0,0,0.127491519036487,0,0,0,0,0,0.180430616933449,0.0718996233606649,0,0,0,0.0229525890013137,0,0,0,0.112679925490305,0,0,0,0.0127936834741273,0,0,0,0,0,0.0162972822029776,0,0,0.218167831043944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00256824518032636,0.0034742904793463,0,0,0,0,0,0
X000725.SZ,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0945337549160888,0.176501621492759,0.101129671516437,0,0,0,0.0780315461444299,0.0969546972144112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117573735462586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,-0.0183669843378288,0,0,0,0.0743206668103125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616553588130754,0,0,0,0,0,0,0,0.249093503747926,0,0,0,0,0.0528197362729912,0,0,0,0,0.200951589577491,0,0,0,3.46944695195361e-18,0,0,0,0.13623491359844,0,-0.0343549045001185,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.2367450437871,0,0,0,0,0.0303342845723502,0,0,0,0,0,0.133641473700439,0,0,0,0,0.00769666286175034,0,0,0.0117809227163846,0,0,0,0,0,0.0724442786140872,0,0,0,0.467019941919859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147146189065271,0,0,0,0,0,0
X002304.SZ,0,0.18817806575968,0,0,0,0.410308156240689,0,0,0,0,0,0,0.0368428882903517,0,0,0,0,0,0.00294007508733766,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.00783664627615739,0,0,0,0.00381870667185022,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.000802551934158743,0.0306970872389026,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0438423177161099,0,0.072838534268484,0,0,0,0,0.0595410817406093,0,0,0.139837634122534,0,0,0,0,0.115690199984406,0.201388421494778,0,0,0,0,0,0.0706421357905972,0,0,-6.93889390390723e-18,0.0533964536691025,0,0,0,0.0604148645055824,0,0,0,0.0546960543005804,0.000921146808624214,0,0,0,0,0,0,0,0.0189230880522031,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.21292736403439,0,0,0,0,0,0,0,0,0,0,0,0.0733451140207669,0.260266350794017,0.139775047214657,0,0,0,0,0,0,0.0211437468323858,0,0,0,0.00764621093626383,0,0,0,0,0,0.00424553451136225,0,0,0,0,0,0,0,0,-0.00572616933731352,-0.0276611951652453,0,0,0,0,0,0
X000625.SZ,0,0.0256325017232785,0.0505076729840473,0,0,0.079734857997988,0,0.0691834397878093,0,0,0,0,0,0,0.0917614037287473,0,0.0402840218063679,0.00951038028805716,0,0.0049299918921801,0,0,0,0,0.0567508493822991,0.188819300339993,0,0,0,0,0,0,0,0,0,0.072817685942109,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0422226608212808,0,0,0,0,0,0,0,0,0,0,0
