,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X000858.SZ,X600276.SH,X600690.SH,X600031.SH,X000100.SZ,X600372.SH,X600271.SH,X000338.SZ,X002129.SZ,X600118.SH,X000157.SZ,X600703.SH,X600089.SH,X600741.SH,X002241.SZ,X600177.SH,X002236.SZ,X600066.SH,X600582.SH,X002292.SZ,X601877.SH,X000800.SZ,X300124.SZ,X000581.SZ,X000869.SZ,X600839.SH,X000977.SZ,X000623.SZ,X002475.SZ,X002294.SZ,X600060.SH,X000568.SZ,X000550.SZ,X000559.SZ,X002007.SZ,X300146.SZ,X600435.SH,X600867.SH,X002456.SZ,X002465.SZ,X000400.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.168221909474164,0,0,8.67361737988404e-19,0,0,0.0693393065133247,0,0,0,0,0,0.212674352878498,0,0,0,0,0,0,0,0,0,0,-0.00560044196816251,0,0,-0.00363964288575876,0,0,-0.0026624554660084,0,0,0,0,0.0554041606693292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373670432654737,0,0,0,0,0,0
X600104.SH,0,0,0.184092322128443,0.105440422310645,0.00149772453066649,0,0.134082656044617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438396306499579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929387531967018,0,0,0,0,0,0,-0.00689298562276422,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0
X000651.SZ,0,0.23663362796574,0,0,0,0.0324550516272368,0,0,0,0,0.0215172937460565,0,0,0,0,0,0,0,0,0,0.0737721357803306,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0957003421746723,0,0,0,0,0.018263347830391,0.260989277764487,-0.00868571239712123,0,0,0,0,0,0,0.0179712387746657,0,0,0.00882461360604247,0.00629300125224439,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298469549618238,0,0,0,0,0,0,0,0,0.124341298658009,0.0826577439076848,0,0,0,0,0,0.0155745117113204,0,0,0,0,0.0432487051686734,0,0,0,0,0,0,0,0,0,0.351343085112454,0.0830764760261547,0,-0.0116546793919189,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0309021584439909,0.0278948978629238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162488799183183,0,0,0,0.0389672942071179,0,0,0,0,0,0,0,0,0,0,0.178834920145484,0,0,0.0555194271539109,0,0.264398994122604,0,0,0,0,0,0,0,0.0506275788649296,0,0,0.0115016982540038,0,0,0,0,0,0,0
X000625.SZ,0,0,0.0558918751000018,0,0.333408879874729,0,0,0,0,0,0,0,0,0,0.0162806892614106,0,0,-0.0871839869681001,0,0,0,0.104856344196871,0,0,0,0,0,0,0,0,0,-0.0258915871227359,0,0,0,0,0,0,-0.00699354250790397,0.0738893539716166,0,0,-0.111522479670649,0,0,0,0,0,0,0,0,0,0.0334680943342878,0,0,0,0,0,0
X000063.SZ,0.130958367340769,0,0.0442299015153007,0,-3.46944695195361e-18,0.0334186841777412,0,0.0501825955286909,0,0,0,0,0.134514260649992,0,0,0,0,0,0,0,0.0759352733420659,0,0,0,0.0940029337053635,0,0,0,0,0,0,0,0,0.0604269183342545,0.0433087640477574,0.0672189847482661,0,0,0,0.0228366683551112,0,0,0,0,0,0,0,0,0,0.161452495937951,0,0,0.0248045471765434,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.0909116695943382,0,0.470718881148984,0,0,0.0405483124008402,0,0,0,0,0,0,0,0,0,0,0,0.0143196816129476,0.0665010227031993,0.148497102266345,0,0,0,0,0,0,0.0899206220379576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00557920386844117,-0.0030069068857136,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0338196743060823,0,0,0,0.065039013299816,0,0,0,0.0751647329161303,0.0246881089764983,0,0,0,0,0,0,0,0,0,0,0.0647778572941416,0,0,0,0,0,0,0,0,0,0.107580590845296,-0.0127884750914596,0.187329771406369,0,0,0,0.185301752868585,0,0,0,0.0292468345433707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.0280756211333092,0,-0.0505942240369155,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.014142303825181,0,0,0,0,0,0,0,0.0429528227542521,0,0.0434376477990458,0,-0.0427227238218492,0,-0.000920928618915501,0,0,0.0227090808791302,0.0723226804653198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124915681846543,0.0221333101924849,0,0,0,0,0,0
