,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002241.SZ,X002236.SZ,X000568.SZ,X000100.SZ,X600031.SH,X600271.SH,X002456.SZ,X002475.SZ,X600118.SH,X002085.SZ,X000338.SZ,X002292.SZ,X600177.SH,X000157.SZ,X002007.SZ,X002180.SZ,X600372.SH,X000559.SZ,X300003.SZ,X600867.SH,X002426.SZ,X300124.SZ,X002508.SZ,X601877.SH,X002506.SZ,X600498.SH,X002294.SZ,X002074.SZ,X600522.SH,X600089.SH,X000050.SZ,X600418.SH,X000977.SZ,X000981.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00831430882816926,-6.93889390390723e-18,-0.0183898444262121,4.33680868994202e-19,0,0.320089596183452,0,0,0.137105224499397,0,0,0,0,0.0602853461303944,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0576375301027146,0,0.143665978909189,0,0,0,0,0,-0.0464502944532484,0,0,0,0,0,0,0.137538541536083,0.0212344360846297,0,0,0,0.00120982028510406,0,0,0,0.106193046848567,0,0,0,0,0,0,0
X600104.SH,0.0581700788333197,0,0.042547212977867,0,0,0,0,0,0.366053813858674,0.02556262115305,0,0.275304585432126,0,0,0.0580367172760846,0,0,0,0,0,-0.123122054897722,0,0,0,0,0,0,0,0,0.0182540490263828,0,0,0,0,0,0,0,0,0,0.0187800171995132,0,0,0,0,0,0,0.00850992598856707,0,0,0,0.00415523355678824,-0.107583176810692,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00718618131554263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503185364721987,0,0.0384991431632699,0,0,0,0,0.0237760506371576,0,0,0,0,0,0,0,0.0652451363633832,0.0799256449303411,0,0.122589681627383,0.347722035205113,0,0,0,0,0.0386578690372314,0,0.144995859321408,0,0,0,-0.0665626240504332,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,-0.00520429125997372,0,0,0,0,0,0,0,0,0,0,0,-0.132552813351958,0,0,0,0,0,0,0,0,0.0224622375371474,0,0,0,0,0,0,-0.0473083502537552,0,0.110394237875411,0,0,0,0.0491605920672187,0.0981353544215137,0,0,-0.025367975478067,-0.0157982898420063,0,0,0,-0.10447395567643,0.129498648406112,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.0876771620889211,0,0,0,0,-0.0273683480464328,0.0105647559083769,0.632700064383146,0,0,0,0,0,0,0,0,0,0,0,0.0698038467703613,0,0,0,0,0,0,0,0.139823084834749,0,0,0,0,0,0,0,0,0.112306622962162,0,0,0,0,-0.014632390019183,0,0,0,0,0,0,0
X600276.SH,0.13951985613295,0,0.116418724966603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588138720571337,-0.0574921227556324,0,0,0,0,0,0,0.17123100740571,0,0,0,0,0,0,-0.105101411754558,0.0340854471686486,-0.0568001830794766,0,0,0,-0.0566699027148785,-0.0215747555794243,0,0,0,0,0,0
X002304.SZ,0.0647152346716705,0,0,-0.0483087770968056,0.245562853891908,0,0,0,0,0,0,0,0,0,0,0,0.142508990355223,0,0,0,0,0,0,0,0,0,0,0,0,0.0624950495678758,0.165092671647087,0,0,0,0,0,0,0,0,-0.048898357775592,0,0,0.0361512417102305,0,0,0,0,0.00451411343070044,0.069998265530838,0,0.0605922964458595,0.0528941037008054,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.160275790197038,0,0,0,0.0556124647628783,0,0.158760868266021,0,0,0,0,0,0.0385705395262923,0,0,0,-0.0153335340544963,0,0.0762057300418828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0851555024760951,0,0,0,0,0,0,0
X000625.SZ,0,0.118937180782409,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0666072634973127,0,0.00113327928606151,0,0.0795921236389629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00962401350937059,0,0,0,0.0426250785594626,0,0,-0.00070623815167398,0,0,0,0,0.0864170734477544,0,0,0,0,0,0.053488299987876,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X600690.SH,0,0.128132764488853,0.113669683099421,0,0.0818053436055911,0,0,0,0.135850516737456,0,0,0,0,0.178513939968763,0.0879667205878046,0,0,0,0,0,0,0,0,0,0,0,2.7143548111716e-05,0,0.15876191591682,0,0,0,0,0,0,0,0,0.0030392213661115,0,0.0262612850642497,0,0,0.00113318037092657,0.078149655173769,0,0,0,0,0,0,0,0.024499741622423,0,0,0,0,0,0
