,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X600031.SH,X600271.SH,X000100.SZ,X600118.SH,X000559.SZ,X600066.SH,X600372.SH,X000157.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X600741.SH,X600089.SH,X002292.SZ,X000338.SZ,X300124.SZ,X002465.SZ,X600839.SH,X000568.SZ,X600177.SH,X002074.SZ,X300003.SZ,X002129.SZ,X002294.SZ,X000977.SZ,X600867.SH,X600582.SH,X002506.SZ,X002276.SZ,X600498.SH,X000800.SZ,X002008.SZ,X000869.SZ,X000547.SZ,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0,0,0,0,0.0700868099066864,0,0.00481593702321824,0,0,0,0,0,0.0292208904322801,0,0,0,0,0.0731548121075249,0.263870344522427,0,0.0442421985672495,0.0663455018574211,0,0,0,0,0.0713011486924446,0.0350145956924111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746795535494488,0.176382532193872,0,0,0,0,-0.0183661191058997,0.0696951132545598,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184346314405965,0,0.0241604034537038,0,0,0,0,0,0,0,0.312606889155993,0,0.104427267277321,0.0519837741390261,0,0,0,0,0,0,0.0210120648426318,0,0,0,0,0,0,0.0979672895215879,0,0,0,0,-0.0521734743551107,0,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276784054108375,0,0,0.0264875362750611,0,-0.189022251070968,0,0,0.00312538440366756,0,0,0,0.0409063895330097,0,0,0,0,0.157789489006132,0,0.13064423645781,0,0.062155581570711,0,0,0.0420334731690721,0,0,0,0,0,0.131400530870258,0.039332563608209,0,-0.0506454628882067,0,0,0,0,0,0,0
X600839.SH,0,0,0,0,0,0,0,0,-0.235978291443898,0,0,0,0,0,0,0.098879873571402,0,0,0,0,0,0,0,0,0,0,0,0.00876060272292699,0,0,0,0,0,0,0,0,0,0,0.0374416797308505,0,0,0,0.141217749346621,0,0,0.412134630360205,0,0,-0.0666815074365703,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0,0.30422654542973,0.0345350500413077,0,0.0393621438393634,0,0,0,0,0.0423451373237136,0.0880438037251518,0,0,0.249987703322595,0,0,0,0.0477040389167543,0.00410325876374314,0,0.00820587030110125,0,0,0,0,0,0,0.025878362941987,0,0.0816140594500622,0,0,0,0,0,0,0,0,0,0,0,0,0.000439659543826179,0.0311644042806584,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0203401158433776,0.0381167296483729,0,0,0,0,0,0,0.452442660955275,0,0,0,0,0,0,0,0,0,0,0,0,0.038409308275439,0.0167829767162208,0,0,0,0.0170906766505825,0,0.142205162712391,0,0,0,0,0,0,0,0,-0.0186120365717203,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374945543708277,0,0,0,0,0,0,0,0,0,0,0,0,0.0995220261338251,0,0,0,0,0,0,0,0,0,0,0.101556252560315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0.187064386285346,0,0,0,0,0.0614751068248478,0,0,0,0,0.323621705553724,0,0,0,0,0,0.051919110134723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198104170476397,0,0,0,0,0,0,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,-0.209652958322224,0,0,0,0,0,0,0,0.0625855436307668,0,0,0,0.0149205982765521,0,0.0920129767821908,0,0,0.0755045223603917,0,0,0,0.0659729061419464,0,0,0,0.0526817317238011,0,0,0.129620138541741,0,0,0,0,0,0,0,0,0,0.279662478852825,0,0,0.221620555189233,0,0,-0.0605245028739065,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0.105861650842232,0.123154028658744,0,0.0189701733381716,0,0.125849120484243,0,0,0,0,0.101446454304109,0,0,0.0708315543940005,0.113556952751283,0,0,6.54428697791851e-05,0.148891862758861,0,0,0,0,0,0.0143114907027556,0,0,0,0,0,0,0,0,0.0377965724137981,0,0,0,0,0,-0.00286756579869737,0,0,0,0,0,0,0
