,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000568.SZ,X002475.SZ,X000338.SZ,X600703.SH,X600741.SH,X601877.SH,X300003.SZ,X600271.SH,X002236.SZ,X002007.SZ,X300124.SZ,X002008.SZ,X000661.SZ,X600809.SH,X600487.SH,X000100.SZ,X600498.SH,X600867.SH,X002179.SZ,X300146.SZ,X000625.SZ,X300142.SZ,X000596.SZ,X000157.SZ,X600177.SH,X002456.SZ,X600566.SH,X600066.SH,X600089.SH,X002180.SZ,X002506.SZ,X600372.SH,X300136.SZ,X600522.SH,X002294.SZ,X002241.SZ,X600699.SH,X000977.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.520629377216215,0.137688763643637,0,0,0.0822396941591015,0,0,-0.0274619040005867,0,0,0,0,0,0,-0.0765304500411793,0,0,0,0,0,0.0399233095770768,0,0,0,0,0,0,0,0.247491752476484,0,0,0,0,0,0,0,0,0,-0.0225554456870705,0,0,0,0,0,0,0,0.00799419866234519,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.021267044431177,0,0,0,0,0,0,0,0,0,0,0,0.221225943885632,0,0.0952555656780397,0,0,0,0.245089337710015,0,0,0.0381161026653165,0,0,0.118682394043316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294587947481497,0,0,0,0.0144514698588998,0,0,0,0,0,0
X002415.SZ,0,0.00166964644540568,0,0,0,0,0,0,0,0.0462877464853316,0,0,0,0,0,0,0,-0.00729813710567037,0,0.656013588142869,0,0,0.274519336226378,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0713172624883821,0,0,0,0,0,0,0,0,0,0.00822655781310828,0,0,0,0,0,0,0,0.0809970253142857,-0.000771368784000282,0,0,0,0,0,0.156555643615428,0
X600276.SH,0,0.0480580975661864,0.16452969924928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4427453977732,0,0,0,0,0.0313030816607424,0,0.0432275214733455,0,0,0,0.0294909134944695,0,0,0,0,0,0,0,0.00529085500442626,0.0316976821504109,0,0,0,0,0,0,0,0.0506964394194343,0,0,0,0,0,-2.16840434497101e-19,0.0078690338629847,0,0,0,0,0,0
X000651.SZ,0,0.068266449920177,0,0.00776137228657746,0,0.0685098563615216,0.0510202824012098,0,0,0,0,0.237237727422254,0,0,0,0.108707368414821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114501975223486,0,0.107416066185074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160283482778144,0,0.0163204710579201,0,0,0,0,0,0,0
X000858.SZ,0.112487332728174,0,0,0,0,0,0.169313020248034,0,0,0,0,0,0,0,0,0.145127316903408,0,0,0,0,0,0,0,-0.0335559123029925,0.227133811913642,0,0,0,-0.000551156927973069,0,0,0,0,0.292826549555971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00551626204445003,0.030777761145677,0,0,0,0,0,0
X002304.SZ,0.112157322416537,0,0,-0.0326196003946167,0,0.217526490966215,0,0,0,0,0,0.248317470370464,0,0,0,0,0,0.0820010700764115,0,0,0,0,0,0,0.157408738405406,0,0,0,0,0,0.165242041468947,0,0,0.214037209705892,0,0,0,0,-0.0175881186529539,0,-0.0340732382102673,0,0,-0.0529025880466715,0,0,0,0,0,0,0.199071675370079,0.00334343269891508,0.0629384780859965,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,-0.031290246581624,0,0,0.000336612223334888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203042351074373,0,0,0,0,0,0.0250225657561602,0,0,0,0,0.319320265425897,0,0,0,0.126877803187327,0,0,0,0.0536970436348555,0,0,0,0,0,0,-0.0216237449073894,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.112033994078611,0.155745452035074,0,0,0,0,0.0109703472812613,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0210173369721968,0,0,0,0,0,0.094648161891151,0,0,0,0,0,0,0,0,0,0.391778455068669,0,0,-0.00970293969466294,-0.0350447933859054,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.23053675623167,0,0,0,0,0,0,0,0,0,0,0,0,0.0904872763808716,0,0.479614106248273,0,0,0,0,0.0370957068805371,0,0,0,0.117990967644793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172606608469906,-0.0779669483418717,0,0,0,0,0,0
X600031.SH,0,0,0,0.146003986933048,0,0,0,0,0,0,0,0,0,0,0,0.123573008035339,0,0,0,0,0,0,0,0,0,0,0.207719128716601,0,0,0,0,0,0.0671099492504945,0.152881920944553,0,0,0,0,0,0,0,0,0.127589774355161,-0.0353122940827102,0,0,0,0,0.0396398206882064,0,-0.0198239789297641,-0.0267067879589753,-0.0445358125472959,0,0,0,0,0,0
