,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X600276.SH,X002304.SZ,X002475.SZ,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002129.SZ,X002371.SZ,X300014.SZ,X003816.SZ,X000338.SZ,X002241.SZ,X000063.SZ,X002049.SZ,X600703.SH,X000596.SZ,X002179.SZ,X000625.SZ,X300142.SZ,X600089.SH,X601877.SH,X000100.SZ,X000661.SZ,X002180.SZ,X600741.SH,X000157.SZ,X600460.SH,X000733.SZ,X600884.SH,X000799.SZ,X600702.SH,X600522.SH,X002074.SZ,X002236.SZ,X002432.SZ,X600584.SH,X600779.SH,X002414.SZ,X000800.SZ,X000977.SZ,X600183.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.285516646008212,0,0,0,0.174528617627389,0,0.00194839640405779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143448903924184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108467765532057,0,0,0.00920013175968013,0,0,0,-0.0206618040534681,0,0,0,0,0,0,0
X000858.SZ,1.38777878078145e-17,0,0,0,0.242890144988404,0.160552455235484,0,0.132824723342172,0,0,0,0.0294546791690253,0,0,0,0,0,0,0,0,0.081285139839414,0,0,1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461607653754091,0,0.00321642439677276,0,0,0,0,0,0,0,0,0,0,-0.0130854125725662,0.0143247576844987,0,0,0,0,0,0
X002415.SZ,0,0,0,0.152370562936693,0,0,0,0,0.0771822207872099,0,0,0,0,0,0,0,0.0644479526542826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046047907229659,0,0,0,0,0,0,0.102188102538079,0,0,0,0.00533846577168166,0,0,0,0,0.17449918160823,0,0,0.156667776380009,0,0.00788110909011449,0,0,0,0.0299761186560886,0,0
X600809.SH,0,0.231972471218994,0.173588930724008,0,0.481705474669645,0,0,0,0,0,0,0,0,0,0.03153624038191,0,0,0,0,0,0,0.00658363468058241,0,0.0756080670674739,0,0,-0.0160456008075777,0,0,0,0,0.045064728145753,0,-0.0774714405950417,0,0.0814324164963175,0,0,0.0598887907601563,0.0347054167406181,0,0,-0.052061365930575,0,0,0,0,0,0,0,0,0.0593238551945514,-0.024017450907041,0,0,0,0,0,0
X000568.SZ,0.134155446318704,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687211060271793,0,0,0,0,0,0,0,0.226091894809977,0,0,0,0,0,0,0,0.139912069107652,0,0,0,0,0,0,0.0546834646175895,0,0,0,0.0221455165942947,0,0,0,0,0,0,0,0,0,0.0438293833267859,0,0,0,0,0,0
X600690.SH,0.0305118137605588,0.0804953232695815,0,0,0,0,0.106975043739643,0,0,0,0,0,0,0,0,0,0,0,0,0.00652801696632543,0,0,0,0.230131658712902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01055546129097,0,0.0113919566680849,0,0,-0.02274062348284,0,0,0,0,0,0,0.284770155627338,0,0,-0.00888944161808069,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.265763529762566,0,0,0,0,0,-0.145271072863637,0,0,0,0,0,0,0,0.0134628016205666,0.190697702262694,0,0,0,0,0,0,0,0,0,0.0765117525910142,0,0,0,0,0,0,0.0683589713961885,0,0.0472312061017243,0,0,0.0415765103878354,0,0,0,0,0.0400120996164273,0,0.0434585915855865,0,0,-0.0209886714548835,0,0,0,-0.0747290297002831,0,0
X002304.SZ,0.114594168933391,0,0,0,0,0,0,0,0,0,0,0,0,0.212146534214401,0,-0.0802779234628249,0,0,0,0,0,0,0,0.316665124055275,0,0,0,0,0,0,0.00656664666567325,0,0.121823932944941,0,0,0,0,0,0.201781582212936,0,0,0,0,0,0,0,6.93889390390723e-18,0.141083700025856,0,0,0,-0.0180162176324953,0,0,0,0,0.0399410434474009,0,0
X002475.SZ,0,0,0,-0.0637578819219041,0,0.248218086429972,0,0,0,0,0,0,0,0,0.0139185130303318,0.286765871438218,0,-0.229424887456754,0,0.306190568573051,0,0,0,0,0,0,0,-0.0782514706347916,0,0,0,0,0,0,0,0,0,0,0.0314463491156821,0.0624660862007071,0,0,0,0,0,0,0,0,0,0,0,-0.0372023507719026,-1.73472347597681e-18,0,0,0,0.0383100882788945,0,0
X600104.SH,0.00833871900516408,0,0,0,0,0,0,0.183536218264981,0,0,0,0.0753819895667967,0,0,0,0,0,0.068665639702794,0.104567634939679,0,-2.16840434497101e-19,0,0,0,0,0.0690893968194328,0,0,0,0,0,0.0279519721527073,0,0.0314156195812343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000821925484546759,0,0,0,-0.0058845800066975,0,0
