,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002129.SZ,X003816.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X000661.SZ,X002180.SZ,X002241.SZ,X000100.SZ,X601877.SH,X600702.SH,X300142.SZ,X600741.SH,X002074.SZ,X000733.SZ,X600522.SH,X600460.SH,X000157.SZ,X600584.SH,X000799.SZ,X300003.SZ,X600884.SH,X000977.SZ,X000066.SZ,X002294.SZ,X002236.SZ,X002007.SZ,X002414.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-1.73472347597681e-18,0.290426589702336,0,0.121615811644864,0,0.0523085380735987,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428112286450589,0,0,0,0,0,0,0,0.0125836828550213,0,0,0,0.043690424856889,0,0,0,0,0,0.00896094221276084,0,0,0.0821105131408653,0,0,0.0493018350910026,0,0,0,0.0338960801503412,0,0,0,0.00125906317525439,4.33680868994202e-19,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.285440562982269,0,0.560537442473411,0,0,0,0.165493541660221,0,-0.0168245251922062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114467517021354,0,0,0,0,0,0,0,0,-0.0602495538522364,0,0,0,0,0,0,0,0.053257040156001,0,-0.0257684690681051,0.00262194500503122,0,0,0,0,0,0
X000568.SZ,0,0.305177523665003,0,0,0.381401206671756,0,0.185960340293359,0.0725103450931224,0,0,0,0,0,0,0,0,0,0,0,0.0131774776699902,0,0,0,0,0,0,0.0677406589413704,0,-0.0520333020383861,0,4.33680868994202e-19,0,0,0,0,0,-0.0389357590583437,0,0,0,0.126873173863959,0,-0.0925904737921628,0,0,0,0,-0.0366047527579496,0,0,0,-0.0119667349087696,0.00521655966919941,0,0,0,0,0,0
X002415.SZ,0,0,0.151248645852644,0,0,0,0,0,0,0,0,0,0.0595920281958864,0,0,0,0,0,0,0.0434897004871074,0.0548173331750747,0,0,0,0,0,0,0,0.0251156479860691,0,0,0,0,0,0,0,-0.035140868616813,0,0,0,0,0,0,0.199971917472289,0,0,0,0,0,0,0,0.00925332169277403,-0.0267230207917091,0,0,0,0,0,0
X600809.SH,0,0,0.692791541946142,0,0,0,0,0,0,0,0,0,0,0,0,0.042580128335436,0,0,0,0,0,0,0,0,0,0,-0.0296707014539514,0,0,0,0,0,0,0,0,-0.00620864985295974,0,0,0,0,0.0363258074066453,0,0,0,-0.0570753416768028,0,0,0,0,-0.0677741833174124,0,0,-0.00867894924435506,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178591677531398,0,0,0,-0.19844033924614,0,0,0.362664171241376,0,0,-0.020220086231352,0,0,0,0.00482633699292121,0.0254689655339705,0,0,0.0521304949824337,0.0593241477287753,0,0,0,0,0,-0.0333173053228095,0.0232753768622631,0,0,0,0,0,0
X002304.SZ,0,0.324470396535674,0.329896893305731,0.0202419328093629,0,0,0,0,0,0,0,0,0.0339230096068846,0,0.133872881167024,0,0,0,0,0,0,0.0549317028331833,0,0,0,0,0,0,-0.052736970693965,0,0,0,-0.0530500347876172,0,0,0,-0.0175417529877155,0,0,0,0,-0.0344310118728568,0,0,-0.100034290783914,-8.67361737988404e-19,0,0.0525374868398951,0,0,0,0,0.00331233518549544,0,0,0,0,0,0
X600690.SH,0,0,0.051629194880217,0.0717054924408708,0,0,0.0725031330161693,0,0,0,0,0,0,0,0.00154567106833619,0.279157332464026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257956712562828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346968418308559,0,0,0.0616007851132503,0,0.0102616492829872,-0.0101718450455101,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.038574954377674,0,0,0.259708224021741,0,0,0,0,0.0142605006728019,0,0.209463210926222,0,0,0,0,0,0,0,0,0.21080927200961,0,0,0,0.0181056441135707,0,0,0,0.102457257058325,0,0,0,0,0,0,0,0,0,0,0.0768959203002128,0,-0.042726272551109,0.094022248419031,0,-0.0431546847640629,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.0649288568614974,0,0,0,0.0591214159468319,0,0,0,0,0,0,0,0,-0.143292268107575,0,0,0,0,0,0.177152103522558,0,0,0.0115110507936925,0.157379314003567,0,0,0,0,0.179487413731544,0,0,0,0,0,0,0,-0.0623509742165256,0,0,0.202770151726891,0,0,0,0.00418820108910564,-0.0159415214351155,0,0,0,0,0,0
