,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X002475.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X003816.SZ,X000725.SZ,X002129.SZ,X000625.SZ,X600031.SH,X000596.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X002179.SZ,X000338.SZ,X600089.SH,X600703.SH,X002180.SZ,X000661.SZ,X300142.SZ,X601877.SH,X002241.SZ,X000733.SZ,X002074.SZ,X600741.SH,X600522.SH,X000100.SZ,X600702.SH,X600460.SH,X000157.SZ,X600584.SH,X600884.SH,X300003.SZ,X600487.SH,X000799.SZ,X000800.SZ,X002414.SZ,X000066.SZ,X002294.SZ,X002007.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.297091727908519,0,0.0517682354666053,0.321359427704291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0464422178780305,0,0.321678617377124,0,0,0,0,0,0,0,-0.136961412767799,0,0,0,0,0,0,0,0,0,0,0,0.0016997578033824,0,0,0,0.0161024852069298,0,0,0,-0.00426371379780465,0,0,0,0,0,0,0
X000858.SZ,0.25850931660895,0,0,0,0.404193300502106,0.0302205646135478,0,0,0,0,0.107256438241475,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.00368819150099252,0,0,0,0,0,0,0.0193869718811817,0,0,0,0,0,0,-0.00229992504462474,0.0439445634031327,0.0368049303028344,0,0,0,0,0,0,0,0,0,-0.0262012933954464,0.0789396466488651,0,0,0,-0.0158612321198284,0,0,0,0,0,0,0
X600809.SH,0.351794382908564,0,0,0,0.51280927762379,0,0,0,0,0,0,0,0,0,0,0,0,0.0601876149098646,0,0,0,-0.108100702538364,0,0,0,0,0,0,0,0,-0.0103174636881516,-0.0387818354719157,0,0,0,0,0.0824203191498885,0,0,0,0,0,0,0,-0.0403511657300264,0,0,0,0,0,0,0.00704371798041733,0,-0.0760512163945813,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0126964860036698,0,0,0,0,0,0,0,0,0,0,0,0.0250230213856918,0,0,0,0.0587080799239692,0,0,0,0,0,0,0,0.0472548528593347,0,0.0589273300775059,0,0,0,0,0,0,0,0,0,0,0,-0.00634837380089617,0.19161392800372,0,0.0778722329125303,0.133419733905606,0.142367228102923,0,0,0,0,-0.0321226024577083,0,0,0,0,0,0
X000568.SZ,0.255963182102072,0.244641790668626,0.707684071287822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103256699633125,0,0,0,0,0,0,0.0272259458470566,0,0.00778345023058414,0,0,-0.0309745119057018,0,0,0.0625607381551602,0,0,0,0,0,0,-0.110489037062486,0,-0.0178355801756809,0.0236983139718192,0,0,0,0,0,0
X600276.SH,0,0,0,0.0516822764176924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298704120771964,0,0.0297656083975906,0,0,0,0,0,0,0,0,0,0,0,0,0.158690098335856,-0.180032839454574,0,0,0,0,0,0,0.0998107142445793,0,-0.0216154925772377,0.0393996663804139,0,0,0,0,0,0
X600690.SH,0.0723186102067186,0,0,0,0.260513038205763,0,0,0,0,0,0.225273413552417,0,-0.0546312617483691,0,0,0.121844355583799,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0373073163757477,0,0.00557913130197476,0,0.0301662952771362,0,0,0,0.0207670166112877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107349793425744,-0.0382583601161783,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.429215949571925,0,0,0,0,0,0,0,0,0,0,0,0.0439982899537356,0.0369709750849949,0,0,0,0,0,0,0,0,0,0,0,0.0542836797140448,0,0,0,0,0,0,0.0907348392815287,0,0,0,0,0,-0.0650601359290396,0,0,-0.0607395088690306,0,0,0,0.0437311413522939,0,-0.010256272300777,-0.0328867523821975,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0.0889177239414712,0,0.036630927878612,0,0,0.187034283740639,0,0,0,0,0,0,0.0485268122463447,0,0,0,0,0,0,0,0.171608269766644,0,0,0.253397462721188,0,0,0,0,0,0,0,0,0,0,0,-0.0746473706481385,0,0,0,0,0,-0.0131124163231132,0,0,-0.0173234278705962,-0.022266458631631,0,0,0,0,0,0
X300124.SZ,0,0,-0.0527909836703649,0,0,0,0,0,0.504638971980109,0,-0.0885682075077026,0,0,0,0,-0.0454104167127348,0,0,-0.111444647925024,-0.09062787700693,0,0,0,0,0.0868784308320097,-0.123583013508138,0,0,0,0.232437632028428,0,0,0.0562426020523049,0,0,0,0,0,0,0,0,0,-0.0445419576280733,0,0,0,0,0,-0.0275141557041526,-0.00414009930002879,0,0.0169727352604178,0.00337828788200662,0,0,0,0,0,0
