,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002475.SZ,X002304.SZ,X000651.SZ,X000063.SZ,X300124.SZ,X600104.SH,X002371.SZ,X003816.SZ,X000725.SZ,X600031.SH,X000596.SZ,X002129.SZ,X000625.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X000977.SZ,X600089.SH,X600703.SH,X002049.SZ,X002236.SZ,X000100.SZ,X600372.SH,X002241.SZ,X600584.SH,X601877.SH,X600741.SH,X000157.SZ,X000661.SZ,X600522.SH,X002180.SZ,X002074.SZ,X000733.SZ,X000066.SZ,X600702.SH,X300003.SZ,X600460.SH,X300142.SZ,X002463.SZ,X300146.SZ,X002007.SZ,X000800.SZ,X000988.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.223205499796062,0,0.0276614636954237,0.114374757246901,0,0,-0.0203586815667181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236043539238703,0,0,0.0124913500223188,0,0,0,-0.105702755385887,0,0,0,0,0,0,0,0,0,0,0.183225668021287,0,0,0,0,0,0,0,0,0,-0.00574759039040371,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.286177133885636,0,0.0619056762869106,0,0,0,0,0,0,0,0,0,0,0.0229122964285001,0.0287389536657538,0,0,0,0,0,0,0,0,0.0287327520140623,-0.012232846596245,0,0,0,0,0,0,0,0,0,0,0,0,0.0291524003342216,0.195745263991797,0,0,0,0,0,0,0,-0.0316580635324298,0.00426109944139242,-0.0428060877164655,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0515958063651628,0,0,0.0380776973823373,0,0,-0.0805783789472575,-0.123295644659026,0,0,0,0,-0.0409595919607073,0.164429578371297,0,0,0,-3.46944695195361e-18,0.28525885493733,0,0.2684142005687,0,0,0,0,0,0,0,0,0,0,0,0,0.038380123394552,0.012059745228029,0,0,0,-0.14154592316812,0,0,0,-0.10167860709345,0,0.0152199214283132,-0.0207030148417679,0,0,0,0,0,0
X000568.SZ,0,0.220394292034783,0,0,0,0.0586978765078494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0987683974890771,0,-0.0505471660919253,0,0.102212031412017,0,0,0,-0.0229675671201593,0,0,0,0,-0.0359620289723461,0,0,0,0,0.0824552708267745,0,-0.035657189255752,0,0,0,0,0,0,0,0.0124518374307191,-0.00489095882954357,0,0,0,0,0,0
X600276.SH,0,0,0.238287723437061,0,0,0,0.106756291134544,-0.0314289915472916,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.012734778966819,0,-0.169509488501507,0.115826497541335,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0230555907643627,0,0,0,0,0,0,0,0,-0.300546515358375,0,0.0781757881745878,0,0.148110710731616,0,0.00443294994473079,0,0,0,0,0,0,0
X600809.SH,0,0.0575694797127901,0,0,0,0,0,0,0.00972685541266847,0.0687563138448576,0.0565142821935468,0,0,0,0,0,0,0,-0.254226625674521,0,0,0,0,0,0,0.0189661027617778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00787181872574023,0,0,0,0,0,0,-0.0698825673285699,0,0.00701504455074366,0.309867747496785,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.329561460261849,0,0,0,0.0199170258172693,0.121635990228921,0,0,0,0,0,0,0.116258562232429,0,0,0,0,0,0,0.0450597452818935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347456451950779,0,0,0,0,0,0,0,0,-0.0666304033127689,0.0520662012659216,0.078560060439503,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0742326112794174,0.0413548749685151,0,0,0.63651781606581,0.226090834755768,0,0,0,0,-0.0300148088352462,0,0,0,-0.0677003756914816,0,0,0,0,0,-0.126703006036711,0,0,0.0913805254257724,0,-0.0258770855904886,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0597297773682488,0,0.0608331050545565,0.0772203266508994,0,0,0.0529957352890212,-0.0151804498552189,0,0,0,0,0,0.0596058010349764,0,0,0,0,0,0,0,0,0,0,-0.0798216211495593,0,0,0,0.0147917946350611,0,0,0,0,0,0,0,0,0,0.125889844857768,0,0,0,0.00408674756757917,0,0,0,0,0,0,-0.0232314441016808,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.223088873823422,0.0872055116614832,0,0,0,0,0,0,0.0305787618498879,0,0,-0.441174676487215,0,-0.0450093358847449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379550639882964,0,0,0,0,0,0,0,0.0785819332569707,0,0.0216041271869346,0,0,0,0,0,0,0
