,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X000725.SZ,X002371.SZ,X300014.SZ,X600031.SH,X002129.SZ,X300124.SZ,X003816.SZ,X002049.SZ,X002241.SZ,X000338.SZ,X600703.SH,X000063.SZ,X000596.SZ,X002179.SZ,X601877.SH,X000625.SZ,X600460.SH,X300142.SZ,X600089.SH,X000661.SZ,X000100.SZ,X600741.SH,X600522.SH,X002180.SZ,X600702.SH,X002074.SZ,X600884.SH,X000157.SZ,X000733.SZ,X000799.SZ,X002236.SZ,X600563.SH,X601799.SH,X600584.SH,X002008.SZ,X600779.SH,X002414.SZ,X000977.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.395760965040428,0,0,0.0162822078738234,0,0,0,0.0649339352037244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165922284585023,0,0,0,0,0,0,-0.0120947961338044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483345271820261,0,0,0,0,-0.0136679623530915,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.200581937104992,0,0,0.0907070334487188,0.133493669696367,0,0,0,0,0,0.0243491063200781,0,0,0,0,0,0,0,0,0.0273559780478542,0,0,0,0,0.00598993969055609,0,0,0,0,0,0,0.0678756581752883,0,0,0,0,0,0,0,0.135651805171527,0,0,0,0,0.0766200740389514,0,0,0,0.0241584282882274,0,0,0,0.0343309035978171,0,0
X002415.SZ,0,0,0,0,0,0.119943433815413,0,0.133289875979033,0,0,0,0,0,0.0183422216169234,0,0,0.0699946757648628,0,0,0,0,0,0,0,0,0,0,0,-0.0477708454573759,-0.100893302880126,0.0185767938245445,0,0,0,0.128049605311131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179921128716233,0,0,0,0.0160832070705659,0,0,0,-5.42101086242752e-20,0,0
X600809.SH,0,0,0,0,0.394202834236526,0,0,0.219993167025163,0,0,0,0,0,0,0,0,0,0,0.0745218459195051,0,-0.272288267408097,0,0,0,-0.0652647189132758,0.0128909031008262,0,0,-0.126000645078188,0,0,0,0,0,0,0.0347368155025859,0,0,0,0,0.100488906874013,0,0,0,0,0,0,0,0.0422526251844652,-0.00831359681335827,0.0403349566904536,0.0216223483725852,0,0,0,0,0,0,0
X000568.SZ,0.139441201172791,0.268566119908322,0,0.0729051346243354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190874060775403,0,0,0,0,0,0,0,0,0,0,0.0913633489332698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470123203673384,0,0,0,0.0119324822446831,0,0
X002475.SZ,0,0,0,0,0.0266016798443157,0,0,0,0,0,0,0,0.315537521206287,0,0,0,0,0,0,0.291409451177831,0,0,0,0,0,0,0,0,0,0,0,0,0.0279727183712358,0,0,0,0,0,-0.0394585567767621,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409835516584222,0,0,0,0,0,0,0
X600276.SH,0.110083709350656,0,0.0206009946722472,0,0,0,0,0,0.321775405166354,0,0,0,0,0,0,0,0,0,0,0,0.0678680481308639,0.0734471451273824,0.175803942583954,0,0,0,0,-0.0694164927526618,0.0237524352219669,0,0.00502869200631426,0,0,0,0.0466991586252462,0,-0.0828098523385556,0,0,0,0.00734232826336413,0,0,0,0,0,0,0,0,0,0,0,-0.0390707350191929,0,0,0,-0.0560201888971175,0,0
X002304.SZ,0.263887807271615,0,0,0.0688135522651943,0,0,0,0,0,0,0,0,0,0,0,0,0.27502418497037,0,0,0,0.0738103589354216,0,0,0.1289541200558,-0.05625520653836,0,0,0,0,0,0,0,0,0,0,0.0478286832423971,0,0,0,0,0,0,0,0.0460955509320042,0,0,0.135491954302246,0,0,0,0,-0.0768756340490973,0.0785150955257025,0,0,0,0.0142638306899596,0,0
X600690.SH,0.0801303840087232,-1.38777878078145e-17,0,0,0,0,0,0.092664230073531,0,0,0,0,0,0,0.0699466978016863,0,0,0,0,0,0.159931513161586,0,0.110709020308623,0,0,0,0,0,0,0,0,0,0,0.134330193815479,0,0.0745490501290363,0,0,0,0,0.0679378146902536,0,0,0,0,0,0.0320840411536479,0,0,0,0,0,0.00125010390597604,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0722532910866418,0,0,0,0,0,0,0,0,0,0.0409702312490493,0,0,0.117816007844835,0,0,0,0,0,0.0971513610436837,0,0,0,0,0.23072543365569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.00169108655870205,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117604906231712,0,0.111365539455256,0.212718423199056,0,0,0,0,0,0.0375692287758236,0,0,0,0,0,0,0,0.184721356684236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00782706419431286,0,0,0,0,-0.0148067554487745,0,0,0,-0.00345051157580223,0,0
