,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X600276.SH,X002304.SZ,X002475.SZ,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X003816.SZ,X300124.SZ,X300014.SZ,X002371.SZ,X002129.SZ,X000338.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X600703.SH,X300142.SZ,X000596.SZ,X002179.SZ,X000625.SZ,X601877.SH,X600089.SH,X000100.SZ,X000661.SZ,X000157.SZ,X600741.SH,X600460.SH,X002180.SZ,X000733.SZ,X600884.SH,X600522.SH,X002074.SZ,X600702.SH,X002236.SZ,X000799.SZ,X600584.SH,X002414.SZ,X000800.SZ,X600779.SH,X600563.SH,X000977.SZ,X600183.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.22806968686636,0,0,0.119492619493578,0.199811662546409,0,0.156788478430562,0,0,0,0,0,0,0,-0.0260980428139071,0,0,0,0,0,0,0,0,0.0474475106832078,0,0,0,0,0,-0.0640104269974749,0,0,0,0,0,0,0.0486496022209095,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,-0.00979116410838958,-0.0275054403076677,0,0,0,-0.0454539914841899,0,0
X000858.SZ,0,0,0,0.0167627528686125,0.203271532213663,0.161545807031432,0,0.157495330598883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583704388798925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570373746997168,0.0782054445807614,0,0,0,0,0,0,0,0.040821015142822,0,0,0,-0.0166689352775544,0.0140558539906546,0,0,0,0.00191256682098037,0,0
X002415.SZ,0,0,0,0.136877533835555,0,0,0,0,0.0833327362511803,0,0,0,0,0,-3.46944695195361e-18,0.09713126173071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591026522216511,0,0.0946395818814139,0,0,0,0,0,0,0,0,0,0,0,0,0.268067280684014,0,0,0.0312071433029496,0,0.00882894504465337,0,0,0,0,0,0
X600809.SH,0,0.149396946207415,0.175151993944609,0,0.436283592788648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073096257478655,0,0,0.00206150301015782,0.193924386530985,0,0,0,-0.0620174460416067,0,0,0,0,0,0.0492519847704918,0.0649581482821682,0,0,0,0.0702540476909996,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0728625479098397,-0.0292487080800648,0,0,0,0,0,0
X000568.SZ,0.113187001609039,0.0714223432194053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576621321742224,0,0,0,0,0,0,0.0273504722251481,0.176297559427265,0,0,0,0,0,0,0,0,0,0.126561536221298,0,0,0,0,0.0501097596409791,0,0,0,0,0,0,0,0,0,0,0,0,0.045596485384956,0,0,0,0.0168035133254996,0,0
X600690.SH,0.121285671670858,0,0,0,0,0,0.0413674921927677,0,0,0,0,0.167622963393539,0,0,0,0,0.00290585799645642,0,0,0.0281143697189991,0,0,0,0,0.134717618700492,0,0,0,0,0,0,0,0,0,0,0,0,0.0767393006608722,0,0.0481041233578523,0,0,0,0,0,0,0,0,0,0.199283257565015,0,0,-0.0044595039822919,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.238303268947247,0,0,0,0,0,-0.0876644727371748,0,0,0,0,0,-0.00444548587617521,0,0,0,0.237554136700008,0,0,0,0,0,0,0,0,0.0880110756520272,0,0,0,0,0,0,0,0,0,0,0.126698667490581,0,-0.086780178580719,0,0,0,0.0636566963661228,0,0,0,0,-0.0183085183187137,0,0,0,-0.0284449825282522,0,0
X002304.SZ,0.0273016329499857,0,0,0,0.0936693380632325,0,0,0,0,0,0,0,0,0,0.143452677929594,0,-0.0335081890068115,0,0,0,0,0,0,-0.0187226022041911,0.284899776136928,0,0,0,0,0,0,0,0.342595013170486,0,0,0,0,0,0,0.126579900791531,0,0,0,0,0,0,0,0.0718394762652222,0,0,0,-0.0152589471100502,0,0,0,0,0.0241924505698823,0,0
X002475.SZ,0,0,0,0,0.12282246684658,0,0,0,0,0,0,0,0,-0.262976587511011,0,0.0218776352876539,0.206144688426198,0.0302907922002863,0,0.450842805417913,0,0,0,0,0.00431344879795463,0,0,-0.149400208354319,0,0,2.16840434497101e-19,-0.0416291052612378,0,0,0,0,0,0.0648713180096124,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0432673743846606,0.000602510225722567,0,0,0,-4.33680868994202e-19,0,0
X600104.SH,0.0349002849760726,0,0,0,0,0,0,0.0841931754744374,0,0,0.0226108505279864,0,0.0428726565126494,0.100691946498516,0,0,0,0,0.0577810829729446,0,0,0.011603205517865,0,0,0,0,0.120597183100418,0,0,0,0,0.11702762917547,0,0,0.0290018144583866,0,0,0,0,0,0,0,0,0,0,0,0.0112330969331683,0,0,0,0,0,0.00914023555252462,0,0,0,-0.00675110516993092,0,0
