,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X000063.SZ,X600741.SH,X600703.SH,X002475.SZ,X000338.SZ,X600031.SH,X002236.SZ,X300003.SZ,X002008.SZ,X300124.SZ,X600809.SH,X600867.SH,X002456.SZ,X601877.SH,X600066.SH,X000625.SZ,X600271.SH,X000596.SZ,X600487.SH,X002294.SZ,X000100.SZ,X600566.SH,X000661.SZ,X002241.SZ,X002508.SZ,X000981.SZ,X000157.SZ,X002179.SZ,X300142.SZ,X002180.SZ,X002038.SZ,X002007.SZ,X000050.SZ,X300136.SZ,X600177.SH,X000869.SZ,X002049.SZ,X600522.SH,X600498.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.277519711858093,0,0,0.0147362441810619,0,0.138447529528309,0,0.0479989362282252,0,0,0,0,0,0,0,0,0,0.156973722297271,0,0,0,0,0,0,0,0,0,0,0.03273874093286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174294575195368,0,0,0,0,-0.00138802330624763,-0.00086904414725698,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.111586716072123,0,0,0,0,0,0,0,0,0.0824293295787757,0,0,0.00373406901357616,0,0,0,0,0,0,0,0,0,0.0459993350007738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125560889308291,-0.0771806680588114,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.150680618475636,0,0,0,-0.0280395800354809,0,0,0,0,0,0.19896088813757,0,0,0,0,0,0,0,0,0,0,0,0.123656740168604,0.0204851737471638,0,0.23279636083151,0,0.104764592174075,0.217000026822087,-0.0301006702278802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144325069723053,-0.0268130441529084,0,0,0,0,0,0
X000858.SZ,0.10886945464649,0,0,0,0.1926581932192,0,0.0437747609480298,0,0.101752856314199,0.0448172249205236,0,0.0740542156482257,0,0,0,0,0.141145620658765,0,0,0,0.174365367608488,0,0,0,0,0,0,0.00314899821376038,0,-0.0636217212929678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152094380740531,0,0,0,0,0,0
X000651.SZ,0,0,0,0.557147470822693,0,0,0,0,0,0,0,0,0.0265059161796515,0.268994823146075,0,0,0,0,0,0,0,0,0.10051377697033,0,0,0,0,0,0,0,0,0,-0.0326438202569138,0,0,0,0,0,-0.143533001112895,-0.021293545585108,0,0,0,0,0,0,0,0.0831827342349372,0,-0.145524845080597,0,0,0.0591832266808993,0,0,0,0,0,0
X600276.SH,0,0,0,0.0311311165990253,0,0,0,0,0,0.165397299368209,0,0,0,0,0,0,0,0.164419293046931,0,0,0.0359029156911726,0,0,0,0,0,-0.0811359709369329,-0.0358164612884298,0,0.175333286294968,0,0.248840753655301,0.150246135935054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0548649862976109,0,0,0,0,0,0,0
X002304.SZ,0,0,0.209824772691631,0.197738761001597,0,0,0,0,0.108651664951396,0,0,0.0923031816242063,0,0,0,0,0,0,0,0.00940607819183775,0.0356760718844467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0754833495809387,0,0,0,0,0,0,0,0,0,0,0,0,0.039493863278533,-0.0269303235687037,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0961408945793088,0,0,0,0,0,0,0,0,0,0.0879498664204193,0,0,0,0,0,0,0,0,0,0,0,0,0.240655809543815,0,0,0,0,0,-0.137821340735973,0,0,0,0.16406229257511,0,0,0,0,0.144909835093939,0,0,0.00481893240008764,0.0657998767977869,0,0,0,0,0,0
X600690.SH,0,0,0,0.428716694096171,0,0,0.0417234467040151,0,0,0,0,0.12176779452449,0,0,0,0,0,0,0,0,0.0932032079129988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015179792531551,-0.0112480242761299,0,0,0,0,0,0
X000568.SZ,0,0,0,-6.93889390390723e-18,0.0116136993498541,0.173376328441249,0.0743355714516098,0,0.310336274671734,0,0,0,0.0656591403450641,0.108690888024834,0,0,0,0.0146352154972907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0793290994820026,0,0,0,0,0,0,0,0,0,0.0738975736326335,0,0,0.0235724656813387,-0.0093788332760829,0,0,0,0,0,0
