,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600183.SH,X000596.SZ,X600703.SH,X002236.SZ,X000100.SZ,X601877.SH,X300003.SZ,X000157.SZ,X002463.SZ,X002007.SZ,X002241.SZ,X300142.SZ,X002179.SZ,X600271.SH,X300014.SZ,X000625.SZ,X300124.SZ,X600867.SH,X000066.SZ,X002008.SZ,X002049.SZ,X000977.SZ,X002129.SZ,X600498.SH,X600066.SH,X300136.SZ,X600177.SH,X002506.SZ,X002371.SZ,X000050.SZ,X300146.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002475.SZ,0,0.0953580705426321,0,0,0.124641086688167,0,0,0,0,0.105815733360195,0,0,0.0953731170654506,0,0,0,0,0.301388695832758,0,0,0,0.111319807767501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125092425880765,0.02590347191269,0,0,0,0,0,0,0,0,0,0,0,0,0.00866583009086726,0,0,0,0,0,0,0
X000568.SZ,0,0.690933814179328,0,0,0,0,0,0.0309030326482009,-0.000447723140996822,0,0,0,0,0,0,0.172402746693236,0,0.0486925430898211,0,0.0592780654426853,1.0842021724855e-19,0,0,0,0,0,0,0,-0.101244586153665,0,0,0,0,-0.0923946080978789,0,0,0,0.0243142968096311,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195249782313002,0,0,0,0,0.0467427573607285,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.0494832159339328,0,0,0,0.121711945478781,0,0,0.0736539480458002,0,0,0,0,0,0,0,0.150166278457849,0.0365593346371414,0,-0.0418414228346846,0,0,0,0,0,0,-0.024150377589513,0.00764731986802143,0,0,0.0865148521973251,0,0,0,0,0,0,0,0,0,0,0,0,0.0361521465366004,0,0,0,-0.0409822401822636,0,0
X600690.SH,0,0,0,0,0,0,0,0.129913155174896,0.111758342116871,0,0.00996832988158678,0,0,0,0,0.0140391732806378,0,0,0,0,0,0,0,0,0.0145433353480883,0,0,0,0,0,0.0269406854897736,0.149405785163476,0,0.0371434607186326,0,0,0,0,0,0,-0.141094382931783,0,0,0,0,0,0,0,0,0,0,0.00321461959061042,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.120930859944087,0,0,0,0,0.134546564302149,0,0,0,0,0,0,0,0,0,0.0437103096249735,-0.0140526330877512,0.215876440989446,0,0.221961741036546,0,0,0,0,0.0192059339910869,0,0.0403094290782984,0,0,0,0.200192429590032,0,0,0,0,0,0.0883916352846335,0,0,-0.00840109894371665,0,0,0,0,0,0,0
X600741.SH,0,0,0,0.322122897557013,0,0.356950656773398,0,0,0,0,0.0335878753653437,0,0.224948798713119,0,0,0,0,0,0,0.0618843858320721,0,0,0,0,0,0,0.0459500017062622,0,0,0.0200391575690497,0,0,0,0,0,0,0,0,0.208027804166222,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.0896289517005255,0,0,0.00704900038808302,0,0,0,0,0,0,0
X600809.SH,0,0.362437942889127,0,0,-0.0321170196626529,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.119152273066253,0.0244407122781941,0,0,0,0,0,0,0,0,0,0.0203686619525603,0,0,0,0,0,0.0615639671469963,0,0,0,-0.0274171316614881,0,0.000198399717657387,0,0,0,0,0,0.0370380940095802,0,0,-0.0228598326506991,0,0,0,0,0.124741469478939,0,0
X000661.SZ,0,0.0371094755773172,0,0.192954387073252,0.219535478669173,0,0,0.109882365816569,0,0,-3.46944695195361e-18,0.00895189566605208,0.0343678807103692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138690493001024,-0.0333880235883585,0,0,0,0.0699331752062289,0,0,-0.0526854939382724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327194043869869,0,0,0,0,-0.0922460558752911,0,0
X600183.SH,0,0,0,0,0,0,-0.128282412513841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151057762102881,0,0,0,0,0,0,0,0.387062183355136,0,0.00915952314055591,0,0,0,0,0,0,0,0,0.010860385560009,0,0,0.0472580146804799,0,0,0,0,0,0,0,0,0,0.000915541783455692,0,0,0,0,0,0
X000596.SZ,0,0.152578564666929,0,0,0,0,0,0.328198738303896,0,0,0,0.18697025011776,0,0,0,0,0,0.00999776429590007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893702304516446,-0.151381127880733,0,0.00156707507228744,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.122469890604647,0,0,0,0.0211384172412206,0.0161891848834165,0,0,0,-2.16840434497101e-19,0,0
