,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X600547.SH,X601600.SH,X600886.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600010.SH,X600489.SH,X600111.SH,X000708.SZ,X600027.SH,X002460.SZ,X600803.SH,X000301.SZ,X601991.SH,X600426.SH,X000983.SZ,X600160.SH,X000786.SZ,X002466.SZ,X600219.SH,X601699.SH,X000807.SZ,X600176.SH,X000630.SZ,X600985.SH,X002128.SZ,X000408.SZ,X600096.SH,X601168.SH,X000933.SZ,X000877.SZ,X600995.SH,X000883.SZ,X002353.SZ,X600378.SH,X600352.SH,X600688.SH,X000027.SZ,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.537943076801633,0,0,0,0.127986122495606,0,0,0,0.0142877100097537,0.18500512446488,0,0,0,0,0.232048271439985,0,0.105667416124116,0,0,0,0,0,0,0,0,0,0,-0.0214424441565014,0,0,0,0,0,0.0151382257731676,0,0,0,0,0,0,0,0,0,0.0525814837394512,0,0,0,0,0.0802355221938196,0,0,-0.0786080095954087,0,0,0,-0.0417449974709139,0,0
X600028.SH,0.41112733736863,0,0.157885988693381,0,0.0715003121854113,0,0.0106162912192183,-0.0137898406921475,0,0,0,0,0,0.0634743402750982,0,0,-0.0318310797958046,0,-0.139307100324591,0,0,0,0,0,0,0,-0.0454433687919854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119557149354564,0.0301139737072692,0,0,0,0,0,0,0.045260069686745,0,0,0,0,0.0288404779959778,0,0
X601088.SH,0,0.235853151922033,0,0,0.10030332284001,0.226789220748354,0,0,0,0,0,0,0,0.0616059003164006,0,0,0,0,0,0,0,0,0.0175354584583891,0,0,0,0,0,0,0,0,0,0,-0.0325494945513037,0,0,0,0,-0.0373045247004824,0,0,-0.0130457681553076,0,0.0159875811825139,0,0,0,0,0,0,0.0332594972720232,-0.0160621802599725,-0.0156120118379125,0,0,0,-0.00634310717094763,0,0
X600309.SH,0,0,0,0,0,-0.0291012141613172,0,0,-0.118581808552584,0,0,0,0,0,0,0,0,-0.114519843449762,0,0,-0.0635494780565254,0,0.0241212814398681,0,0,0.350404489360437,0,0,0,0,0,0,0,0,0,-0.0183747416566283,0.396259809584131,0,0,0,0,0,0,0,0.0606043651261394,0.0554788079903442,0,0,0,0,0,-0.0493638286974908,-0.0408858944526072,0.0642324652895832,0,0,-0.00698031988241689,0,0
X601898.SH,0,0.293458832708224,0.139809782493791,0,0,0.0667752465611021,0,0,0,0.0419625986627229,0,0,0,0,0,0,0,0.00511618323402959,0,0,0.0405275189224369,0,0,0,0,0,0,0,0,-0.0262382076789799,0.0503547597560032,0.126132305120465,0,0,0,0,0,0,0,0.136737688941631,0,0,0,0,-0.0921691407733104,0,0,0,0,0.206124999561535,0,0,0,0,0,0,0.0174990543425893,0,0
X600188.SH,0,0,0.299397621756208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168168844676415,0,0,0,0,0,0,0,0,0,0,0.563943541158985,-0.0946636241715569,0,0,0.451133594056294,0,0.123657490617784,-0.117793338270714,-0.0205648298104335,0.0204114634658493,0,0,0,-0.0627478809582219,0,0,0,0,0,0,0,0.0497628642213393,0,0,0,0.022464811447208,0,0
X600019.SH,0,0.399699647764979,0,0,0,0,0,0,0,0.00879337279354218,0,0,0.0380215958485925,0,0,0,0,0,0,0.451100003597093,0.0391472153004635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105812209841268,0.115735497277491,0,-0.0350874072758366,0,0,0,-0.178224440076713,0,0,0,0,0,0.0798960899658554,0,-0.195170055503181,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,-0.0178154801833741,0,0,0,0,0,0,0,0,0,0,-0.00496230997333593,0,0,0.22656219342726,0,0,0,0,0.157332188557398,0,0,0.15210873971547,0.314344949340003,0,0,0,0,0,0,0,0,0.010668835049477,-0.207221897029928,0,-0.0738189731474941,0,0,-0.0865333667913563,0,0,0,0,0,0,0,-0.109010544533893,-0.122699511146969,0,0,-0.0636531398402266,0,0
X600547.SH,0,0,0,-0.282273427518388,0,0,0,0.0419401994363846,0,-0.0708638862542854,0,0,0,0,0,0.12064487024001,0,0.626678793638909,0,0,-0.0928394457965179,0,0,-0.115507440309935,0,0,0,0.225935456282702,0,0,0,0,0,0,0,0,0.0751258127684198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405946330707983,0,-0.0359508608030914,0,0,0.0199728729565386,0,0
X601600.SH,0.0715407660068339,0,0,0,0,0.0252440444073476,0,0,0,0,0,0,0,0.0175338096914861,0,0.259856390045394,0,0,0,0,0.0691991715741638,0,0,0,0,0,0,0.00247024594699059,-0.10761781916789,0,0,0,0.351501279441725,0,0,0,0.179084268682658,0.138366644585813,0,0.20374404724267,0,0,0,0.11121099041284,0,0,0,0,0,0,0,-0.010340152503594,0,-0.00524096490718166,0,0,-0.00171325867875252,0,0
