,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X600660.SH,X000708.SZ,X600547.SH,X002271.SZ,X600011.SH,X600362.SH,X601600.SH,X600176.SH,X600886.SH,X000786.SZ,X601898.SH,X600426.SH,X002466.SZ,X600010.SH,X600188.SH,X000301.SZ,X600111.SH,X600352.SH,X600801.SH,X601991.SH,X600795.SH,X300037.SZ,X600489.SH,X002080.SZ,X600486.SH,X600688.SH,X600219.SH,X600803.SH,X600027.SH,X002353.SZ,X600299.SH,X601992.SH,X000898.SZ,X000932.SZ,X600399.SH,X601168.SH,X600529.SH,X002409.SZ,X000723.SZ,X000027.SZ,X600516.SH,X000630.SZ,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,-0.00487840610535603,0,0,-0.0331069908366795,0,0.0853635706587975,0,0,0,0,0,0,0.0250003067772601,0,0.0410843373339297,0.00983574525637492,0,0,0,0,0,0,0,0.0210053774380638,0,0,0,0,0,0,0,0,0.0321437252452518,0,0,0,0,0,0,0,0,0,0,0,-0.00924220283440572,0,0,0,0,-0.00595885676221737,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,-0.0429672774825845,0,-0.00316805035079261,0,0,0,0,0,0.036955912416564,-0.0290890796213895,0,0.0538930274367674,0.010062089297267,0.0497234358954417,0,0,0,0,0,0,0.0791362950616828,0,0,0,0,0.0808849658256065,0,0,0,0.104239596440785,0,0,0,-0.0129273676282346,0,0,0,0.0216273529545683,0,0,0,0,0,0,0,0,-0.00590828798836772,0,0
X601088.SH,0,0,0,0,0,0.0115427293620995,0,0,0,0,0,0,0,0,0,0,0,0.64509943314266,0,0,0,0.189442943684796,0,0,0,0,0,0,-0.00295484387490141,0,0,0.0111666348248921,0,0,0,0,0,-0.0331136279226429,0,0,0,0,0,-0.00554079113964749,-0.067292763911854,0,0,0,0,0,0,0.00731055414730254,0,0,0,0,-0.0046712602091507,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.233465043228334,0,0,0,0,0,0,0,0,0,0.237541697123998,0,0,0,0,0,0,0,0,0,0.103735915587103,0.0711576128525389,0,0,0,0.0699757378529853,-0.245612564062059,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0774170167479393,0,0,0,0.00973202651006545,0,0.0131892586010239,0,0,0,0,0.0141440650998457,0,0
X600585.SH,0,0,0,0,0,0,0.0377251861392398,0,0,0.081541644845407,-0.0488004877449634,0,3.46944695195361e-18,0.0417255497553805,0,0,0,0.205819302451277,0.06623773346215,0,0,0,0,0,0,0,0,0,0,0,-0.0181432177873408,0,0,0,0,0,-0.0505510662011207,0,0,0.0237035425022956,0,0,0.0115545860242179,0.0340719158620279,0,0,0,0,0,0,0,0.0260948918285603,0,0,0,0,0.00075305105323575,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0976481071433536,0,0,0,0,0.183795853296064,0,0,0,0,0.1306151065812,-0.0461125018293036,-0.00934178329213554,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0194500946178111,0,0,0,0,0,0,0,0,0,0,0,0,0.0954279883546653,0,0,0,0,0,0,0.0570810360800433,0,0.0262926436073944,0.0325664952294191,0.0349427426884194,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.17361295585965,0,0,0.255510218991089,0,0,0,-0.0579649705979018,0,-0.0116361499849951,0,0,0.380736420773001,0,0,0,0,0,0,0,0,0.403351717910508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225952966016556,0,0,0,0,0,0,0.0145076128379686,-0.0518612596555121,0,0,0,-0.0159388516503175,0,0
X600660.SH,0,0,0,0,0,-0.151847933985598,0,0,0,0,0,0,0,0,0,0,0,-0.0345971180799075,-0.0227609515634889,0,0,0,0.0138239292490415,0,0.0542623412680237,0.210719473873409,0,0,0.216055324557424,0,0,0,0,0,0,0,0.0485728592351366,0,0,0,0,0.083863281206479,0,0,-0.105238334081681,-0.0205207789843649,0,0,0,0,0,0,0.0155060187301725,0,0,0,0.00941277793377463,0,0
X000708.SZ,0,0,0.0648102615793318,0,0,0,0,0,0,0,0,0,0.0795275995738895,0,0,0,0,0,0,0,0,0,0,0.0995779242777322,0,0,0,0,-0.00989529336930583,0,0,0,0,0.170848140076963,0.0658427523136198,0,0,0.201698193728001,0,0,0.160294712226925,0,0,0,0,0,0,0,0,0,0,-0.0609078362348171,0.10195949771301,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0.0345349705386423,0.0647633087502577,-0.0438895944157098,0,0,0,0,0.00523463660724701,0,-0.0226418625847319,0,0,0,0,-0.0246495599755745,0,0,0,0,0,0,0,0,0.0260500817792646,0.572082021691801,0,0,0,0,0,0,0,0,0,0,0,0.0560733219972794,0.0169334063816849,0,0,0,0,0,0,0,0,0.0120666858344657,0,0,0,0,0.00435979671876917,0,0
