,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X600886.SH,X600795.SH,X600585.SH,X601600.SH,X600688.SH,X601991.SH,X000709.SZ,X600157.SH,X600027.SH,X600362.SH,X002075.SZ,X600188.SH,X600111.SH,X600583.SH,X601992.SH,X601158.SH,X000539.SZ,X600309.SH,X600021.SH,X000027.SZ,X002353.SZ,X000898.SZ,X600352.SH,X000883.SZ,X002470.SZ,X000878.SZ,X601918.SH,X600660.SH,X000629.SZ,X600808.SH,X000792.SZ,X600863.SH,X600307.SH,X600578.SH,X000060.SZ,X600098.SH,X000825.SZ,X600489.SH,X600008.SH,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.891568070080797,0.0171987290248694,0,0,0,0,0,0,0,0,-0.065371926223782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0223599271998798,0,0.0396799252108323,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0956457246237118,0.00628641125403261,-0.00387192999784951,0,0,0,-0.258010844989573,0,0
X600028.SH,0.451439600069363,0,0,0,0,0.178366074675298,0.0400324936290378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11029407466728,0,0.0390005521994286,0,0,0,0,0,0,0,0,0,0,0.000745695400600987,0,0,0,0,0.028135726754225,0,0,0,0,0,0,0,0,0,0,0.0233538984827102,0.0712008999944818,0,0,0,0,0
X601088.SH,0.0823903732165535,0.162236923591054,0,0,0.154715451602263,0,0.113329717032571,0,0,0.000598959349886654,0,0,0.116658208882348,0,0,0,0,0,0,0,0,0,0,0,0.00680400356196759,0,0,0,0,0,0,0,0,0,0,0,0,0.0908827962884767,0,0,0,0,0,0,0,0,0,0,-0.013586014174113,0.0113489793504421,0,-0.0632830451122054,0,0,0,0
X600011.SH,0,0,0,0,0.059082630222025,0,0.229156515967691,0,0,0,0.0708878190913693,0,0.0669167845596043,0,0,0.0100098197771856,0.0582948210892455,0,0,0,0,0,0,0,0,0,0,0,0.0373332465291722,0,0,0,0,0,0,0,0,0,0,0,0.263583650781622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0201039924077325,0,0,0,0,0,0,0,0,0,0,0,0.194259043982486,-3.46944695195361e-18,0,0,0,0,0,0.0645124814170298,0,0,0,0,0,0,0,0,0,0,0.308403656847608,0,0,0,0,0.140240818574625,0,0,0,0,0,0,0.00336840927022774,-1.73472347597681e-18,0,0,0,0,0,0
X600019.SH,0,0.0654530446531326,0.159125750831009,0.177700860684947,0.00337961506070751,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.205187025669548,0,0,0,0,0,0,0,0,0,0.16277833293911,0,0,0,0,0,0,0,0,0,0.000358109672073328,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.224395137001401,0.0850776413047272,0,0,0,0,0,0,0.0880278137835383,0,0.107867475000756,0,0,0,0,0,0,0,0,0.197639398580393,0,0,0,0.133007515445791,0,0,0,0,0.111964218125556,0,0.0500741397276838,0.201543909618026,0,0,0,0,0,0,0,0.0346759097710328,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.0996480028841363,0,0,0,0,0,0,0,0.230209385258709,0,0,0,0,0,0,0,0.157736337433711,0,0,0,0.0760882886760733,0,0,0,0,-0.0385215558687189,0,0,0,0,0,0,0,0,0,0,0.0258285708736945,0,0,0,0,0,0,0.0072562806447559,-0.0383403119531969,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.0702970357701391,0,0,0,0,0.0938370719473177,0,0,0,0,0.0729796273280715,0,0,0,0,0.187434700077836,0,0,0,0,0,0,0,0,0,0,0,0,0.250880752963994,0,0.116585864048073,0,0,0,0,0,0,0,0.00285260768637876,-0.00131569105702766,0,0,0,0,0,0
X600585.SH,0.0429096841963387,0.00558544726769019,0.11028723829306,0.070218736944682,0,0.0550480037902547,0,0,0,0,0.145834752273841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197536277465261,0,0.0376763407705974,0,1.73472347597681e-18,0,0,0,0,0,0.290293399365151,0,0,0,0,0,0,0.0153266267662689,0,0,0,0,0,0,-0.00698831764199153,0,0,0,0,0,0,0
