,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600188.SH,X600111.SH,X600362.SH,X600010.SH,X600795.SH,X600886.SH,X601992.SH,X600688.SH,X600027.SH,X600309.SH,X600583.SH,X000792.SZ,X000883.SZ,X000898.SZ,X601158.SH,X000709.SZ,X002353.SZ,X600489.SH,X000629.SZ,X600547.SH,X000539.SZ,X000825.SZ,X601699.SH,X600315.SH,X000831.SZ,X000027.SZ,X600660.SH,X600352.SH,X000983.SZ,X600808.SH,X000630.SZ,X000937.SZ,X002470.SZ,X600549.SH,X000959.SZ,X600307.SH,X600578.SH,X600490.SH,X600863.SH,X000960.SZ,X600348.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.12896109494636,0,0,0.0905866042298124,0.0418594599715342,0,0,0.122801830383841,0,0,0,0.0169934709586817,0,0,0,0,0,0,0,0,0,0,0,0.0354967770131827,0.0442528289071949,0,0,0,0,0,0,0,0.0224945688403348,0,0,0,0,0,0,0,-0.026828639563698,0,0,0,0,0,0,0,0,0,0.00386574901900897,-0.0198425382868022,0,0,0,0,0,0
X600028.SH,0,0,0,0.0227840186937406,0,0.0968737407416844,0,0,0,0,0,0,0,0,0,0,0.0451270768334955,0,0.0262988583253215,0,0,0,0,0,0,0.0811340363150823,0,0,0,0,0,0,0,0,0,0.03031929289993,0,0,0,0,0,-0.0770672747627399,0,0,0,0,0,0,0.225982716350451,0,0,0,-0.0110207969671989,0.0123490647553831,0,0,0,0,0
X601088.SH,0,0,0,0,0.00624695073898788,0,0.120027885505593,0,0.144815958259323,0.199735282014607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0408284781089548,0,0,0,0,0,0.024843255132896,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.00279145590942206,-0.0141408396813776,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.182225203301616,0,0,0,0,0,0,0.0346143992708543,0,0,0,0.170510385396655,0.374611157884623,0,0,0,-0.0822589441238223,0,0.0436426342622923,0,0,0.0313255032613612,0,0,0,-0.0781955568247408,0,0,0.176578832114057,0,0,-0.0247922568023531,0,0,0,2.16840434497101e-19,0,0,0,0,-0.0246846549917236,0,0,0,0,0,0.0137553750178957,-0.0356634385209483,0,0,0,0,0,0
X600585.SH,0,0,0,0.0204903276181229,0,0,0,0,0.197325705071433,0,0,0,0.084270692130745,0,0,0,0,0,0,0,0,0,0,0,0.00917016805673461,0.0484409833386684,0,0.033736254385513,0,0,0,0,0,0.0307066357228459,0,0,0,0,0,0,0.110980241948577,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,-0.0178861565542061,0,0,0,0,-0.0649397449959247,0,0
X600019.SH,0,0,0,0.167915370538083,0,0,0,0,0.0393351790928781,0.0731611219450154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235455119140959,0,0,0.169179579365349,0,0,-0.0162075776948453,0,0,0,0,0,0,0,0,0,0,-0.107225925937098,0,0.105734741147528,0,0,0,0,0,0,0,-0.00135687262147558,0.0124859922705631,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.258837989345609,0.103609201727004,0,0,0.0295675979131025,0,0,0.136204244581472,0,0,0,0,0,0,0,0,0,0,0.074664921387849,0,0,0,0,0,0,0.102519255503717,-0.0265443480021141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251297993982725,0,0,0,0,0,0
X601991.SH,0,0,0,0.00280588556377342,0,0,0.0390431916349594,0,0.0188895382298268,0,0,0,0,0,0,0,0,0.123051931462165,0,0,0,0,0,0,0,0.0501085903187897,0,0.0989856515648722,0,0.0530537161520091,0,0.0538710519969072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171262247534455,0,0,0,0,0,0.0187625217111396,-0.0417350773683683,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0310373212445553,0.032618989285461,0,0,0,0.429173130029869,0,0,0,0,0,0,0,0,0,-0.0527335786745171,0,0,0,0,0.064770602915445,0.0632808758247023,0,0,0,0.00744298573682851,0,0,0,0,0,0.0324381000416882,0.0846104213387322,0,0,0,0,0.0678573340936181,0,0,0.0150716844648164,0,0,0,0,0.00554259199384779,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.00599580706213816,0.010191032357931,0,0,0,0,0,0,0,0,0,0.251785725883375,0,0,0,0,0,0,0,0.0236455915670881,0,0,0,0,0,0,0,0,0,0,0,0.209926643486305,0,0,0,0.311530732237999,0,0,0,0,0,0.0428382685294597,0.134818058116522,0,0.103754148060361,0,-0.0327122716067259,0.0272513221981597,0,0,0,-0.11780801655213,0,0
