,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600010.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600688.SH,X600309.SH,X601992.SH,X601158.SH,X600583.SH,X000792.SZ,X600157.SH,X000898.SZ,X600352.SH,X000709.SZ,X600547.SH,X600489.SH,X000831.SZ,X002353.SZ,X000539.SZ,X600660.SH,X600008.SH,X000630.SZ,X000027.SZ,X000825.SZ,X600808.SH,X000629.SZ,X002470.SZ,X600549.SH,X600021.SH,X600578.SH,X600315.SH,X600098.SH,X600307.SH,X000983.SZ,X601699.SH,X600863.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.505485412152453,0,0,0,0,0,0,0,0,0.0110209155414536,0.148077073624365,0.148587886642459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153179337177692,0,0,0,0.0427501737659413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000169681888383692,0,0,0,0,0,0
X600028.SH,0.265022455413167,0,0,0,0,0,0,0,0,0,0.166355226922361,0,0,0,0,0,0.352390581193514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242251412980854,0,0.0585371593283273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0423642744267552,0,0,0,0,0,0,0
X601088.SH,0.0587844426411089,0,0,0,0.13105717625879,0,0.0859416598004764,0,0,0,0,0,0.0956803334282382,0,0,0,0,0.103963348461815,0,-0.0139873562503565,0,0,0,0,0,0,0,0,0.0457233578254773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353882843168867,0,0,0.0528664509190524,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0538174137362855,0,0,0.145490122123821,8.67361737988404e-19,0.0483309387894732,0,0.16328860272599,0.144272951078066,0,0,0.184626282671977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137413303530542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.164173888883031,0,0.0942535223650723,0,0,0.121391795114527,0,0,0,0,0,0,0.3487759214536,0,0,0,0,0,0,0.00850474659751962,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0308582079433291,0,0,0,0,0,0,0,0,0,-0.0139731679266167,0,0,0,0,0,0,0
X600585.SH,0,0,0.0857349930649557,0,0,0,0,0,0,0,0,0,0.0309894318049186,0,0,0,0.0842218501215497,0,0,0,0.0473835627394224,0,0,0,0,0,0,0,0,0,0,0,0.0123950973167248,0,0.0841326604313391,0,0,0,0,0,0,0,0,0.188978489486148,0,0,0.228300889844754,0,0,0,0,0.00329092884898621,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.116424195564714,0,0.0789140876770993,0,0.00613507020492451,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0233954088482074,0,-0.00734704816017951,0,0,0,0,0,0,0,0.00693679294058313,0,0,0,0,0.165545917146143,0,0,0,0,0,0,0,0.294172739575859,0.227199361461026,0,0,0,0,-0.00261725116734192,0,0,0,0,0,0
X600010.SH,0,0,0,0.11081432484983,0,0,0,0,0,0,0,0,0.0414747642993001,0,0,0,0,0,0,0,0,0,0,0.399031376972207,0,0,0,0,0,0,0,0,0,0,0,0.14251086869613,0,0,0,0.127717004208558,-0.0737912541767267,0,0.217744314851483,0,0.0140979165532056,0,0,0,0,0,0,-0.0244301260884536,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.126831383000036,0,0,0.221938169465108,0.256085527055306,2.77555756156289e-17,0,0,0,0.0553035725578282,0,2.16840434497101e-19,0,0,0,-0.0234841821286719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152391518667912,0,0.251018686226554,0,0,0,0,0,0,0,0,0,0,-0.0242144577989743,0,0,0,0,0,0
X600795.SH,0,3.46944695195361e-18,0,0,0,0,0,0,0.304660686180026,0,0.181866009551422,0.114747847863399,0,0,0,0.119749354867149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921402109084268,0,0,0,0.0114679129303798,0,0,0,0,0,0.0308404789391765,0,0,0,0,0,0,0,0,0,0,-0.0117522473069689,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.143440649780261,0,0.18734971562956,0,0,0.164220755506232,0,0,0,0,0,0,0,0,0,0,0,0.268905393514935,0,0.0197195420067615,0,0.0835490077189927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195620410909055,0,0,0,0,0,0
X600886.SH,0.0621740187249947,0,0,0,0,0,0,0,0.0793957419511582,0,0,0,0,0,0,0,0,0.103926001565987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186476685693116,0,0,0.224862201903704,0,0,0,0,0.145457880389575,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,-0.0138422844791924,0,0,0,0,0,0
X600188.SH,0.222920847871873,0,0.00665301389641586,0,0.0649271622376658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242003933115445,0,0,0,-3.46944695195361e-18,0,0,0,0.156919183284376,0.270878767198247,0,0,0,0,0,0,0,0,0,0,0,0.117722192615198,0.27458842703563,0,0,0,-0.00330159305385629,0.0195947122795759,0,0,0,0,0,0
X600362.SH,0,0,0,0.0449040905876525,0,0,0,0,0,0,0,0,0,0,0,0,0.0373864595282617,0,0.0888025024536227,0,0.0390237664304031,0,0,0,0,0,0,0,0,0,0,0,0,0.10776042660606,0,0,0,0,0,0,0,0.0432808232231966,0,0,0,0.222691150342345,0,0,0,0,0,-0.0111614578692802,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0.0232531364064102,0,0,0,0,0,0,0.0920781572864166,0.139622265160655,0,0,0,0,0,0,0,0.0786642736180071,0,-3.46944695195361e-18,0,0,0,0,0.156926686160715,0,0,0,1.38777878078145e-17,0,0.311025762379415,0.0643700613003111,0,0.11958683210689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600027.SH,0,8.67361737988404e-19,0,0.153179477016489,0,0,0,0,0,0.487431323763923,0,0,0,0,0,0,0,0,0,0.0923877582988637,0,0,0,0,0,0,0,0,0,0.0345203417562576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0861127693344117,0,0,0,0,0,0,0,-0.0257736267243474,0,0,0,0,0,0
X600688.SH,0,0.418423540878261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152043605571431,0,0,0,-0.0859076479812477,0.0538696779276916,0,0.242560206803165,0,0,0,0.0800535333082916,0.0281716818002137,0,0,0,0,0,0.135864717215762,0,0,0,-0.0318910729725335,0.00123978230597564,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.000884798404383754,0,0.214486580843364,0.191027814666076,0,0,0,0,0,0,0,0.166950221834823,0,0,0,0.0536071537088039,0,0,0,0,0,0,0.109871634880744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132467528197047,0,0.015472218436957,-0.00286546440396864,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0.204865596737363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845463148137382,0,0.0874462607326842,0,0.02759753580481,0,0,0,0,0.0343610842777014,0.0243819525334153,0,0,0.128204997359554,0,0.282997661641101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418457855008373,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,-0.133862539794785,0,0,0,0.11040898052396,0,0,0.0239053820458065,0,0,0.0873990918710836,0,0.0689564700800856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511688250150524,0,0,0,0,0,0,0,0,0,0,-0.0511396560986287,0.0552669552209573,0,0,0,0,0,-0.0340890792444891,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0.0141282377388025,0,0.0706913510655805,0.0419125459565457,0,0.0932063244618665,0.178652637170749,0,0,0,0,0,0.109946633818686,0,0,0,0,0.164675584347441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601761148478516,0,0.0187399010860144,0.0944226976355176,0.0435269368211071,0,0,0,-0.00455561816019001,0,0,0,0,0,0
