,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X601600.SH,X600886.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X000708.SZ,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X600111.SH,X601992.SH,X000723.SZ,X600027.SH,X000786.SZ,X002271.SZ,X600516.SH,X002353.SZ,X600176.SH,X600489.SH,X002466.SZ,X000898.SZ,X600299.SH,X002460.SZ,X601158.SH,X000709.SZ,X000883.SZ,X600426.SH,X600612.SH,X600583.SH,X600219.SH,X600315.SH,X000629.SZ,X000792.SZ,X000027.SZ,X000630.SZ,X000553.SZ,X600985.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0,0,0,0,0,-0.017868687169362,0,0,0,0,0,0,0,0,0,0.0186210338767098,0,0,0,0,0,0,0.0424430169580665,0,0,-0.00623853730614622,0.0299067690125356,0.0583371975730731,0,0,0.0305929961105647,0,0,0,0,0,0,0,0.0462344215586774,0,0,0.00210017386779287,0,0,0,0,0.0969809825141744,0,0,0,0,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0.152934375484944,0,0,0,0,0.0932338701900162,0,0,0,0,-0.0143803214389575,0,0.050053703701374,0,0,0,0,0,0,0.213319140205197,0,0,0,0,0.140605585245687,0,8.67361737988404e-19,0,0,0.25340313040917,0.0567754214107413,0,0,0,0.0267664972794455,0,0,0,0,0,0,-0.166000383713328,0,0,0.0309583943678551,0,0,-0.00284379065114175,0,0,0,0,-0.0090963100977049,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0.000378687453486324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476674248042026,0,0,0,0,0,0,0,0,0.361223836550519,0,0.126447866465319,0,0,0,0,0,0.0521276112733759,0,0,0,0,0.132831735969823,0,0,0,0,0,0.0229164934590134,0.0225977572113296,0,0,0,0,0,0
X600801.SH,0,0,0,0.626329678340871,0,0,0,0,0,0,0,0,0,0.158247522207734,0,0,0,0,0.0708158014223442,0,0,0,0,0.0688213476673427,0,-0.044173597897769,0.0589840553987675,0,0,0,0,0,0,0.0420369248332893,0,0,0,0,0,0,0,0,0.0268996714450491,0,0.030990363148623,0,0,0,0,0.0222042588038098,0,0,0.00917859717259735,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0.0747948170545039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146162250905666,0,0.0789563832470533,0,0,0,4.33680868994202e-19,0,0,0.116348553496345,0,0,0,-0.105805167425507,0,0,0,0,0,0.0136468136478444,0,0,0,0,0,0,-0.088163680153813,0,0,0,0,-0.101101565499028,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104665273013437,0,0,0,0,0,0,0,0,0,0.110359003555576,0,0,0.155904245803515,0.106121837586703,0.00734436096303642,0,0,0,0,0.0414766244878866,0,0,0,0,0,0,0,0,0.0597977842088283,0,0,0,0.271445860027107,0,0,0.0509326724987595,0,0,-0.00121448442043539,0,0,0,0.00314884233892633,0,0
X000723.SZ,0,0.314996854539076,0,0,0,0,0.0650281119791297,0,0,0,0.337228484642003,0.30093586716095,0,0,0,0,0,0,0.18380081488826,0,0,0,0.0547064594698337,0,0,0.0841916833494822,0,0.697899425416317,0,0,0,0,0,0.397987893628939,0,0,0,0,-0.241166615046853,0.0972628205510773,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0734687022272964,0,0
X600027.SH,0,0,0,0,-0.0428653647841375,0,0,0.413938330302351,0,-0.140478315905706,0,0,0.0434612104433368,0,0,0,0,0,0,0,-0.0345544764366647,0.100589745197432,0,0.158514953196476,0,0,0.0867494017615116,0,0,-0.0751784148851517,0,0,0,0,0.0325600350909412,0,0,0,0.0406609583915994,-0.0207879869949027,0,0,0,0,-0.0235958330164215,0,0,0,0,0,0,0.0119772390984274,0,0,0,0,0.0360835307508274,0,0
X000786.SZ,0,0,-0.0493015777487384,0,0.159237842813701,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039125404084832,0,0.119357165130211,0,0,0,-0.0134693119610479,0,-0.0846418591282928,0,0,0,0,0.0958121909807912,0,-0.0148856986432926,0,0,0,0,0.0383936158804944,0,0,0,0,0,0.038418555314328,0,0,0,0,0,-0.155813663450671,-0.0348389827736515,0,0,0,0,-0.0300391745689053,0,0
X002271.SZ,0,0,0,0.064060014371149,0,0,0,0,0,0,0,0,0,0.138437179857211,0.152326481942323,0,0,0,0,0,0.364057959163921,0.164599900633994,0.261247937444555,0,0,0,0,0,0,0,0,-0.105916419223692,0,0,0,0,0,0,0,-0.199482599026228,0,0,-0.17398157222959,-0.12012736287859,0,0,0,0,0,0,0,0.0232128468355041,0,0,0,0,0,0,0
