,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600660.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X600160.SH,X600803.SH,X000708.SZ,X600489.SH,X002466.SZ,X600027.SH,X000301.SZ,X601991.SH,X000807.SZ,X000786.SZ,X600426.SH,X000983.SZ,X600176.SH,X600219.SH,X002128.SZ,X601699.SH,X000877.SZ,X000408.SZ,X000630.SZ,X600157.SH,X600096.SH,X601168.SH,X600985.SH,X000933.SZ,X600352.SH,X002353.SZ,X600995.SH,X000883.SZ,X600688.SH,X600549.SH,X600378.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0932972793544961,0,0,0,0,0,0,0,0.0908608240764714,0,0,0,0,0,0.337567872461737,0,0.273375450080631,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.0179282591879829,0,0,0,0,0,0,0,0,-0.0188034851917154,0,0,0,0,-0.0192181313003526,0,0
X601088.SH,0,0,0,0,0.395179007368422,0,0,0,0,0,0,0,0,0,0,0,-0.108293299018562,0,0,0,0,0,0,-0.00774594802497079,0,0,0,0.0505742494507828,0,0,0,0,0,0.134497466755469,0,0,0,0,0.0569796303528376,0,0,0,0,0,0,0,0,0,0,0,0,0.0075138250086768,0,0,0,0,-0.0234738474907075,0,0
X600028.SH,0.0436461948137351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.063997279160544,0,0,0.366803182192078,0,0,0,0,0,0,0,0,-0.022146707222805,-0.00369183868207579,0,-0.0173370887789718,0,0,-0.0431255432644875,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120573739031504,0.0630819966602509,0,0,0.00202758626079612,0.349071562535318,0,0,0,0,0,0,0.00872306459647761,0,0,0,0,0,0,0.185252842663747,0,0,0,0,0,0,0,0,0,0.09143756849278,0,0,0,0,0,-0.0336054890401624,0,0,0,0,0.00485801544959936,0,0
X601898.SH,0,0.666327842567059,0.175805378160857,0,0,0,0,0,0,0,0,0,0,0,0.0533038618076645,0.0547101864824345,0,0,0,0,0,0.159429966432256,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.0352178495558716,0,0,0,0,0,0,0,0,0,0,0.0586154208468937,-0.0208093947722359,-0.0294617573090547,0,0,-0.000135230369398455,0,0
X600660.SH,0.0114889434102087,0,0,0,0,0,0,0.0827242086843506,0,0,0,0,0,0,0,0.0944414361164392,0,0,0,0.271935464233452,0,0,0.114881760401384,0,-0.120671346228328,0,0,-3.46944695195361e-18,0,-0.0768406828065286,0,0,0,-0.0161341084656948,0,0,0,0,0,0,0,0,-0.144752908282811,-0.230213057445895,0.143358362414106,0,0,0,0,0,0,-0.0283898249820448,-0.052116196358309,0,0,0,-0.0315754015678945,0,0
X600019.SH,0.0596483759747782,0,0,0,0,0,0,0,0,0.171876550351966,0,0,0,0,0,0,0,0,0,0,0.00142095853543517,0.0442312578299404,0,0,0,0,0,0,0,0,0,0,0,0,0.357736642271422,0.106410558361655,0,0,0.0286213317992292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454212488776254,0,0
X600188.SH,0,0,0,0.181099864998702,0.14269705017827,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0384386546944386,0,0,0,0,0,0.0432589014709792,0,0,0,0,0,0,0,0,0.132944485111993,0,0,0,0,0,0,0,0,0,0,0.110297499586684,0,-0.0196773496678001,1.35525271560688e-20,0.0126890951876958,0,0,-0.060118043941649,0,0
X600585.SH,0,0,0,0,0.383138824453693,0,0,0,0,0,0,0,0,0,0.00391733898544651,0,0,0,0,0.245996490152997,-0.130401545316821,0,0,0.0627665197254256,0,0,0,0,0.181867579801701,0,0,0,0,0,0,0.330838860938158,-6.93889390390723e-18,0,0.0246591983208558,0,0,0,-0.0623922508109785,0,0,0,0,0,0,0,0,0.0399348615707817,0,0,0,0,0.00708375940183079,0,0
X601600.SH,0,0,0,0,0,0.0887596401926585,0.33563260831119,0,0,0,0,0,0,0,-0.00501967032202613,0,-0.219236543827595,0,1.12148470577816,0,0,0,0,0.0747720214330366,0,0,0,0.371981012227713,0.00138394248155953,0,0,0,0.0391027002950392,0,0,-0.311792889948443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00415733739782996,0,0,0,0,-0.0334920964832358,0,0
