,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X600111.SH,X601991.SH,X600027.SH,X600157.SH,X600188.SH,X600362.SH,X600623.SH,X600886.SH,X002466.SZ,X601992.SH,X600547.SH,X600660.SH,X600299.SH,X000792.SZ,X600309.SH,X600489.SH,X601158.SH,X002075.SZ,X600583.SH,X300072.SZ,X600549.SH,X000883.SZ,X600352.SH,X000709.SZ,X000898.SZ,X000723.SZ,X000539.SZ,X000027.SZ,X000630.SZ,X000012.SZ,X002460.SZ,X002407.SZ,X000983.SZ,X002470.SZ,X000060.SZ,X600021.SH,X600176.SH,X000761.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0708279386381249,0,0,0,0.0648433983357621,0.0497228672869847,0,0,0,0,-0.0232932020557934,0,0,0,0,0,0,0,0.167547689437205,0,0,-0.0260863088626222,0.0508539329073937,0.0217722840450503,-0.00643822406532479,0,0,0,0,-0.0418589740046965,0,0,0,0,-0.0398581421538024,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0155069234088274,0,0,0,0,0,0
X600028.SH,0.0889214195357575,0,0,0,0,0,0,0.0904581676714875,0,0,0,0,0,0,-0.0127646882037844,0,0.0758706259366501,0,0,0,0,-0.00359094690276195,0,0,0,0.0571628006208797,0,0,0,0.18460974607442,0.0115329199013964,0,0,0,0,0,-0.0571560413713923,0,0,0,0,0,-0.0237481079755644,0,0,0,0,0,0,0,0,0.00860568267752058,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.247902475045833,0,0,0,0,0,0.0875308958799748,0,0,0,0.148847565416923,0.0770195531166039,0.13935960711843,-0.045015615772081,0,-0.0721572379685773,0,0,0,0.00216223904862025,0,0,0,0,0,0,0,0,0,0,0.0748174911563244,0,0,0,0,-0.0251337712186095,0,0,0,0,0,0,0,0,0,0,-0.010417383430314,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.059591023803519,0,0,0,0,0,0,0,0,0,0,0,0.148156385790839,0,0,0,0,-0.0193954354414476,0.04683714012704,0.0302977549398723,0,0.0936881109407887,0,0,0,0.0239522625654386,0,0,0,0,0,0,0,0,0,0,0,0.00124522560105961,0,0,0,0,0,0,0,0,-0.00763328162114222,0.00177217364505703,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0.414021737154729,0,0,0,1.73472347597681e-18,0.230994898928497,0,0,0,0,0.0803001539045096,0,0.0291091293328091,0,0,0,0,0,0,0,0,0.00116876226860308,-0.0437919828110874,0,0,0.0409198229308253,0,0,0,0,0,0.00289912021937639,0,0,0,0,0,0,0,0,0,0.0148017979639956,0,-0.153569510500802,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.00059234245027306,0.152579348365335,0.231271291170391,0,0,0,0,0,0,0,0.0340624226638383,0,0,0,0,0,0,0,0,0,0,0.0519286114847003,0,0,0,0,0,0.0470781258254379,0.0808219310929632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00564797320044171,0.0209828105795006,0,0,0,0,0,0
X600585.SH,0,0,0.291275222188519,0,0,0,0,0,0,0,0,0.171058896803411,0,0,0,0,0,0,0,-0.0218850804654904,0,0,0.117168527413526,0,0,0,0,0,0,0,0,0.102179238287564,0,0.248626188978449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.262036179044293,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0.0615294423665308,0,0,0,0,0.00862282933485039,0.094637079063954,0,0,0,0,0,0,0,0,0,0,0.0518897034906032,0.258399476520555,0.0467695939888264,0.0276138666033845,0.335666858518362,0.0046756466204899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904528698114248,0,-3.46944695195361e-18,0.0381391517695428,0,0,-0.0698392968257538,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0494082602186177,0,0.0111779960977063,0,0.0229884404960573,0,0,0,0,0,0,0,0,0,0,0,0,0.146365210436994,0,0,0,0,0,0.00712579363633247,0.00885136625714925,0,0,0,0,0.0705159723148966,0,0,0,0,0.000350113523805103,0,0.204760166740791,0,0,0,0.0860837233725706,0.0376893018184015,0.0947464429632939,0,0,0.00733684559184324,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0891096764709503,0,0,0,0.159447451191611,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964838668531773,0,0,0,0.204242674255145,0,0,0,0,0,0,0,0,0,0.233383837944136,0,0,0,0,0,-0.00284016555137652,0,0,0,0,0,0,0
