,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600010.SH,X600362.SH,X000786.SZ,X600111.SH,X600176.SH,X601600.SH,X601898.SH,X600011.SH,X000301.SZ,X600426.SH,X600886.SH,X002466.SZ,X600188.SH,X600352.SH,X600801.SH,X600219.SH,X601991.SH,X600489.SH,X002353.SZ,X600795.SH,X600803.SH,X002080.SZ,X600688.SH,X600486.SH,X000932.SZ,X600299.SH,X601168.SH,X000898.SZ,X000027.SZ,X600295.SH,X000723.SZ,X600516.SH,X600027.SH,X300037.SZ,X601992.SH,X600157.SH,X600315.SH,X000807.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.192215905800106,0,0,0,0.0164273349273032,0,0,0,-0.0242324728870887,0,0,0,0,0.0183328148142161,0,0.0333262928073046,0,0,0,0.0198003059771702,0,-0.00109819243326994,0,0,0,0.00995558938645782,0,0,0.0607692579828405,0,0,0,0,0,0,0,0.0585823805223022,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00281728783357136,0,0,0,0,0,0,0
X600028.SH,0.101604512096681,0,0,0.00702922245446163,0,0,0.0911116890748431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261734994214362,0,0.0170417971043199,0,0,0,0.0158542576405715,0,0,0.0138484519011794,0,0,0,0.00415180752685895,0,0,0,0,0,-0.0128161251119691,-0.0224476883858072,0,0,0,-0.0563612966883178,0,0,0,0,0.159963400375771,0,-0.00897313515491944,-0.0124251782871184,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0562901704195098,0,0,0,0,0,0,0,0,0.297451353563717,0,0,0,0,0.0144848892725902,0.141042597925573,0,0,0.138576220525863,0,0,0,0,-0.112476013640017,0,0,0,0.0797737626083461,0,0.058104889269777,0,0,0.0541570338257536,0,0.0310031820564789,0,-0.121579864632985,0,0,0,0,0,0,0.00711634871401495,0,0,0,0,0,0,0
X600309.SH,0,0,0.0976174089843953,0,0,0,0.0110441814754941,0.2792265715373,0,0,0,0,0,0,0,0.010314767634913,0,0,0,0.141046385797955,0.107440511950538,0,0,0,0,0,0,0,0,0,-0.146876664488328,0,0,0,0.113745449468704,0,0,0.0745894439377179,0,-0.0737439861989814,0.0170659686860857,0.123127837237481,0,0,0,0,0,0.237598376351882,0,0,0,0,-0.0283313882749176,0,0,0,0.11027132248178,0,0
X600585.SH,0,0,0,0.0365848230983559,0,0,0,0,0,0,0,0,0.0297186731969866,0,0,0,0,0,0,0,0,0,0,0.0294815651617933,0,0.209909907480358,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0998152586516799,0,0,-0.0535470985534096,0,0,0,-0.0908625452917713,0,0,0.00219461393461195,0,0,-0.0153441529583719,-0.00481594535469276,0,0,0,0,0.017915650113777,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0732563120924217,0,0,0,0,0,0,0.160060831118378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595784063585977,0.0790382229194834,0,0,0.522045888979042,0,-0.0526582567656441,0.0864461007255908,0,0.156793254198841,0,0,0,0,0,0,0.0530563287983488,0,0,-0.0961808569173928,-0.0154066368730902,0,0,0,0,0.0785611253445852,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.913379948120596,0.236018157913056,0,0,0,0,0,0,0,-0.0967247656415209,0,-0.335981272571704,0,0,0,-0.113235413658471,0.396512660354332,0,0,0,0,0,0,0,0.306596256643099,0,0,-0.0844382313175026,0,0,0,-0.128748896066526,0,0,0,-0.0799555530831804,0,0,0,-0.043820115901694,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.272861205316044,0,0,0,0,0.0602513821832485,0,0.457866519176694,0,0,0,0.109629387602322,0.136200852925671,0,0.0381844393769031,0,0,-0.0871988869781647,0,0,0,0.0140352384874473,0,0,0,0,0,0,0,0.50100596831855,0,0,0,0.140642068027841,0,0,0,0,0,0,-0.0842702907519956,0,0,0,0.0152377734995284,0,0,0,-0.0911158930659014,0,0
X600660.SH,0,0,0,0,0,0,0,0.108000659443685,0,0.181528778237641,0,0,0,0,0,0,0,0,0,0.0714308902186583,0,0,0,0,0,0,0.0967686258343675,0,-0.175062339882378,0,0,0.134546633885421,0.00549062349906181,0,0,0,0,0,0,0,-0.00253167445913546,-0.0258067504806442,0,0,0.155864850725092,0,0,0,0,0,0,-0.017978184968701,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.129708489192472,0,-0.267043062152253,0,0,0.139720760005057,0,0,0,0,0.0777268775582875,0,0.139801587967265,0,0,0,0,0.000873728894664116,0,0,0,1.73472347597681e-18,0,0.149034335314584,0,-0.0327583315038263,0,0,0,0,0,0.0340048743766506,0,0,0.0146662420892672,0,0,0,0,0,0,0,0,0,0,0.0559948298088584,0,0,0,-0.0392880120468425,0,0,0,0,0,0
