,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600010.SH,X600585.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600309.SH,X601992.SH,X600660.SH,X600111.SH,X600886.SH,X600489.SH,X600299.SH,X000898.SZ,X000792.SZ,X601158.SH,X000723.SZ,X000959.SZ,X000709.SZ,X600583.SH,X002466.SZ,X000408.SZ,X000883.SZ,X600352.SH,X000630.SZ,X600098.SH,X600219.SH,X600623.SH,X000539.SZ,X000027.SZ,X600021.SH,X000983.SZ,X002470.SZ,X000060.SZ,X600549.SH,X600176.SH,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.382675523379728,0,0,0.0654398952931754,0,0,0,0,0,0.0447307735198936,0,0,-0.0271636542975469,0.00539884013285255,0,0,0,0,0.0035935858717825,0,0,0.0199588236552673,0,0,0.0264837790798458,0,0,0,0,0,0.0328761634251148,0,0,0,0,0,0,0,0.127219356977232,0,0,0,0,0,0,0,0,0,0,0,-0.00920193399952663,0,0,0,0,0,0
X600028.SH,0.579787065066066,0,0,0,0,0,0.257109996674594,-0.0424797069444034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323051917503589,0,-0.00639563957154583,0,0,0,0,0,0,0,0,0,-0.046187933087251,0,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.0259106710180632,0,0,0.111347793782382,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.163024952968531,0,0.124172735341816,0,0.0194580539328791,0.138361120057405,0,0,0,0,0,0,0,0,0,0.136407503408073,0,0,0,0,0.0148453495926552,0,0,0.0831675466547749,0,0,0,0,0,0,0,0,0,0,-0.165279851564064,0,0,0,0.105288288143403,0,0,0.0820755363457782,0,0.0235981609271284,0,0,-0.00894200378791423,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.00960369892856585,0,-0.0228092119134269,0,0.304786776512836,0,0.0406723123469228,0,0,0,0,0,0,0,0,0,0,0,-0.0697905351474217,0,0,0,0,-0.0142921182988124,0.0753071968535996,0,0,0,0,-0.0589653891939986,-0.0407130701875162,0,0,0,0,0,0,0,0,0,0,0.0697311923439001,0.0810985261488554,-0.040475692309319,0.0424463631476772,0.0142120670867003,0,0,0,0,0.0266779867222619
X600019.SH,0,0,0,0,0,0,0.384993131906323,0,0,-0.0140383500817349,0,0,0.107541792936704,0.014638944500324,0,0,0,0,0.0352300655982036,0,0,0,0,0,0,0.0308931636282744,0,0.0574699785991999,0,0.0421220333350946,0,0,0,0,0,0,0,0,0,0,0,0,0.218448821883129,0,0,0,0.191935715944091,0,-0.0445453764250835,0,0.0341321444794871,0,-0.526614232513499,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.101881754063523,0,0.0210184409980162,0,0,0,0,0,0.0756744274512986,0,0.0216117733349992,0,0,0,0,0.21332119089388,0.0393112085671803,0,0,0.048398834378998,0,0,0,0,0,0,0,0,0,0.0696144467966111,0,0,0,0.0576087375204808,0,0,3.46944695195361e-18,0,0,0,-0.017552135225586,0,0,0,0,0,0,0
X600585.SH,0,0.418205997801605,0,0,0.0172978533501855,0,0,0,0,0.015359014212728,0,0,0,0,0,0,0,0,0.204141077538844,0,0.178368790061868,0,0,0,0,0.15296908771964,0,0,0.0327431709111435,1.73472347597681e-18,0,0,0,0,0,0,0.149952514757839,0,0,0,0,0,0.100593434345259,-0.0260692004663702,0,-0.134592460725025,0,0,-0.0944028756506408,-0.122553502135564,0,0.0125458349555262,0,0,0,0,0,0
X601898.SH,0,0,0.232760860514703,0,0,0,0,0,0,0,0,0,0,0,0.228852542424958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112695144286289,0,0.275845470591901,0,0,0,0,0,0,0,0.309767223080917,0,0,0,0,0,0,0,-0.00454031571571714,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.0241680461907342,0,0,0,0,0,0,0,0,0,0,0,0.0240958067076983,0,0,0,0,0,0,0.188193407230146,0.00761748944006099,0.0219169256060946,-0.0638883271633751,0,0.509959086112243,0,0,0,0,0.0461394251004808,0,0,0.00335078802416919,0,0,0,0,0.0254916881952499,0.03844682021994,0,0,0.0507687582111981,0,-0.00444735086270448,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.0595674755265333,-0.00703715685130694,0,0,0,0,0,-0.0666939734407797,-0.0308479102991742,0,-0.165411554676737,0,0,0,0.0896122754124632,0,0,1.05643642342279,0,0,0,0,0.00844146265032053,0,0,0,0,0,0,0,0.03782341231012,0,0,0,0,0,0,0,0,0,-0.103651052206558,0,0.144527881426232,-0.046717408951458,0,-0.00764998550793791,0,0,0,0,0,0
