,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600886.SH,X600019.SH,X600795.SH,X601898.SH,X601991.SH,X601600.SH,X600027.SH,X600688.SH,X002075.SZ,X600111.SH,X600157.SH,X600362.SH,X600583.SH,X600188.SH,X601158.SH,X600309.SH,X601992.SH,X000539.SZ,X000027.SZ,X000898.SZ,X000709.SZ,X000883.SZ,X600352.SH,X600021.SH,X600660.SH,X000792.SZ,X600022.SH,X002470.SZ,X000629.SZ,X600863.SH,X600098.SH,X600307.SH,X600578.SH,X600489.SH,X601918.SH,X600612.SH,X600808.SH,X600623.SH,X000825.SZ,X600547.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.766169119104417,0.0815218501282654,0,0,0,0,0,0,0,0,-0.0409590591385182,0,0,0,0,0,0,0,0,0,0,-0.0723556000942879,0,0,0,0,0,-0.00680412572180303,0,0,0,0,0,0,0,0,0,0,0,0.0426056422517938,0,0,0,0,0,0,0,4.33680868994202e-19,-0.0130536001527067,0,0.0433972895396988,0,0,0,0
X600028.SH,0.31817296690466,0,0,0.0597807349117538,0,0.222480089287508,0,0.0561295138056437,0,0,0,0,0,0,0,0,0,0,0,0,0.0014492936727058,0,0,0,0,0,0,0,0,0.100038110775592,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0439686657978836,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.253639386604605,0.287414193055161,0,0.18413240411193,0,0,0.0550604282430783,0,0,0,0,0,0,0,0.0124309324705572,0.0271524850583492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147861458740421,0,0,-0.0322766917407399,0,0,0,0,0,0,0,0,0,0,0,0,0.00426512719027749,0,0,0,0,0,0
X600011.SH,0,0,0.0545798549446477,0,0.0251532987973096,0,0,0,0,0,0.378637005106553,0,0.347674954542603,0,0,0,0,0,0,0.104547116649606,0,0,0,0,0,0,0,0.00654046972815049,0,0,0,0,0,0.077798586873328,0,0,-0.0470080417810875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0147927318117536,0,0,0,0,0,0,0,0,0,0.029717116761355,0,0.275245766012786,0,0,0,0,0,0,0,0,0,0.0350329925807789,0,0,0,0.0902970524260525,0,0,0,0,0,0.0326469506372637,0,0,0.0391465121214217,0.0837129267156222,0,0.0872364568130427,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0.109921400355144,0.0794604350503429,0,0,0,0,0,0.0436540673897073,0,0,0,0.0828704030669877,0,0,0,0,0,0,0.101952490471226,0,0.1054903579014,0,0,0,0,0,0,0.00295649236635532,0,0.230629001959497,0,0,0.0023880993954211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,-2.16840434497101e-19,0,0,0.0055740459292882,0,0,0,0,0,0,0,-0.0028500946398791,-0.185613202616367,0,0,0,0,0,-0.000814532321095114,0,0,0,0,0,0,0,0,0.0138897371443243,0,0,-0.0124117328996974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00722007703302199,0,0,0,0,0,0,0
X600019.SH,0,0,0.256116171691986,0,-4.33680868994202e-19,0,0,0,0,0.163369200814428,0.000468221897605893,0,0.0968054655829689,0.0819497999405614,0,0,0,0,0.0637083575852493,0,0,0.00889092753643643,0,0,0,0.0116976518438506,0,0,0,0,0,0,0,0,0,0,0.0474507598213564,0,0,0,0,0,0,0,0,0,0,0,-0.00808244384712193,-0.0213615435800053,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.08029011087221,0.215400060072268,0,0,0,0,0,0.0125995703994481,0,0.000632481326579657,0,0,0.0865755780849159,0,0.0834677918434924,0,0,0,0,0,0,0,0,0,0,0.155844666430261,0,0,0.225107389136742,0,0,0,0,0.00707829075967238,0,0,0,0,-0.00422266542396918,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0643697994248421,0,0,0,0,0,0,0.170009166249431,0,0,0,0,0,0,0.0650929596442329,0,0.00590836666431077,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229771327925631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
