,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X601992.SH,X002466.SZ,X600027.SH,X000898.SZ,X600516.SH,X600111.SH,X002460.SZ,X600176.SH,X000709.SZ,X600352.SH,X000786.SZ,X600299.SH,X600219.SH,X002271.SZ,X000629.SZ,X600808.SH,X600801.SH,X000825.SZ,X601158.SH,X600489.SH,X000553.SZ,X002110.SZ,X000630.SZ,X600157.SH,X600339.SH,X000883.SZ,X600985.SH,X002470.SZ,X600583.SH,X000723.SZ,X300072.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.188586739026202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149182976381697,0.0894963712440228,0,0,0.00749053952747162,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.00876736892720079,0.0440918570181807,0,0.129686566083231,0,0.0275237870427916,0,0,0,0,-0.00193048464965303,8.67361737988404e-19,0,0,0,0.0257415632015163,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0.0329729777705864,0,0.412603228063032,0,0,0,0,0,0,0,0,0,0,0,0.00267821433659967,0,0,0,0,-0.0588543764341521,0,0.300594924458177,0,0,0,0,0,0,0,0,0,0,0.0040922884373485,0,0.09675857906565,0,0,0.00686697110425833,1.73472347597681e-18,0,0,0.0454490446848369,0,0,0.102873694180755,0,0,0,0
X601088.SH,0,0,0,0,0,0.0406826248086634,0,0.1318100526355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113232069118905,0,0,0.0677614702254189,0.0203963248904638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101679849222301,0,0,0,-0.004575154403927,0.0423574806952005,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035576889546138,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0250999687118149,0,0,0.0768484431773244,0,0,0.485799876401647,0,0,0,0,0,-0.00756010995575708,8.67361737988404e-19,0,0,0,0,0,0,-0.0299873863349475,0,0,-0.00877601232621788,0.0233327401405053,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0409262320127641,0,0.0121769316087967,0.072481883256682,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.100117893523137,0,0.083711748639895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243334640723939,0,0.0552886116640604,0,0,0,0,0,0,0,0,0,0.00254845199052075,0.00747761251625735,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107868589870568,0,0,0.380096891563718,0,0,0,0,0.0358304839135459,0,0,0,0,0,0,0,0.0860561281389945,0,0,0,-0.0312036278858664,0.0756074089350243,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,-4.87292849489932e-05,0,0,0,0,0,0,0,0,0.487553379878215,0,0,0,0.644388415546726,0,-0.193954413619022,0,0,0,0,0,0,0,0,0.0444775436231957,0,0,0,0,0,0,0,-0.0380743150188305,0,0,-0.0331900867780787,-0.141814404597727,-0.0066988813330111,0,0,0.0384950603290871,0,0,0.03362720211603,0.00794733800753102,0.0108974434970167,0,0,0,-0.0163054356591491,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315877213014197,0,0,0,0,0.0327022333561536,0,0.0562416524543316,0.281062410560501,0,0,0,0,0,3.46944695195361e-18,0.284341907419385,0.133030594828097,0,0,0,0.0629061044811055,0,0,0,0,0.0867905254626626,0,0,0,0,0,0,0,0.0853099352980704,0,0,0.0141519932442658,-0.0148379904188317,0,0,0,-0.124895601204035,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373745042277164,0,0,0,0.0465506737992869,0,0,0,0.140420035255948,0.0430943253969607,0,0,0,0.0315572808044589,0,0,0,0,0,0,0,0,0,0,0.0409023033639158,0,0,0,0,0.0556219225899793,0,0,0,0.0889079905252063,0,0,-0.0231319692056925,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.174424094296844,0.0633696096480094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103919887915833,0,0,0,0.0391663739127007,0.0495036129565791,0.0755288794254011,0,0,0,0,0,0,0,0,0,0.0119561751237126,0.00751113077609501,0,0,0,0,0.000200056722088999,0.0648375839815768,0.178890519956963,0,6.7762635780344e-21,0.0247055889557188,0,0,0,0,0,0
