,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600547.SH,X600688.SH,X600188.SH,X600795.SH,X601600.SH,X300072.SZ,X601991.SH,X600157.SH,X600027.SH,X600362.SH,X600309.SH,X600111.SH,X601992.SH,X600886.SH,X600660.SH,X600489.SH,X600623.SH,X002466.SZ,X601158.SH,X000723.SZ,X600299.SH,X000792.SZ,X002075.SZ,X000709.SZ,X000898.SZ,X000408.SZ,X600583.SH,X000959.SZ,X000883.SZ,X000983.SZ,X600352.SH,X600758.SH,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X000630.SZ,X600021.SH,X600126.SH,X601699.SH,X002470.SZ,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.037346543475379,0,0,0.0316774816699222,0,0,0,0.00259185833831904,0,0,0,0.0235482069583517,0.0240648178205886,0,0,0,0,0.00622950086119456,0,0,0,0,0.0170327554069102,0,0,0.0386760639345766,0,0.0164353027611916,0,0,0,0,0,0.00885977331198873,0.0436891602018891,0,0,0,0,0,0.00493075942996708,0,0.030094115892724,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0571586537970339,0,0,0.0361462133167481,0,0.00570332367706821,0,0.0389924553672786,0,0,0.0689407311832449,0,0,0,0,-0.0136821066406636,0,0,0,0,0,0,0,-0.0431664130893907,0,0,0,0,0,0,0,0,0,0,0.0780384895773277,0,0.0451994111602541,0,0,0,0,0,0,0,0,0,0.056460636811948,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.087458604260174,0.0124770111521145,0,0,0.0455765038017172,0,0,0,0,0,0,0,0,0,0.0360976219230601,0,0.0237645420307645,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0509740830201761,0,0.0436481173236248,0,0.0264959938227869,-0.0273724000349481,0,0,0,0,0,0.06575764756412,0,0,-0.0278900845264654,0,0.0367215087468711,0.0184676538984085,0,0,0,0.0308845898106183,0,0
X600011.SH,0,0,0,0,0,0,0.0510494684109792,0,0,0,0.0739198632211517,0,0,0.0663578523294143,0,0,0,0,0.0133670720371489,0,0,0.195343228913005,0,0.0183418403706721,0,0,0,0,-0.215405471989935,0,-0.0746780469390203,0,0,0,0,-0.0412462124918095,0,0,0.180983286954651,0,0,0,0,0,0,0,0,0,0,-0.0667118637067864,0,0,0.0191220153725649,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365809123579276,0,0,0,0,0,0.116842829169566,0,0.0315424928688535,0,0,0,0,0,0,0,0.143506167917932,0,0,0,0,0,0.00743467022678267,0,0.114861012981825,0,0,0.0848126490218638,0,0,0,0,0,0.00741936968574616,0,0,0,0,0,-0.0456575892521795,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.225289270431854,0,0,0,0,0,0,-0.0139416656018008,0,0,0,0,0.0939350393107533,0,0,0,0,0,0,0.0572817154457208,0,0.000166890800057058,0,0,0,0,0.110556012873312,0,0,0.120808700119069,0,-0.14851760091939,0,-0.00973809310918899,0,0,0,0,0,0,0.0823424829018747,0,0,0,0,0.048636722427943,-0.176538316465615,-0.0333416100308546,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0277837811191628,0,0,0,0,0.134132489798539,0,0,0.0770241756491752,0,0,0,0,0.0735914084453019,0,0.0902302001020561,0,0.06350816819467,0,0,0,0,0,0,0,-0.149466215641677,0,0,0,0,0.0972941260432593,0,0,0.131786572729592,0.0376117571088753,0,0,0,0,0,0,0,0,0,0,0,0.0947092919531769,-0.0607577218169166,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634195503389959,0,0,0,0,0,0,0,0,0,0.0693811889828077,0.0422547790985665,0,0.0547600094373765,0.0203844716840391,0,0,0.014171901680511,0,0,0,0,0.00162364430448789,0,0,0,0,-0.208961329886045,0,0,0,0,0,0.0438670274458724,0.343611041807494,0,0.234316823380557,0,0.0509159696839924,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.0840449646353396,0,0,0,0,0,0,0,0,0,0,0,0,0.816436464016129,0.0528355640959079,0,0,0,0,-0.0336362892724953,-0.00261267708648868,0,0,0,0,0,0,0,0,0.0822253013596438,0,0,0,0.11268219219779,0,0,0,-0.0718466720992719,0,0,0,0,0.200797110133586,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0867317691508186,0,0,0,0,0,0,0,0,0,0.111621688117013,0,0,0,0,0,0,0,0.0310197293030922,0,0,0,0,0,0.0240651659861564,0,0,0,0,0,0,0,0,0.0693016295453977,0.209813146873444,0.0740574606401861,0.0101217647351241,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.0307880518501509,0,0,0,0,0,0,-0.0239716991912349,0,0,0,0,0,0,0,0,0,0,0.123121847825463,0,0,0,0,0,0,0,0,0,-0.0931387103540778,0,0,0.541555396529605,0,0,0.172434685861557,0,0,0,0,0,0,0,0,0,0,0.0514230858005544,0.0759405496056937,0,0,0,0,0,0
