,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X600309.SH,X601898.SH,X600688.SH,X600795.SH,X601992.SH,X601600.SH,X300072.SZ,X600660.SH,X601991.SH,X600188.SH,X600362.SH,X600547.SH,X002466.SZ,X600886.SH,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X000898.SZ,X000959.SZ,X600339.SH,X600489.SH,X601158.SH,X002460.SZ,X600299.SH,X000723.SZ,X002271.SZ,X000883.SZ,X600008.SH,X600176.SH,X600219.SH,X600352.SH,X000630.SZ,X000792.SZ,X600578.SH,X000408.SZ,X000539.SZ,X600808.SH,X000027.SZ,X600583.SH,X000786.SZ,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0727757566582966,0,0,0,0,0,0,0,0,0,0.040924968272448,0.195222406767526,0,0,0.0534661572665046,-0.0406797089131098,0,-0.0315642254456759,0.0106748689952414,0,0,0,0,0,0,0,-0.0454420947187495,0,0,-0.0125706577315717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0482583816184861,0.0401086395099374,0,-0.0143530775938811,0.0124286761432159,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0603467964151945,0,0.0190520736011977,0,0,0,-0.0100451621592827,0,0,0,0,-0.147278298696038,0,0,0,0,0,0,0,0,-0.0328079834713566,-0.0798096081020779,0,-0.010235751943912,-8.67361737988404e-19,-0.0192603058744198,0.0692077401912037,0,0.0322939923988368,0,0,0,0,0,0,0,0,0,0,0,-0.0245560229379203,0,0,-0.0040486228185595,-2.16840434497101e-19,-0.136338695450792,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0166219019349124,0.0222338850653561,0,-0.0153060042169338,0,0.0186591322669918,0.0150248331607417,0.00262261165004323,0,0,-0.0184303349666826,0,0,0.0823100030597764,0,-0.0117279174168026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00400609895636917,-0.0167974237427425,0,0,0,0.0141064448461735,0,0,-0.00833128826751445,-0.00910415615350253,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0955071461587668,0.0884285946649279,0.0219554430221552,0,0.0464839630121442,0.0459248509219332,0,0,0,0,0,0,0,0.401522594886163,-0.0456580672029354,0.0855682901488251,0,0,0,0,0,0.0908116646097959,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.028138409966059,0,0,0,0,0,-0.011762683756834,0.029149610103963,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207161433521166,0,0,0.0167153046600049,0,0,0.260895435750053,0,0,0,0,0.0899315563597348,0.0534820583752032,0,0,0.0694982822776311,0,0,0,0,0,0,0,0,0,-0.0286678808350721,0,-0.0324881900187896,0,0,0,0,0,0,0,0.0198046453215946,0.0032033509015489,-0.0513187941117493,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316262743289631,-1.73472347597681e-18,-0.0898510548004819,0,0,0,0.332939683515495,0,0,0,0,0,0.0178160274408201,0.0496367999105132,-0.087307367079414,0,0.0363265602431863,0,0,0.174924248075137,0,0,0,0,0,0,0,0,0.0517017371288411,0,0,0,0,-0.0971720855702159,0.201302705989186,0,0,-0.0163855924336078,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.107692629109749,0,-0.0742242625925525,0,0,0.00267122909269561,0,0,0,0,0,0,0.0573422106303288,0.13058141091612,0,0,0,0,0,0,0,0,0,0.111863297138951,0,0,0,0.0169235506843639,0,-0.0651273642497107,0,0,0,0.0706895251156788,0,0,0,0,-0.00625870983155718,-0.0249153574868241,0,0,0,-0.0852313167262292,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.19769497298625,-0.0420135694511545,-0.221153220670743,0.203662237633993,0.175806257458481,0,0.343625340438415,0,0,0,0.0495546517635397,0,0.0513601128973014,0,0,0,0,-0.0684212378802014,0,0,0,0,0,0,0,0.0525551348405461,0,0,0,0,0,0,0,0,0,0,-0.0538180337678236,0,0.055570528157181,0,-0.0139437392099404,-0.0319395811849701,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590052938338598,0,0,0,0,0,0,0,0,0,0,0,0,0.199202676198679,0,0,0,0,0,0.0177054143997313,0,0,0,0,-0.025696620824708,0.134277698573245,0,0.024064799468891,0.00729543688511512,0,0.118516951907445,-0.0273337306054951,0.231215114386973,0,-0.00770479344993935,0.00231453272968772,0,0,0,0,0,0
X600688.SH,0,0.179952372678214,-0.0412017073166562,0,0,0.114373097724927,0,0,0,0,-0.0650598899699274,0,0,0,0.0138901966628189,0,-0.0410119741512184,0,-0.046519796561446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00118915404580805,0,0,-0.00586343781740643,-0.0336430817366475,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0291934821729901,0,0,-0.00964260184946975,-4.33680868994202e-19,0,0,0.0612332678519923,0,0,0.0577124438166652,0.073089939020567,0,0,0,0,-0.017115032275587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184593830940425,-0.0573582805967324,0.172574448181125,0,0,0,0,0.00160918538120236,0,-0.0124131720653145,0.00317401234585997,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0746439951102136,0,0,0,0,0,-0.186898651806772,0,0,0.579153642626366,0,0,0,0.237093778194716,0,0,0,0,0,0,0,0,0.34117471581939,0,0,0,0,0,0,0,0,0,0,0.270541075492533,0,0,0,-0.0377275991800394,0,0,0,0,0,0,0
