,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600688.SH,X600795.SH,X601991.SH,X600623.SH,X600027.SH,X600362.SH,X600157.SH,X600886.SH,X600111.SH,X601992.SH,X600188.SH,X002466.SZ,X600299.SH,X600660.SH,X000792.SZ,X601158.SH,X600547.SH,X000709.SZ,X600583.SH,X000539.SZ,X600309.SH,X000883.SZ,X600489.SH,X000898.SZ,X000027.SZ,X600352.SH,X000630.SZ,X002470.SZ,X000629.SZ,X002075.SZ,X300072.SZ,X000983.SZ,X000060.SZ,X000959.SZ,X600098.SH,X600160.SH,X600176.SH,X600021.SH,X600610.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.149247330040732,0,0,0,0,0.0542610626951158,0,0,0.0887019932242563,0.130717795757942,0.0368172871732382,0,0,0,1.73472347597681e-18,0,0,0.0138881622732678,0,0,0,0,0,0,0.0287820904042767,0,0,0,0,0,0,0.0079667359597147,0,0,0,0.00657976093519941,0,0,0,0,0,0,0.00714711262745451,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0468045420320219,0,0,0,0,0.0154317256424706,0,0,0,0.118966517297814,0.0755306470064991,0,0,0,0,0,0,0,0.106481783046749,0,0,0,0,0,0,0,0,0,0.0521767819205156,0,0,0.0564774658756458,0,0,0.0181334728412365,0,0,0,0,0,0,0.0100372635281472,0.00533735295971515,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.485403140030216,0,0,0,0,0.0377121594182065,0,0,0.161972498905541,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.152639629353057,0,0,0,0,0.000312156862978391,0,0,0.0250741788385119,0.0481376431980986,0,0,0,0,0,0,0,0,0,-0.0148959584176072,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.155790382272378,0,0.10382261783896,0,0,0,0,0,0,0,0,0,0,0,0,0.0307992465997295,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0544005857990358,0,0,0,0,0,0,0,0,0,0,0.123239502647387,0,0,0.134818660851506,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371092350414224,0,0.137578509112739,0,0,0,0,0,0.00553183479276089,0.182291112332918,0,0,0,0,0,0,0,0,0.248046107875806,0,0.0948942961214484,0,0,0,0.14567065700081,0,0,0.0252488934294352,0,0,0,0,0,0,-0.0251488904750304,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.315432037209608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372607540941588,0,0.042662561055706,0,0,0,0.0350195252250161,0,0.119114468217775,0.0337450262555883,0.157914173246653,0,-0.0121449665965484,0,0,0,0,0,0,-0.0318417044549869,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0782682750327373,0,0.129114947569994,0.0431428653471481,0,0,0,0,0,0,0.210442750776107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565005655053423,0,0,0,0,0,0,0,0,0.0791405676002522,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.00274828439648552,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0285433008806636,0,0,0.102893033330863,0,0,0,0,0,0.12693611015607,0.00669102804016078,0,0,0,0,0,0,0,0.0321094109602395,0,0,0,0,0,0,0,0,0.0486604406831093,0,0,0,0,0.1071236587034,0,0,0,0.153159186796253,0,0,0,0,0,0.0568187499173162,0.148142942825784,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.107671936320377,0,0,0,0.0284608974296477,0,0,0.0417750883875153,0.261330097212043,0,0.0685181001021428,0,0,0.0230364356392869,0,0,0,0,0,0.00360053717447455,0,0.00241957488427381,0,0,0,0,0,0,0,0,0.139165994603906,0,0,0,0,0,0,0.10842092810607,0.0312096975446852,0,0.02187546207607,0,0,-0.00984974048573199,-0.0221344498410896,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.156359491040403,0,0,0,0,0,0,0.0565321962935046,0,0,0,0,0.0452684890893922,0,0,0,0,0,0,0,0,0,0,0,0,0.071858015593643,0,0,0,0,0,0,0,0.0488945302565239,0.215478932400355,0.0724302627969618,0,0.111971555156338,0,0,-5.42101086242752e-20,0.0177596647701543,0,0,0,0,0,0,0,0,0
