,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X002466.SZ,X600111.SH,X600623.SH,X600188.SH,X600362.SH,X600157.SH,X600886.SH,X600547.SH,X601992.SH,X600299.SH,X000792.SZ,X600660.SH,X600309.SH,X601158.SH,X600489.SH,X600583.SH,X000883.SZ,X000709.SZ,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000723.SZ,X002460.SZ,X000027.SZ,X600549.SH,X000630.SZ,X002407.SZ,X002470.SZ,X002075.SZ,X600021.SH,X000012.SZ,X000983.SZ,X600176.SH,X600098.SH,X000629.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.11242346132909,0,0,0,0,0.00393780434994203,0,0,0,0.109994974172862,0.00494273900561588,0.0136978687673068,0,0,0,0,0,0,0,0.027410053322448,0,0,0.182756102682522,0,0,0.0663956112811092,0,0,0,0,0,0,0,0,0,0,0,0,0.0507764551955919,0,0,0,0,0.035957584515345,0,0,0,0,0.0056950735986948,4.33680868994202e-19,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0813036688053394,0,0,0,0,0,0,0,0,0,0,-0.00519868931282968,0,0,0,0,0,0,0.0950105380822985,0,0,0.294946282816104,0,0,0,6.93889390390723e-18,0,0,-0.0554019234338897,0,0,0.0186821707732394,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,-0.00744221802758403,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.318656954393157,0,0,0,0,0,0,2.77555756156289e-17,0,0.0652677162275235,0,0,0,0,0,0.00185582312503716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116997797350504,0,0,0,0,0,0,0,0,0,0,0,0,0.112129963782663,0,0,-0.0382821744891948,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0660448496092216,0.0475145607265148,0,0.0318293036663966,0,0,0.387710355930479,0,0,0,0,0,0,0.0799333199754282,0,0,0,0,0,0.0671672481850273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00551666490349731,0,0,0,0,0,0,0,0,-0.0120702943838359,-0.00951833987088045,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249043438299773,0,0,0,0.0255077715686336,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0249026647491088,0,0.0242314992308379,0,0,0,0,0.171403998099722,0,0,0.149100085643797,0,0,0,0,0,0.0757299059270021,0,0,0,0.0371494599391246,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0439082744760297,0,0,0,0,0,0,0,0.0389301370125592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383159446435396,0.172212866694822,0,0.00688594001032562,0,0,0.119409872556109,0,0,0,0,0,0.0753663375485335,0,0,0,0.0383951372343839,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.123931430275758,0,0,0,0,0,0,0,0,0,0,0,0.201861372988362,0.039438155044835,0,0,0,0,0,0.19888681887171,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159943372060141,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257470902981578,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156014953701851,0,0.0120143244231464,0,0.0348878861374317,0,0,0,0,0,0.207599124872798,0,0,0,0,0.265689808722039,0,0,0,0,0,0,0,0,0,0,0.0203649900308664,0,0,0,0.0354329835075919,0,0.177369756280586,0.0237524132614466,0,-0.0597437520229732,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176679123328448,0,0,0.0287577030397875,0.0506632334829318,0,0,0,0,0,0.173076370293946,0,0.105921792400598,0,0.188747086724657,0,0,0.0610018752364381,0,0,0,0,0,0,0,0,0,0.0581003830767759,0.105465181588798,0.0692518842780392,0.0574695818216679,0,0,-0.0177472075206453,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,-0.108922999618946,0.038207304548655,0,0,0,0,0,0,0,0,0.22474163342376,-0.0906416077610931,0,0,0,0,0,0.267790354647575,0,0,0,0,0,0,0,0,0.0932729786774434,0,0,0.241158963870342,0,0,0.136678612150683,0,-0.0166461080707748,0,-0.0525020668210625,0,0,0,0,0,0,0,-0.020063517477762,0,0,0.0241212568716635,0,0,0,0,0
