,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X601898.SH,X600585.SH,X601600.SH,X600795.SH,X600886.SH,X601991.SH,X600688.SH,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X002075.SZ,X000898.SZ,X601158.SH,X000027.SZ,X600021.SH,X000539.SZ,X601992.SH,X600309.SH,X000629.SZ,X000883.SZ,X600352.SH,X002353.SZ,X600022.SH,X601918.SH,X600098.SH,X600307.SH,X000060.SZ,X000792.SZ,X600808.SH,X002470.SZ,X600863.SH,X000878.SZ,X600660.SH,X600578.SH,X000825.SZ,X600489.SH,X600160.SH,X600547.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.956547123859841,0.0250375064954762,0,0,0,0,0,-0.0379536642495191,0,0,0,-0.0053259728080229,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0726788532918271,0,-0.0427697685856271,0,-0.0455692643470098,0,1.73472347597681e-18,0.043901457810129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188685994153887,-0.0511913288402912,0,0.0981762093471387,0,0,0,0
X600028.SH,0.489756907598946,0,0.060921566902385,0.0475643168071156,0,0.112809753612217,0,0,0,0,0,0,0,0,0,0,0,0,0.0271431400788972,0.0441782619435421,0,0,0,0,0,0,0.0371440629936071,0,0,0,0,0,0.0144192999649893,0.0627749347663749,0,0,0,0.0180519312667887,0,0,0,0,0,0,0,0,0,0,0,0.0179378813671881,0,0.0911153711321161,0,0,0,0,0
X601088.SH,0,0,0,0.217472431350628,0,0.149770685187163,0.195154194631653,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0947831420581642,0,0,0,0,0,0,0,0,0,-0.00764136700879896,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.264551367775364,0,0,0,0,0,0,0,0,0.0303246891904247,0.0961770729060462,0.14191365987365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.174716918759799,0,0.00628077701188909,0,0,0,0,0,0,0.202885777810536,0,0,0,0.0166102487056368,-0.023086376720613,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.253892628340865,0,0.0892482544243238,0,0,0,0,0.0736010316925166,0,0,0,0,0,0,0,0.123870587787176,0,0,0,0,0,0,0,0,0,0,0,0.0192085300199326,0,0,0,0,0.0916020494969633,0,0,0,0,0.206190963103464,0,0,0,0,0,0,-0.0041793155454003,0,0,0,0,0,0
X600019.SH,0,0.051675297835345,0.217938908396075,0,0.0311325208118214,0,-6.93889390390723e-18,0,0,0,0,0,0.081632883484459,0,0,0,0,0,0,0,0,0.181113180073401,0.0198271437812282,0,0,0,0.0458727100984013,0.0719978543645734,0,0,0,0,0,0.0567045924333908,0.0632388717119763,0,0.0459194704965453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,-0.0355756515723668,0,0,0,0,0,0,0,0.210398839644515,0,0,0,0,0,0,0,0,0,0.31719473860942,0.223774403943042,0,0,0,0,0,0,0,0.0604979638395449,0,-0.168235320271477,0,0,0,0.0303428823641336,1.0842021724855e-19,0,0,0,0,0,0.231831769609632,0,0,0,0,0,0,0,0,-0.00911093817701968,-0.0371732304925963,0,0,0,0,0,0
X600585.SH,0,0,0.0851667014143784,0,0.0683826613636413,0,0,0,0,0,0,0,0,0,0,0,0.00063706338141987,0,0,0,0,0.183960537693467,0,0.016982403753928,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0611512781017868,0,0,0,0,0,0,0.289837636669824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0506530878717703,0,0,0,0,0,-3.46944695195361e-18,0.080174842495323,0,0,0,0,0,0.0712704132801812,0,0.0769295472112009,0,0.0732944832077717,0,0,0.0205305178358676,0,0,0,0,0,0,0.0265797362608132,0,0,0,0,0.0315711713983493,0,0,0,0,0.127360199312927,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.204574002497052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701901120050521,0,3.23614903204337e-05,0,0,0,0.072098240560497,0.0182310107091178,0.00313098974264689,0,0,0,0,0,0.218535951523318,0,0,0.128781895272193,0,0,0,0,0,0,-0.00156442291279186,0,0,0,0,0,0
X600886.SH,0,0,0,0.0251691421197389,0,0,0,0,0,-0.0216280118092563,0,0,-0.00220054426739774,0,0.355594197693532,0.0117073105340233,0,0,0,0,0,0,0,0.0383043914878976,0,0.0657520286901598,0,0,0,0,0,0,0,0,0,-0.0362278188476803,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727692074145936,0.0329244420125505,0,0,0,0,0,0
