,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X601992.SH,X600352.SH,X600027.SH,X002466.SZ,X000898.SZ,X600111.SH,X600516.SH,X002460.SZ,X600176.SH,X000709.SZ,X000990.SZ,X600299.SH,X000786.SZ,X000629.SZ,X600219.SH,X002271.SZ,X600801.SH,X600808.SH,X600489.SH,X000723.SZ,X601158.SH,X000825.SZ,X000553.SZ,X000883.SZ,X002110.SZ,X600157.SH,X000630.SZ,X600583.SH,X600339.SH,X600985.SH,X000027.SZ,X002470.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0,0,0,0.116102745926998,0,0.189154485022639,0,0,0,0,0,0,0.176530251689166,0,0,0,0,0,0,0,0,0,0.00146090782497972,0,0.00253827749447713,0,0.0154948337416404,0,0,0,0,0,0,0,0,0,0,0,0,0.027852398837854,0,0,0.0414599765217419,0.0233328181725372,0.0212589489063253,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0473886197068545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0840438695614601,0,0,0,0,0.0841954591472465,0,0,0,0,0.036904500613467,0.0161673960901166,0,0,0.137949085373188,0.14314569598062,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.00959350509544942,0.0244100708922004,0,0,0,0,0,0
X600688.SH,0,0,0,0.100656586775013,0,0.0530224893057902,0.081870927859931,0,0,0,0,0,0,0,0,0.0977250923892247,0,0,0,0,0,0,0,0,0,0,0,0.0105567366513337,0,0,0,0,0,0,0,0.0380147494979516,0,-8.67361737988404e-19,0,0,0.000420709277726613,0.156196884045968,0,0,0,0,0,0.0259817365332481,0,0.0533406374063489,0,-0.00401010275372047,0.0242872423121344,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,-0.0333999970549443,0,0,0,0,0,0,0,0,0,0.171642622550337,0,0,0,0.0874972396658341,0.148218805880376,0,0,0,0,0,0,0,0.0427932082207234,0,0,0,-0.0446721608537133,0,0,0,0,0,0,0,-0.0831152137054168,0,0,0,0,0,0,0.0343032785395861,0.00297916606321113,0,0.120575719871414,0.0075013326461522,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.208966813208862,0,0.140487203011995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140034448871901,0,0.0169427377224218,0,0,0,0,0,0.0119705588413988,0.0025586590257735,0,0,0,0,0,0,0,0,0,0,0.0343188386110845,0,0,0.191906910466396,0.0189287962944579,0,0,0,-0.0187486155006697,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.495444510057926,0,0,0,0,0,0,0,0.162716737978786,0,0,0,0,0,-0.101076395962601,-0.00414409733600451,0,0,0,0,0,0,0,0,0,0,0,0.0746434419113712,0.0347015986745328,0,0,0.0202430281764658,0,0,0,0,0,0.0545537404757141,0,0.112350889230899,0,0,0.142336561539623,0,0,0,0,0,0,0,0.0607299888848397,0,0
X600188.SH,0,0,0,0,0,0.0250125936359434,0,0.0963971463687344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392154780792855,0,0.167994536219167,0,0.0699941076258018,0,0,0,0,0.105278746838606,0,0,0,0,0,0,0.0123661859092008,0,0,0,0,0.0765139468956855,0.0353862461443343,0,0,0,0.0566749524358916,0,0,0,-0.000640257934570891,-0.0233806796639881,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0877434586660433,0,0,0,0.19808342439203,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.129157875877097,0,0,0,0,0,0,0.263160462716926,0,0.231679723069721,0,0,0,0,0,0,0,0,0.025162150460907,-0.0209272039632176,0,0,0,0.0590534824123911,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0517855987491804,0,0,0,0,0,0,0,0,0,0,0,0.164781422275652,0,0,0,0,0,0.0421415963097138,0,0,0.0798768092135234,0,0,0,0.0453506438733574,0,0,0,0,0,0.000789318899291312,0,0,0,0,0,0,0,0.073169000384488,-0.164368694808773,0,0,0,-0.0173004331616392,0,0
X600027.SH,0,0,0,0,0,-0.293041164370193,0.323817307653115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0517089414014172,0,0,0.00341424495194256,0.342897557487254,-0.00485616394445964,-0.0667905609693139,0,0,0.20033299169536,0,0,0,0,0,0,0,0,-0.0154609788725369,0,0,0,0,0.0725355219867414,0,0,0,-8.81754270746299e-05,0,0,0,0.0228123615961389,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0321625131288203,-0.106689627093672,0,0,0,0,0,0,0,0,0,0,0,0,0.675713500614105,0,0,-0.0167759038994036,0,0.0822880259219563,0,0,0.0508856737517731,0,0,0,0,0,0.169626207809418,0,0,0,0.0526057530723737,0,0,-0.00453684575326226,0,0,0,-0.0283127057394711,0.000549811571302735,0.0440791264463451,-0.114629770805697,0,0,0,-0.185953940883559,0
X000898.SZ,0,0,0,0,0.159842185359407,0.0467140428205089,0,0,0,0.0353850555034415,0,0,0,0,0,0.0416271350332282,0,0.0986358349164394,0,0,0,0,0,0.119417876567341,0,0.0265549478295547,0.147940818942126,0,0,0,0,0,0,0,0,0,0,0.00272374897801707,0,0,0,0,0.075738399095905,0,0,0,0,0.010831042152836,0,0,0,0.0129028598669636,-0.0147064682109236,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.251005557844846,0,0,0,0,0,0,0,0.0213258647843875,0,0,0,0,0,0,0,0,0.231215357137986,0.185161907390589,0,0,0,0,0,0,0,0,0,0,0,0.0218347441477137,0,0,0,0,0,-0.00185897634861095,0,0,0,0,0.170736281346733,0.0447754588847441,0,0.00463197250389203,0,0,0,0,-0.0739626940524357,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614917633685216,0,0,0,0,0.0677870245582415,0,0.260489235716972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135016669269764,0.0217772547251291,0,0,0.0932747182409313,0.0898786531712181,0,0,0,0.0019740622642641,0.0363082378839844,0,0,0,0,0,0
X002460.SZ,0,-0.0693060853325329,0,0,0,0,0,0,0,0,0,0,-0.0317093814558588,0,0,0,0.148782191966387,0,0,0,0,0.699815526265482,0,0,0.131067479031937,0,0,0,0,0,0.0263103532995461,0.096165286430994,0,0.0455177718122422,0,0,0.329821919218875,0,0,0,0,0,0,0,0,0,0,-0.0401048506400085,0,0.212649571893826,0,-0.0113064115175396,0.0444312539716773,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0.0406538005727368,0,0,0,0,0,0,0,0,0,0,0,0.136704070445661,0,0,0,0,0,0,0.0388138183743765,0,0,0,0,0.097125134338499,0.203173866330011,0,0,0,0,0,0,0.0440931524139353,0,0,0,0,0.0800010490887789,0.0131646938306176,0,0,0.029235932691663,0,0,0,0,0.00697902795088361,0.0232672295381803,0,0,0,-0.0386274429149415,0,0
X000709.SZ,0,0,0,0,0,0,0,0.0973820238113112,0,0,0,0,0,0,0,0.118878695834131,0,0,0,0,0.0449802301345328,0,0,0.128650040342714,0,6.93889390390723e-18,0,0,0,0,0,0.199685360533492,0,0,0,0.138411648978207,0,0,0,0,0,0,0,0.00995998888988719,0,0,0.0609119872538198,0,0,0,0,-0.0155182948728464,0,0,0,0,0,0,0
X000990.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207240768898055,0,0,0,0.203109612589655,0,0,0,0,0,-0.301537943633263,0,0,0.219659772378362,0,0,0,0,0,0,0,0,0,0,0,0.147477674093929,0.0430040696088892,0,0,0,-0.0688371476458839,0.0713777640711935,0,0,0,0.566455932544791,0,0
X600299.SH,0,0,0,0,0,0,0,0.137105312461656,0.111610487640312,0,0,0,0,0,0,0,0,0,0,0,0.0958150659265247,0,0,0,0,0,0.155016521214801,0,0,0,0.0888751151771708,0,0,0,0,0,0,0,0,0,0.170223404215281,0,0,0.0357936271517952,0.0188813261527444,0,0,-0.0924661799653978,0,0,0,-0.00259391001216374,-0.0288205907008941,0,0,0,0,0,0
