,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X601898.SH,X600111.SH,X002271.SZ,X000877.SZ,X002466.SZ,X600010.SH,X600547.SH,X000708.SZ,X601600.SH,X600011.SH,X000301.SZ,X600660.SH,X600362.SH,X600426.SH,X600886.SH,X600176.SH,X000983.SZ,X000786.SZ,X000723.SZ,X600096.SH,X601699.SH,X600803.SH,X600295.SH,X000807.SZ,X000408.SZ,X000630.SZ,X600219.SH,X600795.SH,X000932.SZ,X600801.SH,X600141.SH,X601991.SH,X600985.SH,X600489.SH,X000825.SZ,X601666.SH,X000959.SZ,X600486.SH,X000960.SZ,X000683.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.162397283730916,0,0,0.137744813634747,0,0,0,0,0.0965973069477026,0,0,0,-0.0288529860673192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773130776770684,0,0,0,0,0,0,0.148755595402425,0.0918879982661476,0,0,0,0,0,0,0,0.0622791962295983,0,0.018500494113107,0,0,-0.0158778440466503,0.177160503918392,0,0,0,0,0
X601088.SH,0.0489244616335448,0,0,0,0,0.0692368748567637,0,0,0,0.248212930503751,0,0,0,0,0,0,0,0,0,0,-0.125613368775956,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.322818044774974,0,0,0,0.0390868536237127,0,0,0.0251896789452131,0,-0.011384965543311,0,0.0213596089504644,0,0,0,0.124587650070265,0,0
X600028.SH,0.0875771786929261,0,0,0,0,0.107601643230547,0,0,0,0.0542472872161454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026583461759957,0,0,0,0.132132753146009,0,0,0,0,0.0130760423213036,0,0,0,0.062890783836842,0,0,0,-0.00843388874464568,0,0,0,0,0,0,0
X600309.SH,0,0.0727299761140427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128390829839159,0,0,0.245564651639068,0,0,0.0416700369678506,0,0,0,0,0,0,0,0,0,-0.0250204228756399,0,0.0332593952052568,0,0,0,0,0,0,0,0,0,0,0.0846035549555572,0.054427820328601,0,0,0.0497544452000625,0,-0.0146876116844177,0.0213382140344051,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106619287575826,0,0,0,0,0.00656788905714297,0,0,0,0,0,0,0.444995683980976,0,0,0,0,0.00917614119689509,0,0,0,0.000745805551153659,0,0,0,2.16840434497101e-19,-6.4519579500069e-05,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.0813062709375737,0,0,0,0,0,0,0,0,0,0.00428287321422005,0,0,0,0,0,0.0867411641650849,0,0,0.244549933252028,0,0,-0.0184077705668735,0,0,0,0,0,0,0.00382825514977445,0,0,0,0,0,0,0,0,0.361571969361107,0,0,0,0,0,0,-0.0628100586997408,0.109651078536921,0,0,0,0,0,0
X002460.SZ,0,-0.131708720622162,0,0,0,0,0,0.0744929165293532,0,0,0.252107190804625,0,0,0.536938957853176,0,0,0,0,0,0.153782115636249,0,0,0,-0.117325595746969,0,0,0,0,0,0,0,0,0,0.0255900787911053,0.145655312331216,0,0,0,0,0,0,0,0,-0.239489940041084,0,0,0,0,-0.0500926812675325,0,0.0708754410225457,-2.71050543121376e-20,-0.0243584003029732,0,0,0,0.055684545380579,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0.265539379207479,-0.0343185590245532,0,0.208876213226755,0,0,0,0,0,0,-0.021066906749063,0,0,0,0,0,0,0.355677597465435,0.150799183110983,0,0,0,0,0,0,0,0,0,0,0.135283760088523,0,0,0,-0.250523109056052,0.0565969959483731,0,0,0,0,0,0,0,-0.0160308168590109,0,0,0,-0.0077457465967233,0,0
X600019.SH,0,0,0,0,0.246048450251349,0,0,0,0,0.0257778600306317,0,0,0,0,0,-0.00111820727951555,0,0,0.156340435191787,0,0.0407743740106543,0,0,0,0,0,0,0,0,0,0,0.0773658110472097,0,0,0,0,0,0.238336185375142,0.0131697274618416,0,0,0,0,0.0467375193842489,0.0139161127723354,0,0,0,0,0,0,0,-0.00967091802613443,0,0,0,0,0,0
X601898.SH,0,0.272696126375925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140977005308918,0,0,0,0.0366678689141623,0,0.0717492845684688,0.0185050293686457,0,0.0377236539653976,0,0,0.0129870488171399,0,0,0,0.260076183723669,0,0,0,0,0,0.00638101662062628,0.0380241260595483,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0.340869650683983,0,0,0,0,0,0,0,0.135601938629915,0,0,0.204246797046379,0.0450654869816992,0.197157073918665,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0582058988758581,0,0,0,0.0776120351552045,0,0,0,0.00556331434737293,0,0,0,0,0,0,0,0,0.000963055946788714,0,0,0.0907760671030295,-0.0106910406477001,0,0,0,0,0,0
