,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X600011.SH,X601600.SH,X600309.SH,X601898.SH,X601992.SH,X600688.SH,X600795.SH,X600111.SH,X002466.SZ,X600362.SH,X600188.SH,X600547.SH,X601991.SH,X600660.SH,X300072.SZ,X600516.SH,X600886.SH,X000709.SZ,X002460.SZ,X000898.SZ,X600157.SH,X600027.SH,X000959.SZ,X600339.SH,X600489.SH,X600808.SH,X600219.SH,X600352.SH,X000553.SZ,X002092.SZ,X600549.SH,X601158.SH,X600008.SH,X000883.SZ,X000630.SZ,X000983.SZ,X000792.SZ,X000786.SZ,X002271.SZ,X000807.SZ,X000723.SZ,X600299.SH,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378598537461242,0.0228739899833977,0,0,0,-0.030351200421083,0,0,0,-0.0261726175723998,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0240687684759202,0,0,0,0,0,0.0223394360455406,0,-0.0290158655183213,0,0.0485845489572402,-0.0967240641423813,0,0,0,-0.0074900277199536,-0.00365145806784902,0.0167372055754584,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.168235124737976,0,0,0,0,-0.0500606873039283,0,0,0,0,0,0.0112847734877908,-0.0449539017655294,0,0,0,-0.0171670829376134,0,0,0,0,0,-0.241716873537378,0,-0.0291422383259819,0,0.0426422034699091,0,0,0,0,0,0,-0.0114758788670163,0,0,0,0,0,0,0,0,-0.0983770272403337,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0
X601088.SH,0,0,0,0.00366735198345945,-0.023499171855314,0,0.0227780587867502,0,0,0,0,-0.00978907150479105,0,0,0,0,0,0.0164216641746418,0,0,0.0184900253957257,-0.0121564324608554,0,0,0,0,0,0,0.0173674675296282,0,-0.0232700748164633,0,0,0,0,0,0.00789967483679345,0,0,0,0,0,0,0.0153346852548911,0,0,0,0,0,0,-0.00283885035763341,8.67946924010074e-05,0,0,0,0.0921774300071085,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.287812755098801,0,0,0,0,3.5973730317088e-05,0.0596810931290613,0,0,0,0.140586859312162,0,0,0,0,0.0245807595772658,0.220782777136777,0,0,0,0.0151367498786403,0,0.251414368123057,0,0,0,0,0.0566580132477226,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0079400234755717,0.0400994284562967,0.0286328878364976,0,0,0.0186047116797431,0,0
X600010.SH,0,0,0,0.0623601693392839,0,0,0,0,0,0,0,0,0,0.0870976424512331,0,8.59204787336584e-05,0,0,0,0,0,-0.0296286816327006,0,0.167434858435246,0,0.149421603039863,0,0,0,0,0,0.00311209925746672,0,0,0,0.163333007191324,0.174400275409197,0,0,0,0,0,0,0,0,0.0453369017742518,0,0,0,0,-0.00773966050213697,0.0157474553318427,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,-0.0938843494441045,0.130213933618243,0,0,0,0,0,0,0,0.0859299965638515,0,0,0.252232158522717,0,-0.0584088381345657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235954532957744,0.0743042757577849,0,0,0,0,-0.00247357213033873,-0.0132725399664388,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.064419860865911,0,0,0,0,0,0,0.0207510118431188,0,0.0871982958777199,0.184694063252163,0.00292339718259901,0,-0.0690280981618668,0,0,0.087374140554758,0,0,0,-0.0767743147183725,0,0,0,0,0,0.0336827836388277,0.0208688514984016,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217562803360871,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.00529798284015603,0.112890744063491,0,0,0,0,1.73472347597681e-18,0,0,0.0214438320960463,0,0.0786246165851103,-0.0222215567550515,0.0403141088556337,0,0,0,0,0,0,0,0,0,0.235653328242897,0.341530207112177,0,0,-4.33680868994202e-19,0.15617220301832,0,0,0,0,0.0517856953929738,0,0,0,0.0596431895015686,0,0,0,0,-0.00893492403140061,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117444535800134,0,0.0843995548773662,0,0,0.273685281423944,0.116947899844182,0.0990048945591408,0,0,0,0,0,0,-0.0790331467165303,0,0,0,0,0,0,0.191678538881621,0.00956493094772733,0,0,0,0,0,0,0,0.0358909702616972,0.0880777251716318,0,0,0,0,-0.00135918087531323,0,0.111521695527563,0,0,0,0,0
X601898.SH,0,0,0,0.184498202358397,0,0,0,0.112036524800245,0,0,0,0,0,0.0190584481726919,0,0,0,0,0,0,0,0,0,0.0475599452200879,0,0.261110097809703,0,0,0,0,0,0.0111496773521371,0,0,0.00640858708629423,0,0,0,0,0,0,0.112118032510596,0,0,0,0.0264106779558421,0,0,0,0,-0.0046176877158264,0,0,0,0,0,0,0
