,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600010.SH,X600362.SH,X600188.SH,X600795.SH,X600111.SH,X600886.SH,X600027.SH,X600688.SH,X600309.SH,X601992.SH,X600583.SH,X000898.SZ,X601158.SH,X000792.SZ,X000709.SZ,X000883.SZ,X002353.SZ,X600489.SH,X000539.SZ,X600547.SH,X000630.SZ,X000629.SZ,X000825.SZ,X000027.SZ,X601699.SH,X000831.SZ,X600660.SH,X600352.SH,X600315.SH,X000983.SZ,X600578.SH,X000937.SZ,X600808.SH,X000959.SZ,X600549.SH,X002470.SZ,X600307.SH,X600863.SH,X000878.SZ,X601168.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.678933365057818,0,0,0,0,0,0,0,0,0,0.0583695702763323,0,0,0,0,0.0340486208069197,0,0,0,0,0,0,0,-0.00681558881303092,0.0136424598654558,0,0,0,0,0,0,0,0,0,-0.0300457542097298,-0.0594846216167107,0,0,0,0.0472039687760985,0,0.0388740613165089,0,0,0,0,0,0,0,0,-0.00731409126079241,0,0,-0.0961961559867614,0,-0.0455006540225747,0,0
X600028.SH,0.645469702755552,0,0,0,0,0,0,0,0,0,0,0.012729508528806,0,0,-0.166721203930136,0,0.258003131996338,0,0,0,0,0,0,0,0,0.129170805019125,0,0,0,0,0,-0.0480613263645977,-0.0321951383128071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195570427526328,0,0.0349339771413878,0,-0.02145052834978,0,0,0,0,-0.0659048659375684,0,0
X601088.SH,0,0.102450928946606,0,0,0,0.12765284434947,0.118650523849941,0,0.00578524278199423,0,0,0.0643269262961163,0,0,0,0,0,0,0.0359791237105235,0,0,0,0,0.00323975810105262,0,0.0246447731111248,0,0,0,0,0,0,0,0,0.091906343047958,0,0,-0.032486343149492,0.212880359452424,0,0.0819159014844475,0,0,0,0,0,0,0,0,0,0,-0.00304556228970683,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.220935214179937,0,0,0,0.0308389348413911,0,0,0,0,0,0.342683441531905,0.18743661678742,0,0,0,0,0,0,0,-0.0393924211634469,0.0295794980508688,0,0,0,0,0,-0.055498462316181,0,0,0.0472493453423637,0,0,0,0.00220688284197589,0,0,0,0.0247239997060048,0,0,0,0,0,0,0,0,0.0226719529444734,-0.0437724442748738,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.211014473748291,0.0906352169553096,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0286323283851834,0,0.0336576352178248,0.00541871611384054,0,0,0,0.00689173514320646,0,0,0,0.0346562944859915,0,0,0,0,0,0.0702760807772447,0,0,0,0,0,0,0,0.0268951558973094,0,0,-0.0239865969610204,0,0,0,0,-0.0695556402028436,0,0
X600019.SH,4.33680868994202e-19,0,0,0.139784063609032,0.0994448946262222,0,0,0,0,0,0,0.0944869166229557,0,0,0,0,0,0,0,0,0.0335060053780526,0,0,0.220590649414746,0,0,0,0,0,0,0.148480564497236,-0.0578995390855633,0,0,0,0,0,0,0,0,0,0,0.0877447595594742,0,-0.0586481019591653,0.0492664798757191,0,0.0478957549084606,0,0,0,-0.00854963451382732,0.0117880703987779,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.344047643700254,0.0331331284602922,0,0.0262888604008145,0,0,0,0,0,0,0.0866136841249487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25044603340205,0.124241338747103,0,0,0,0.0247576391827797,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142336994807501,-0.012756126107034,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0594791709855487,0,0.0546845743621694,0,0,0,0,0,0,0.125894161934566,0,0,0,0,0,0,0,0,0,0.0400048425684024,0,0,0,0,0.0921501293514831,0,0.0303755997531093,0.0418731927218514,0,0,0,0,0,0.178940721710299,0,0,0,0,0,0,0,0,0,0,0,0.018378771667944,-0.0428077250306257,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0222087208975388,0.0292921314546932,0,0,0.379075291422739,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027843846941589,0,0,0,0,0,0.106098682010487,0,-0.00165681105688117,0.0589966686467251,0,0,0,0,0,0,0,0.022711776543695,0.0839002895482097,0,0,0,0,0,0.146431052736926,0,0,0.00587053491849501,-0.0118828208406526,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.0826824908589918,0,0.122335414610641,0,0,0,0,0,0,0,0,0.350752702436392,0,0,0,0,0,0,0,0.160567277186579,0,0,0,0,0,0,0,0,0,0,0,0,0.660356288064851,0,0,0,0,0,0.0584251133771248,0,0,0,0,4.33680868994202e-19,0,0,0,-0.092376503631635,0,0,0,0,0,0,0
