,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X000792.SZ,X002466.SZ,X600019.SH,X600011.SH,X600010.SH,X000877.SZ,X600660.SH,X600188.SH,X002271.SZ,X000301.SZ,X601600.SH,X000708.SZ,X600547.SH,X601898.SH,X600886.SH,X600362.SH,X600176.SH,X000408.SZ,X600426.SH,X000723.SZ,X002080.SZ,X601991.SH,X600219.SH,X600795.SH,X000786.SZ,X600803.SH,X600027.SH,X002326.SZ,X300073.SZ,X300037.SZ,X600399.SH,X000831.SZ,X600141.SH,X600516.SH,X600688.SH,X000959.SZ,X600157.SH,X600096.SH,X000027.SZ,X600352.SH,X000825.SZ,X600486.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.112214370139715,0,0,0,0,0,0,0,0,0,0,0,0,0.0872533990143983,0,0.00525921518110192,0,0,0,0,0,0,0,0.00203925616814979,0.138807342231062,0,0,0,0,0,0,0,0.111244543396877,0,0,0,0,0.0330356738337794,0,0.0691301493531742,0,0,0,0.109627882481545,0,0,0,0,0,0,-0.0116044158647774,0,0,0,0,-0.0220735665476866,0,0
X600028.SH,0.0214477315064459,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852795687740896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460735008693132,0,0,0,0,0,0,0.0590765978216558,0,0,0,0.190864561978024,0,0.0977823908649071,0,0,0,0,0,-0.0126146262673882,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.144197855945949,0,0,0,0,0,0,0.21394532979458,0,0,0,0,0,0.407867914277737,0.0694334645811574,0,0,-0.100194168910923,0,0.039177298180764,0,0,0.0962552242267112,0,0,0.029302703278153,0,-0.0867951443915601,0,0,0,0,0,0,0,0.00110323761873717,0,0,0,0,0,0,0,0,-0.00387811977640818,0.0114038461213574,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.119555217777464,0,0,0,0,0,0,0,0,0.006606240635746,0.0559995409601478,0,0,0,0,0,0,0,0.197332995708675,0,0.0795283435919047,0,0,0,0.0669891930676844,0,-0.0418150926260827,-0.0892903700215899,0,0,0,0,-0.0567032008259262,-0.0162320005415161,0,0,0,0,0,0,0,0,0,0,-0.00475454796324442,0.0329349972399876,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.158555772404668,0.448967862246283,0,0,0,0,0.233993941560965,-0.126222760261904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243075371626251,0,0,0,-0.0120682115294115,-0.0258556129716612,0,0,0.199327159999525,0,0,-0.0303110796706648,0,0,0,-0.00636448949467764,0,0,0,0,-0.0480749541589358,0,0
X600585.SH,-0.0735569972937747,0,0,0,0,0,0,0,0,0,0,0,0.261182390673316,0,0.15312970708711,0.182181364941729,0,0,0,0,0,0,0,0.00779131014838999,0.0964106885005239,0.113628516937787,0,-0.100295326665297,0,0,0,0.0216001578868783,0,0,0,0,-0.126224931363761,0,-0.0589534388711135,0,0,0,0.120563149189917,0,0,0,0,0,0,0,0,-0.00402191119529621,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.331360940226694,0,0,0.316707247750354,0,0,0,0.0874175567770974,0.103707717419347,0,0,-0.027376764657777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210146885244097,0.115977849187409,0,0,0,0,0,-0.122543462876066,0,0,0,0,0,0,0.00084106671591445,0.00210993534240445,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.430905818899869,0,0,0,0,0,0,0.209883453907136,0,0,-0.0460773235863209,0,0.113120058945366,0,0,0,0,0,0,0,0.0783505138580695,0.153863386869114,0,0.0468520470625648,0,0,0,0,0,0,0,0.152508818034918,0,0,0,0,0.148821514425428,0.189810387072014,0,-0.239149922493091,0,0,0,0,0,0,0,-0.0504894635735295,0.0297630526729128,0,0,0,0,0,0
X002466.SZ,-0.115462795020352,0,0,0,0.425600649131187,0,0,0.21681032375874,0,0,0,0.0207149285555629,0,0,-0.0482651038624327,0,0,0,0,0,0,0,0,0,0.112590705421504,0,0,0,0,0.0524147937333877,0,0,0,-0.0833823672893089,0,0.0896051347446381,0,0,0.275739444585037,0,0,0,0,0,0,0,0,0,0,0,-0.111869773226639,0.0215284891972225,0,0,0,0,0,0,0
X600019.SH,0,0,0.0208605191510977,0,0,0.0465625435191156,0,0,0,0,0,0,0.103389031487159,0,0.066459063241746,0,0,0,0,0,0,0,0.0332541828146632,0,0.0463471354691064,0,0.0312110494303896,0,0,0.00599971758315468,0,0,0,0,0,-0.0210798823523273,0,0,0,-0.0744812088463358,0.0457738376733077,0,0,0.154261478179739,0,0,0,0.282842212791327,0,0,0,-0.0176789743499772,0,0,0,0,0,0,0
