,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X600886.SH,X601600.SH,X601991.SH,X600688.SH,X600027.SH,X000709.SZ,X600157.SH,X600188.SH,X600362.SH,X002075.SZ,X600583.SH,X600111.SH,X601992.SH,X601158.SH,X000539.SZ,X600309.SH,X000898.SZ,X002353.SZ,X600352.SH,X002470.SZ,X000027.SZ,X600021.SH,X000883.SZ,X000629.SZ,X000878.SZ,X600660.SH,X000792.SZ,X600808.SH,X600578.SH,X600863.SH,X601918.SH,X600307.SH,X000825.SZ,X000060.SZ,X600098.SH,X600489.SH,X600008.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.748851670705746,0.0540103052327895,0,0,0,0,-1.73472347597681e-18,0,0,-0.095714838252696,0,-0.0114294174668701,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294540490615055,0,0,0.0528865554013437,0,0,0,0.0258391543315778,0,0,0,0,0,0,-0.195853394608362,0,0
X600028.SH,0.457573867336807,0,0.0523429073798938,0,0,0.161779778924717,0.010759991901783,0,0,0,0,0,0,0,0,0,0,0,0,0.0329079294608621,0,0,0.00334004203190017,0,0,0,0,0,0,0.0166604436011018,0.00445602404802667,0,0,0,0,0,0,0,0.121161903016169,0,0,0,0,0,0,0,0,0,0,0.0229494633672846,0.091546053604893,0,0,0,0,0
X601088.SH,0,0.267288128105251,0,0.0139089208310137,0.0842751314899318,0,0.106552012930973,0,0,0,0,0.0793896768462338,0,0,0,0,0.00849105483959876,0,0,0,0,0,0,0,0.0710948437523472,0,0,0,0,0,0,0,0,0,0,0.055522326310484,0,0,0,0,0,0,0,0,0,0,0,0,-0.00683892144642349,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.221821024357176,0,0,0,0.0945822996350407,0.115601164861832,0,0,0,0,0,0.0277701575446524,0,0,0,0,0.0295389159477562,0,0,0.0304070331838005,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0747235455110685,0.241589850617801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0701219737598796,0,0,0,0,0,0,0,0,0,0,0.229009605098286,0,0,0,0,0,0,0,0,0,0,0,0.0335215543864155,0,0.084335012806033,0,0,0,0,0,0.244454672421935,0,0,0,0,0,0.159260134713091,0,0,0,0,0,0.00680829419458276,0,0,0,0,0,0,0
X600019.SH,0.0203599062463965,0.0320523928244292,0.191006851012,0.25363812555343,0,0,0,0,0,0,0,0,0.0650416209873019,0,0.0959240043352895,0,0,0,0,0,0,0,0,0,0,0.267308587519084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000807846946472656,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,-0.0367746834923906,0,0,0.109800082288699,0,0,0,0,0,0.510493423059837,0,0,0.308070396635758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104439626402099,0.086322586231328,0.0583777347235576,0.106114377442561,-0.0245026373433492,0,0,0,0,0,0,0,-0.025892765389933,0.0138183820843251,0,0,0,0,0,0
X600585.SH,0.0786272265864132,0,0.10268302246137,0.0759452168306722,0,0.0437063157123902,0,0,0,0,0.134761182827533,0,0,0,0,0,0,0,0,0,0,0,0.0306194610007872,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.288433641749058,0,0,0,0,0,0.00876457381189246,0,0.0249586317066989,0,0,0,0,0,-0.00902997702055753,-0.00250171832670374,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.0447828663172362,0,0.0486999492517307,0.0295039223991997,0,0,0,0,0,0.0632041455156441,0,0,0,0,0,0,0,0,0,0,0.180686682847416,0,0,0,0,0,0,0.160210861454962,0.239701564575932,0,0,0,0,0,0,0,0,0,0.00563207493761575,-0.0025010053719142,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.102699690325384,0,0,0,0,0.0890209057344425,0,0.00681148351784379,0,0.294937634160177,0,0,0,0,0,0,0,0,0.109116965400369,0,0,0,0,0,0,0.0625573848077194,-0.0946065506883004,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.0110956750771956,-0.040550669651133,0,0,0,0,0,0
