,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600585.SH,X600188.SH,X600011.SH,X600547.SH,X601898.SH,X601600.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X002271.SZ,X600426.SH,X000877.SZ,X600362.SH,X600795.SH,X600176.SH,X000807.SZ,X600489.SH,X600803.SH,X000786.SZ,X000983.SZ,X601699.SH,X600027.SH,X601991.SH,X600160.SH,X000932.SZ,X000630.SZ,X000933.SZ,X002080.SZ,X600219.SH,X300037.SZ,X000408.SZ,X000629.SZ,X000539.SZ,X600612.SH,X600688.SH,X600157.SH,X002409.SZ,X600096.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,1.02329107276694,0,0,0,0,0,0,0,0,-0.0954796424206601,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0372274125642319,0.0705295019061802,0,0,0,0,0,0.192180070021472,0,-0.0612959748596044,0,0,0,0,0.0706596426935765,0,0,0,0,0,0,0,0.0607537754388525,0,0,0,0.177842322262841,-0.118228846466592,0,0.0281634595535329,0,-0.0183947990949301,0,0,0,0,0,0,0
X600028.SH,0.593770163562744,0,0,0,0,0.201578844288003,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020654114175459,0,0,0,0,0,0,0,0,0,-0.0841984235783114,0,0.133338164692727,0,0,-0.0234886747960355,0,0,0,0,0,0,0,0.0357710632815953,1.0842021724855e-19,0,0,0,0,-0.184892896837614,0,0,0,0.0300883843513052,0,0,0,0,0,0
X601088.SH,0,0.105236908425519,0,0,0,0,0.219030753126404,0,0,0,0,0,0,0,0,0,0,0.0806185356997839,0,0,0.0807620953348763,0.156549214017616,0,0,0,0,0.074391730077644,0,0,0,0,0,0,0,-0.176965768871939,0,0,0,0,0,0,0,0,0,0,0,0,0.0102516153475077,0,0,0,0,0.0381536922051437,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114011905789441,0,0,0,0,0.0778729103862794,0,0.126800942915047,0,0.046897739881971,0,0,0,0,0,0,0,0,0,0.00778260909125884,0,0,0.0288933336370342,0,0.0300140527878141,0,0,0,0,-0.0116076487618643,0.00513805088561566,0,0,0,0.043118141834569,0,0,0,-0.0048883456394818,0,0,0,0,0,0,0
X600019.SH,0.0307608677595265,0,0,0,0,0.0917522210887489,0,-0.00826285593717464,0,0,0,0,0,0,0,0,0,0,0,0,0.0592520669433999,0.102182478108702,0.154278080880146,0,0,0,0,0,0,0,0,0.218564837095678,0,0,-0.0238777481323668,0.0562006884875281,0,0,0,0.0907927314813043,0,0,0,0,0,0,0,-0.0897309544381699,-0.0360330016091548,0,-0.166047548502767,0,0.0267457112586286,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.123418636193821,0,0,0,0,0,0.189875568408059,0.0286728940700857,0,0,0,0,0,0.0501169546470478,0,0,0,0,0,0,0,0,0,0.346630149719253,0,0,0,0,0,0,0.0453289239310578,0,0,0,0.0271379611673007,0,0.000551721099014613,-0.0477985125159471,0,0,-0.214961807268713,0,0,0,-0.0100919749457562,-0.0334068496603796,0,0,0,0,0,0
X600188.SH,0,0,0.744001175054369,0,0,0,0,0,-0.313542727013353,0,0.178510347814815,0,0,0,0,0,0,0,0,0,-0.13586209267022,0,0,0,0,0,0,0,0,0,0.148664788774984,0.220541485986563,0,0,-0.0358258939680475,-0.0559552515872218,0,0,0,0,0,0,0,0.0755472274069693,-0.196379050322187,0,0,0,0.0443857542494701,0.0487903840909047,0,0,0,0,0,0,0,0,0
X600011.SH,0,0.195653035569937,-0.289460699085512,0,0,0.18627603574088,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.490057524014217,0,0,0,0,-0.0282143716383715,0,-0.0481361664362755,0,0,0,0,0,0,0,-0.0906809759228122,0,0.506879018334462,0,0,0,0,0,-0.304776146462455,0,0,0,0,0.107519530747866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.341106390826238,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.0787776293757292,0,-0.0483890665901084,0,0.04436100342532,0,-0.119528523682927,0,0,0.837490268406854,0.0858522779618733,-0.0568215909087397,0,0,0.0622872968550436,0,-0.00557765108514699,0.00769327783377847,0,0,0,0,0,0,0,0,0,0,-0.196695781825551,0.0757847489497999,0,-0.0837038079312201,0,0,0,0,0,0,0,0,0
X601898.SH,0.0565369635050979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219790547466699,0,0,0,0,0,0,0.127460028086792,0,0.0408852820175722,0.321015536095234,0.0152627189083029,0,-0.088143231303298,0,0.145940864032835,0,0.0708484930300837,0,-0.129941768807902,0,0.076333095816713,0,0,0,0,0,0,0.0680569696913597,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071948782471726,0,0,0.268219001778393,0,0.0826311506365143,0,0,0,0,0,0,0.407616558388804,0.0323557395692637,0,0.0519352620884345,0,0,0,-0.0132594254562159,-0.159263368089521,0,0,0.282156583219742,0,0,-0.0360842173997959,0,0,0,-0.010928381718627,0,0,-0.0273104672386535,0,0,0,0,-0.0111303778748758,-0.087804003747738,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.0710052281661337,0,0,-0.0856266020302375,0,0,0,0,0,0,0,0.00640433179082151,0,0,0,0,0,0,0,0,0,0,-0.00977136121153754,0,0,0,0.103931730842558,0,0,0.0499824813939947,0,0,0,0,0,0,0,0,0.0812479675328689,0,0,0,0,0,0,-0.0595445208830626,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203502486340591,0,0,0,0,0.0904625431888706,0,0,0,0,0,0,0,0,0,0.0030426834147706,0,4.33680868994202e-19,0.0262209294120216,0,0,0,0,0,0.0613738485420868,0.184828424827114,0,0,0,0,0,0,0,0,0,0,0,-0.0324638434055543,-2.16840434497101e-19,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774837766687433,0,0,0,0.100673282974106,0,0,0,0,0,0,0,0,0,0,-0.0350123494521073,0,0,-0.046230431615729,0,0,0,0,0,0,0,0.185751837596442,0,0,0,-0.0293263026468077,0,0,0,0,0,0,-0.0993944183306668,0.0308536647362221,0,0.0492140328938735,0,0,0,0
