,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600688.SH,X600660.SH,X601991.SH,X601600.SH,X600188.SH,X600547.SH,X600886.SH,X600362.SH,X600795.SH,X000898.SZ,X002466.SZ,X600027.SH,X601992.SH,X600516.SH,X600111.SH,X000629.SZ,X600176.SH,X002460.SZ,X600299.SH,X300072.SZ,X000709.SZ,X600339.SH,X600808.SH,X000825.SZ,X600352.SH,X600583.SH,X000553.SZ,X600801.SH,X002110.SZ,X600426.SH,X000786.SZ,X601158.SH,X000301.SZ,X000883.SZ,X600219.SH,X000932.SZ,X600489.SH,X000792.SZ,X601699.SH,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.189161455791308,0,0,0,0.0868049397778421,-0.0624647688102586,0,0,0,0,0.112954714678077,0,0,0,0,0,0,0.00639746191854824,-0.0244485675373471,0,0,0,0,-0.0396518429099972,0,-0.0260867130356547,0,0,0,0.198932655294866,0.0266491914782194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0861906717025816,0.0303237148688808,0.0294281997381297,0,0,0,0,0,0
X600028.SH,0.382024420662079,0,0,0.264776696769203,0.142604659395261,0.0777735455885313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691139540746766,-0.0457661428269894,0,0,0,0,0,0,0,0,0.0454629230039079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027840958138508,0.0465122711157992,0.0388811535962374,0,0,0,0,0,0
X601088.SH,0,0.101416776990015,0,0,0.0164810350656721,0,0.0152063080144347,0,0,0,0,0,0.0881368695948045,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,1.73472347597681e-18,0,0,0,-0.00218670606206999,0,0,0,0,0,0.0453084516283366,0,0,0,0,0,0,0,0,0.0781106109852638,0,0.346070957778389,0.0184488870236617,0,-0.0221463816758261,-0.034262911985849,0,-0.076566180359584,0,0,0,0
X600585.SH,0,0.134356864158631,0,0,0.0910290989026639,0.0294423083293666,-0.0318224287530054,0,0,0,0,0,-0.105747421503997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0247641502291257,0,0,0,0.00605805443231446,0,0.325828035384586,0,0,0.408897766625798,0,0,0,0,0,0,0,0,0,0,-0.0149263584421757,-0.0219451783675308,0,0,0,0,0,0
X600019.SH,0,0.0308654204918531,0,0.0423019776241079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55339436167244,0.0250288963906239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570544069378862,0.205689803363936,0.00408098892199517,3.46944695195361e-18,4.33680868994202e-19,0,0,0,0,0.0878707096442919,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100125568776554,0,0,0.0160379187598355,0,0.782434266951595,0,0,0,-0.0471464033377228,0,0,0,0,0,0,0,0,0.0457077941408346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255230433608074,0.0407119750179545,0,-0.0093724103125432,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,-0.297731009848344,0,0,0.329486893337012,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.256303098812364,0,0,0,0,6.93889390390723e-18,-0.0332476176534798,0,0,0,0.125467204211882,0,0,0,0,0,0.00916411855546782,0.133594904988614,0,0,0,0,0.0575898805628514,0,0.0472627968023655,0,0,0,0.0126821968803212,0.0326129434446422,0,0.301303125562926,0,0,0,0
X600010.SH,0,0,0,-0.0324525313289774,0,0,-0.0329814015117159,0,0,0,0,0,0,0,0,0,0,0,0.205957480648666,0,0,0,0.244109016039868,0,0.0337282819206348,0,-0.0400740908136887,0,0,0,0,0,0.0930722566052996,0,0,0,0,0,0,0,0,0,0,0,0.0383188512813717,0,0.124460818188208,0,0,0,0.00755237494209909,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.23447932979619,0,0,0,0,0,0,0,0,0,0.0345271532643026,0,0,0,0.0729651522054884,0,0,0,0,0,0,0,0,0,-0.0526485162713327,0,0,0,0,0.0398401675509699,0,0,0,0,0.0168718395958768,0.326768558219466,0,0,-0.00546952445866261,-0.00246282993022231,0,0,0,0,0,0
X600688.SH,0,0.294131465259791,0,0,0.0896742086735023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270199469585897,0.0337911405461881,0,0.0365995232827644,0.0203680435189857,0,0,0,0,0,0.0219648077630173,0.0439789350002303,0,0,0,0,0,0,0,0,0.0100512707419684,0,0,0.0134828730132049,0.00961492167680627,0,0,0,0,0,0
