,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X000786.SZ,X600176.SH,X600111.SH,X601600.SH,X000301.SZ,X600011.SH,X601898.SH,X600886.SH,X002466.SZ,X600426.SH,X600188.SH,X600352.SH,X600801.SH,X601991.SH,X600803.SH,X000932.SZ,X600219.SH,X600795.SH,X600489.SH,X002080.SZ,X000027.SZ,X600516.SH,X600688.SH,X600486.SH,X000807.SZ,X600299.SH,X000898.SZ,X002353.SZ,X600315.SH,X601168.SH,X600027.SH,X000723.SZ,X000830.SZ,X600157.SH,X601992.SH,X000630.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.224201772941947,0,0,0,0.0236490175204213,0,0,0,-0.0216075828825719,0,0,4.33680868994202e-19,0,0,0.0183796208185775,0.0284287779833265,0,0,0,0,0,0.0100670572569641,0,0,0,0,0,0,0.00506033893274404,0,0,0,0,0,0,0,0.00260334859421747,0,0,0.0579840914660515,0,0.0609629832037279,0,0,0,0,0,0,0,0,-0.00246197853511611,-2.16840434497101e-19,0,0,0,0,0,0
X600028.SH,0.0218141575456894,0,0,0,0,0,0.0820675938004608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349264032903732,0.00961981767829182,0,0,0,0,0,0,0.0593972286990346,0,0,0,-0.0184621374576926,0,0,0,0.0451690077148438,0,0,0.0293718224246983,0,0,0,0,2.16840434497101e-19,0,0,0.0800970300434982,-0.0465733820644255,0,-0.00750281920695141,-0.0153498364275626,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0296005339582614,0,0,0,0,0,-0.0637772982357562,0,0,0,0,0,0,0.0491334793995396,0,0,0,0.23861300683343,0,0,0,-0.00834009683581433,0.0165745700329324,0.183166244714487,0,0,0,0,0,0,0,0.0101316292317928,0,0,0,0,0.0227775855636535,0,0,0,0,0,0,-0.0253889429032209,0,0.101894573610977,-0.0745991943119726,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.103192619852381,0,0.295067160132594,0,0,0,0,-0.0724029059345722,0,0.0286874471848976,0,0,0.0381378076268302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201699324634146,0,0,0,0,0.139105232373304,0,0,0.0459157302764369,0.16070285532012,0,0,0,0,0,0,-3.68181907969153e-05,0,0,0,0.106732016602117,0,0
X600585.SH,0,0,0,0.0130115561308425,0,0,0,0.0229110785055346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085627820844147,0,0.216675950309677,0,0,0.0457069303814566,-0.00238444089755302,0,-0.0497837422880284,0,0,0.000375055004678645,0,0,0,0,0,0,0.056027860565599,0.028461581642096,0,0,0,0,0,0,0,-0.0398982163923094,-0.0165497326034805,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,-0.0746858158948603,-0.11948427424196,0,0,0,0,0,0,0,0.124693333175183,0.0431649702573059,0.190059733935966,0,0.223154818317087,0,0.0722954780856338,0,0,0,0,0,0.0687547832466604,0.351579831533925,0,0,0,0,0,0.00836898181208624,0,0,0,0,0.12567878174429,0,0.0864587599781944,0,0,0,0,-0.0437310095749687,0,0,0,-0.121239452591048,-0.0287281777054692,0,0,0,0,-0.0349441389934053,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.525850529306891,0,0.15828850015755,0,0,0,0,0,0,0,0,0,0,0.30721564448357,0,0,-0.10158779561186,0,0,0,0,0,0,0.28848466756866,-0.0314179512440293,0.274120051597034,0,0.186223413001867,0,0.0996201774926812,0,0,-0.393658824763954,0,0,0,0,0,0,-0.0215875319357481,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.113490438126295,0,0,0,0,0.138115372768091,0.448240418616367,0,0,0.112716222137538,0,0,0,0.042501334832081,0,0,0,0,0,0.0287882731228125,0,0,0,0,0,0,0,0,0.130215580197244,0,0,0,0,0,0.397042627271989,0,0.180151217449148,0,0,0,0,0.0623966562548583,0,0,0.0259136518570674,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.00554063053852806,0.160862147759293,0,0.101391279731835,0,0,0,0,0,0,0,0.0957253592505273,0,0,0,0,0,0,0,0,0,0.0390357598762501,0,0.0325869366543737,0,-0.182024674485323,0,0,0,0,0.13963704948006,0,0,0,0,0,0,0,-0.0556060436014672,0.038420654711773,0,0,0,0.165702727645749,0,0,-0.0327474915548688,0,0,0,0,0,0
X002271.SZ,0,0,0,0.155672145588279,0,-0.305517353970999,0,0,0.175515383481149,0,0,0,0,0,0.149483760524616,0,0,0,0,0,0,0,0,0.0342347502051811,0,0,0,0,0,0.0736822732911448,0,-0.10227025946396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441982977656346,0,0,0,0,0,0.0240850695303724,-0.0566923892318699,0,0,0,-0.0494484389870711,0,0
