,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600362.SH,X600010.SH,X600188.SH,X600886.SH,X600795.SH,X600309.SH,X600688.SH,X600583.SH,X600027.SH,X002353.SZ,X601992.SH,X000792.SZ,X601158.SH,X000898.SZ,X000629.SZ,X000883.SZ,X000709.SZ,X600489.SH,X600490.SH,X600315.SH,X000825.SZ,X600547.SH,X600352.SH,X000831.SZ,X000539.SZ,X601699.SH,X000630.SZ,X600307.SH,X600660.SH,X000983.SZ,X600549.SH,X000937.SZ,X000959.SZ,X000027.SZ,X600578.SH,X000960.SZ,X600516.SH,X600157.SH,X600863.SH,X000761.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.138324495372142,0,0,0,0.0078272060573177,0,0.123851992889889,0,0,0,0,0,0,0,0,0,0,0,0.00167960051899597,0.0694847736009213,0,0,0,0,0,0.0952753934131923,0,0.00596885801447452,0,0,0,0,0.000181769670371746,0,0,0,5.42101086242752e-20,0,0,0,0,0.0102107822240408,0,0,0,0,0.0347437570833103,0,0,0,0.00648945199257795,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0856463215531258,0,0,0,0,0,0,0,0,0,0,0,0,0.0252702052434613,0,0,0,0,0.0334783587344806,0,0,0,0,0,0,0,0,-0.00719148885749799,0,0,0,0,0,0.0267167006277539,0,0,0,0,0,0,0,0.195420861795773,0,0.0722474845245269,0.0352388682673484,0,0,0,-0.00256858503416854,0.00449248264559061,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0546453150023498,0,0,0,0,0,0,-0.0274888520653804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329718786930038,0,0.0866910474231136,0,0,0.0665243611486882,-0.028070637339124,0,0,0,0,0,-0.00624926236464365,0.0103719103590452,0,0,0,0,0,0
X600585.SH,0,0.038156072396525,0.0925098059448286,0,0,0,0.0725323422299658,0,0,0.0813066645172001,0.0576236336487974,0,0,0,0,0.179585604931128,0,0,0,-0.0480480810715892,0,0.0941718827657668,0,0,0,0,0,0,0.0304795968360434,0,0,0,0,0,0,0,0,0,0,0,0,0.171780795554715,0,0,0,0,0,0,0,0,0,-0.000710223854853748,5.42101086242752e-20,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0370010638614686,0,-0.00862379700339081,0,0,0,0,0,0,0.222828664373635,-0.0893736761864952,0.0871232982551548,0,0,0,0,0.012259318687912,0,0,-0.100409272922889,0.184103227338635,0,0,0,0,0,0,0,-0.00896144907466543,0,0,0,0,0.155752080918193,0,0,0,0.0766332974105988,-0.046728562521046,0,0,0,0.0213411002600205,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0408934075501216,0.0979387981533417,0,0,0,0,0,0,0,0,0,0,0,0,0.117492183157871,0,0,0,0.151549745329072,0,0,0,0,0.115584209704725,0,0,0,0,0,0,0,0.0629137565941036,0,0,0,0.213308809464989,0.0736953750836105,0,0,0,0,-0.0443988842238429,0.218351408326484,-0.0844635049900162,0,-0.0190807138003624,0.039041164617973,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.042240805199164,0.0887420930895068,0,0,0,0,0,0.017907944212169,0,0,0,0,0,0,0,0,0.110862957015043,0,0,0,0.077978637702446,0,0,0.0869475581527878,0,0,0,0,0,0.137163945584488,0,0,0,0.0130866948536502,0,0,0,0.113194050323814,0,0,0,0,0,0.00946069501193776,0,0,0,0.00382674797368872,0,0,0,0,0,0,0
X601991.SH,0,0,0,0.136464448559457,0,0.089959035896885,0,0,0,0.0821403480217815,0,0,0,0,0,0,0,0,0,0.0510115258623464,0,0,0,0,0,0.00946942481879703,0,0,0.00804987665122052,0,0.0484964736346,0,0.0119590138512283,0.0717846960949257,0,0,0,-0.015630089243434,0,0,0,0,0.062049996744795,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0127481020305404,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.0362829795730261,0,0,0.0392394076629494,0,0,0,0,0,0,0,0.0557404869657907,0,0,0.00829518334829785,0.00617429976025528,0,0,0,0,0,0.0277290228157646,0,0,0,0,0.0837760987179228,0,0.0727457733940605,0,0,0.257600524546811,0,0,0,0,0.0672901428362515,0,4.33680868994202e-19,0.00686763763074616,0,0,-0.0064620836645997,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0892951950465034,0,0,0.0245716514607385,0,0,0,0.0840820695602475,0,0,0,0,0,0,0.250555695782096,0,0.346675611502328,0,0.0691161603134396,0,0,0,0,0,0,0,0,0,0.0773224152760634,0.0671918639569277,0,0,0,0,0.0414211078868115,0.107040340507844,0,-0.218869377623208,0,0,0,0,0,-0.0705055206065852,0.0727787650829956,0,0,0,0,0,0
