,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600585.SH,X600188.SH,X002466.SZ,X000792.SZ,X600019.SH,X601898.SH,X600111.SH,X600010.SH,X002271.SZ,X600011.SH,X600660.SH,X000301.SZ,X000877.SZ,X000708.SZ,X600547.SH,X601600.SH,X600886.SH,X600176.SH,X600795.SH,X600426.SH,X600362.SH,X000786.SZ,X600096.SH,X600803.SH,X000723.SZ,X000408.SZ,X000983.SZ,X300073.SZ,X002080.SZ,X601991.SH,X600141.SH,X600486.SH,X600219.SH,X601699.SH,X002192.SZ,X600027.SH,X002353.SZ,X000959.SZ,X600801.SH,X300037.SZ,X600399.SH,X600157.SH,X002497.SZ,X600295.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0752782658412522,0,0,0,0.0537854763514989,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.116089305317822,0.109877659567899,0,0,0,0.0797495906853668,0,0,0,0,0.0433431548225761,0,0,0,0,0.135988419217671,0,0,0,0,0,0.0329018149402728,0.121493354880795,0,0,-0.02516664411129,0,0,0,0,0.00394091878692783,0,0
X601088.SH,0,0,0,0,0,0,0.189284896092931,0,0.0327146132398281,0,0.0737347532631445,0,0,0,1.73472347597681e-18,-0.148392812262715,-0.0515866977211431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330219766610213,-0.0155681496436764,0,0,0,0,0,0.124445538685246,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092717697306729,0,0,0,0,0,0,0
X600028.SH,0,0.0593024444557037,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.151480768502924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545299655838515,0,0,0,0.0400163916982353,0,0,0.0263069625313746,0,0,-0.0147220917088617,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,-0.000243517209022834,0,0,0.165435060803401,0,0,0,0.0217191759282202,0,-0.0499977032854012,0.022022766549719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.107632334726543,0,0,0.142632472473497,0,0,0.014973170657667,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.331423327088864,0,0,0,0.159041378367454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00582126947722724,0,0,-0.025250414186244,0,0,0.0887962590546317,0,0,0,0.159092785458622,0,0,0,0,0.112755831153366,0,0,0,0.0145068153627778,-0.0489271234613579,-0.0522906080293215,0,0,-0.0455143900723694,0,0
X600585.SH,0,0,0,0,0,0,0,-0.0132507101385333,-0.0716168736217331,0,0,0,0,0.0965458397748242,0,0,0,0,0,0.177963028790163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00953327664626932,0,0.0214415449355153,0.418543251942685,0,-0.00237054707569919,0,0,0,0,0,-0.00340541421068365,0,0,0,0,0,0,0
X600188.SH,0,0.342127339308239,0,0,0,0,0,0,0.0383926494750235,0,0,0,0,0,-0.247214983100566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393776158462266,0,0,0,0,0,0,0,0,0,0.0604495967291667,0,0,0.0536915434341106,-0.0829265993663944,0,0,0,-6.93889390390723e-18,0,0
X002466.SZ,0,0,0,0,0.616091214273365,0,-0.0850873402754133,0,0,0,0,0,0,0,0,0,0.0206660735492037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086146795577113,0,0,0.0491915922939434,0.06764031427533,0,0,0,0,0.027175375240648,0,0,0.174596986231222,0,0,0,0.00827591715311856,0,0,0,0,-0.021218319700894,0,0
X000792.SZ,0,0,0,0,0,0,0.156154427749257,0.0820494069464115,0,0,0,0,0,0,0,0,0,0,-0.0425882350026309,0,0,0,0,0,0,0,0.0860656156890681,0.0714994027223815,0,0,0.482862178713166,-0.0892218599980051,0,0,0,0.0538147643408899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0364499665740151,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0276742653607147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176962708056524,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0636887596478881,0.137548878860529,0,0,0,0,0,0.0256682903982105,0,0,0.00454282554268427,0,0,0,0,0,0,0
