,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X600011.SH,X002466.SZ,X000792.SZ,X601898.SH,X600547.SH,X600111.SH,X000301.SZ,X601600.SH,X600660.SH,X000708.SZ,X600010.SH,X002271.SZ,X600886.SH,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600803.SH,X601699.SH,X600176.SH,X000983.SZ,X600027.SH,X601991.SH,X600489.SH,X000807.SZ,X600160.SH,X000786.SZ,X600995.SH,X000629.SZ,X002080.SZ,X600378.SH,X600219.SH,X600096.SH,X000933.SZ,X000723.SZ,X000408.SZ,X000932.SZ,X300037.SZ,X600688.SH,X600141.SH,X600157.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.224780475559389,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.0771080056306018,0,0,0.10568172939785,0,0,0,0.0799201906761921,0,0,0,0.0352583182260628,0,0.0165452283247603,0.0598101586423017,0.0673671578229598,0,0,0,0,0,0,0.0253645284567785,0,0,0,0,0,-0.080227829725848,0,0,0,0,0,0.185800677799225,0,0,0,-0.0145419682910385,0.0377537629297251,-0.0490265476273454,0,0,0,0,0,0
X600028.SH,0.198171150004837,0,0.168175102414769,0,-0.115526361388276,0,0.0355718109342735,0,0,0,0,0.211214588869489,0,0,0,0.0617599001303232,0,0,0,0.033631340182697,0,0,0.0282893284877041,0,0,0.0397414933758974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,-0.0729355334853216,0,0,0,0.0205737275523609,-0.0254652501773261,0,0,0,0,0,0
X601088.SH,0,0.209833607013709,0,0,-0.15975195918351,0,0,0,0,0,0,0.16166018776637,0,0,0,0,-0.132298718662184,0,0,0.02043200784105,0,0,0,0,0,0,0.114947433090996,0,0,0,0.155949032036891,0,0,0,0.0621505261263242,0,0,0,0.0237561602644218,0,0,0.110806380841074,0,0,0,0,0,0,0,0.106812244784264,0,0,0,0,0,0,0,0,0
X600309.SH,0,0.0407760258442283,0,0,0,0,0,0,-0.0954698406922696,0,0,0,0,0,0.103361029295521,0,0,0,0.107090665545244,3.46944695195361e-18,0,0.01733646178281,0.289498371093888,0,0,0,0,0,0,0,0,0,-0.0937730246008316,0,0,0,0,0,0,0,0,0,0,-0.0693128405407826,0.267324645762086,-1.38777878078145e-17,0.213055950194392,0,0,0,0,-0.00449418504381398,0.0358226893058841,0,0,0,0,0,0
X600188.SH,0,0,0,-0.0285070140583039,0,0,0,0,0,0,0,0,0.045765863413672,0,0,0,-0.201882209792306,0,0,0.0640653527327445,0.0726873775495767,0,0,0,0.205885100985765,0,0.113072117005954,0,0.247123333197069,0,0,0,0.189213002777643,0,0,0,0,0,0,0,0,0.146554638210753,-0.413064571605054,0,0,0,0,0,0,0,0,-0.0207760525877667,0.0145200270004826,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906215717771684,0,0,0,0,0.0699161026922115,0,0.437121371688977,0,0,0,0,0,0.0129050257640627,0,0,0,0,0,0,0.0384631011875268,0,0,0,0,0,0,0.0824279962760587,0,0,0,0,0,0,0,0,0.0824719232827011,4.33680868994202e-19,0,0,0,0,0,0,0
X600019.SH,0,0.312923862947527,0,0,0.153730325123989,0.183929409182142,0,0,0,0,0,0,0,0,0.0784354666422468,0.0299608946443673,0,0,0,0.0338442717525971,0,0.170893389444576,-0.123242645550252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0741503335645005,0,0,0,0,0,0,0,0,0,0.00435971878539035,0,0.13065349779538,0,-0.000939385227546669,1.0842021724855e-19,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0103732765595559,0,0,0,0,0.623195676237053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403222045789323,0,0,0,0,-0.0635612812536911,-0.0317385058516838,0,0,0.0574616473390285,0,0,0,0,0,0.187024931758605,0,0.00661216513211185,0,0,0,0,0,0,0.00643237511474457,0,0,0,0,0,0
X600011.SH,0,-0.0989157240146173,0,0,0.0314248910480721,0,0,0.0264522818896837,0,0,0,0,0,0,0.0125999917997312,0,0,0,0,-0.212364923186263,0,0,0,-2.16840434497101e-19,0,0.0805988745774363,0,0,0,0.607296387188464,0,0,0,0,0.235588433159779,0,1.73472347597681e-18,0,0.099807910893616,0,0,-0.0599582457763412,0,0,0,0,0,0,0,0,0,0,0.00103323029695155,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.535903295337879,0,0,0,0,0,0.023976669345632,0,0.0406893691741445,0,0,0,0,0,0,0,0.106836958569918,0,0,0,0,0,0,0,0,0,0,0,0,0.0545331838790675,0,0.0618922735028058,0,0,0,0,0,0,0,0,0,0,0,-0.00670210545399039,-0.0202182513360708,0.0142106880199504,0,0,0,0,0,0
