,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601992.SH,X600795.SH,X600688.SH,X600309.SH,X601600.SH,X300072.SZ,X600660.SH,X601991.SH,X600188.SH,X600362.SH,X600547.SH,X600886.SH,X002466.SZ,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600339.SH,X000898.SZ,X600489.SH,X000959.SZ,X601158.SH,X600008.SH,X000723.SZ,X600299.SH,X002460.SZ,X000883.SZ,X002271.SZ,X600176.SH,X600352.SH,X600219.SH,X600578.SH,X000630.SZ,X000539.SZ,X600583.SH,X000408.SZ,X000792.SZ,X000027.SZ,X600021.SH,X000786.SZ,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.158420241325062,0,0,0,0,0,0,0.0395057140394785,0,0,0,0.202912544374725,-0.00169492727224547,0,0,-0.00079834680606054,0,-0.0422879843478243,0.0962938227102352,0,0,0,0,0,-0.0296467531230023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107236314965564,0,0,0.000392151531503241,0.00527482399122462,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,-0.0271732119412033,0,0.0861306701302851,0,0,-0.00677057666178808,0,0,0.0127021908076676,0,-0.139914636375267,0,0,0,0,0,0,-0.0457385619394957,0.0778612398238712,-0.0652812101073309,0,0,0,0,0,-0.0235008225830712,0,0.060476512169893,0.072639148261063,0,0,0,0,0,0,-0.0199104360563848,0,0,0,0,0,0,-0.00193744706533835,0.00815799012350346,0,0,0,0,0,0
X601088.SH,0,0,0,0.082661717943202,0,0,0,0,-0.020513427412437,0,0,0,0,0,0,-0.0379891165724366,0,0,0,0,0,0,0,0,0,-0.029663285554306,0.204533160670584,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,-0.00079878165330296,-0.0109383012701095,-0.0667451785516144,0,0,0,0,0,0,-0.000769900672224638,-0.0175730451489077,0,0,0,0,0,0
X600019.SH,0,0,0.087874241721659,0,0,0,0,0,0,0,0,0,0,0,0.0680485766968798,0,0.102043716189355,0,0,0,0,0,-0.0182039040511102,0,0,0.109620334518296,0.266688124592045,0,-0.0152194730436426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562000009869009,0,-0.0145008777328197,0.00603559593705196,0,0,0,0,0,0
X600011.SH,0,0,0.152122612236307,0,0,0,0,0,0,0.0563149841068505,0,0,0,0,0,0.30942278548157,0,0,0.0298651096199946,6.93889390390723e-18,0,0.270610259554037,0,0,0,0.0824693089869155,0,0,0,0,0.0600696549864309,0,0,0.0351206130866402,0,-0.0644693393745695,0,0,0,0,0,0,0,0,-0.121905748712284,0,0,0,0,0,0.0183390642004481,-0.0411383261273912,0,0,0,0,0,0
X600585.SH,0,0,0.0950807242756681,0,-0.000957617800411231,0,0,0,0,0,0,0,0,0,0.0297381105841686,-0.0899559229062471,0,0,0,0.00577551094883888,0.132744477109304,0,0,0,0,0,0,0,0,0,-0.0258621334577952,0,0,0,0,0.158542742277442,0,0,0,0,0,0,0,0.196684640547067,0,0,0,-0.0607451326715705,0.0789921429131306,0,0.0388184256453411,0,0,0,0,-0.22025588375742,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0613781232309664,0,0,-0.000739584109797705,0,0.0825708807720333,0,0,0,0,0,0,0,0,0.152316971780124,0.0548941548837241,0,0,0.115820801171308,0,0,-0.0280040043839263,0,0,0,0,0,-0.0570706701380673,0,0,0,0,0,0.0682845084268457,0,0,0,0,-0.0174222571135568,0,0,0,0,0,0,0
X601898.SH,0,0,0.214125603119752,0,0,0,0,0,0,0,0,0,0,0,-0.0219495961344389,0,0.0714749528683269,0,0,0,0,0,0,0,0,0,0.00620899756002585,0,0.0243703742675515,0,0.0263155262474086,0,0,0,0,0,0.0908430146823192,0,0,0.0469616010309223,0,0,0.0274238393260256,0.0443695609142337,0,0,0,-0.0567754397392196,0.296650313174389,0,-0.010560559303106,-0.00686141506524354,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0965443785892266,0.236688764197871,-0.102973578905373,0,-0.15035514178203,0,0,0,0,-0.257937867726579,0,0.488731387701086,0,0,0,0,0.192590581479216,0.0350789032240664,0,0.408945730074056,0,0,0,0,0,0,0,0,0,0,0,0.00132325701213582,0,0,0,0,0.26830137109699,0,0,-0.0260240525543403,0.0555850633352614,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0625761881131828,0,0,0,-0.00836397510870059,0,0,-8.67361737988404e-19,0,0,0,0.0181667756650708,0,0,0.0451610744925488,0,0,0,0.0498816930219713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402531587413901,0,0.161913178794805,0,-0.0818082844781414,0,0,0,0,5.32383871140445e-05,0,-0.0157286344414361,0.00203768212846724,0,0,0,0,0,0
X600688.SH,0,0.274476527234275,0,0,0,0,0,0,0,-0.0130392390224572,0,0.0585045683020179,0,-0.0525987933286116,0,-0.0168822940593445,0,0,-0.0252017616696958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117675887463373,0,0.0470255169159472,-0.0251329906114366,0,0,-0.00708500059343958,0.00994625734570099,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.166937111293195,0,0,-0.224868533600835,0.185416654762665,0.127324162224506,0,0.24517775304915,0,0,0.0302745273262737,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.0720086344335594,0,0,0.0514846245544792,0,0,6.93889390390723e-18,0,0,-0.119471483513796,0,0.215394727366162,0,0,0.101366901287555,0.0322927615669255,0,-0.0184821896743955,0,0,0,0,0,0,0
