,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600111.SH,X600019.SH,X601898.SH,X002271.SZ,X600660.SH,X000301.SZ,X000877.SZ,X600011.SH,X000708.SZ,X600010.SH,X601600.SH,X600547.SH,X600886.SH,X600176.SH,X600795.SH,X600362.SH,X600426.SH,X000983.SZ,X600096.SH,X600803.SH,X000408.SZ,X000723.SZ,X000786.SZ,X600141.SH,X601699.SH,X300073.SZ,X601991.SH,X600219.SH,X600486.SH,X002192.SZ,X002353.SZ,X002080.SZ,X000807.SZ,X600295.SH,X600801.SH,X600157.SH,X600027.SH,X000630.SZ,X000932.SZ,X002497.SZ,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.190309010464255,0,0.0522388858613224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.108734979239526,0,0,0,0,0,0,0,0,0,0,0.148242453814191,0,0.169931110143412,0,0,0,0,0,0,0.0162812231084399,0.143563932348031,0,0,0,-0.00100137182320562,-0.00489647013520372,0,0,0,0,0,0
X601088.SH,0.225686796854394,0,0,0,0.234136281762621,0,0,0,0,0,0,0.143551868453721,0,-0.0575465791200059,-0.0751077412199665,0,0.0770519868864569,0,0,0,0,0,0,0.0773706524130476,0,0.0234808240882358,0,0,0,0,0,0,0.052098639060763,0,0,0.0645184933821794,0,0,-0.0897790230648522,0,0,0,0.0448061102974037,0,0,0,0,0,0,0.0517606692177434,0,0.00723099312656873,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970499565296488,0,0,0,0,0,0.000689003976152766,0,0,0,0.0189360582005918,0.0351109265354405,0,0,0,0,0,0.0131423275631184,0,0,0.0414342649759176,0,-4.33680868994202e-19,0.000303583481988987,0,0,0,0.0614398952699744,0.0249153844340085,0,0,0,-0.0175820207004107,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,-0.0511437990833288,0,0,0.0730275259392577,0,0.0113379215906634,0,0.162844907351356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486708522582525,0,0,0,0.047541626100165,0,0,0,0.161741692508289,0.0302806765333055,0,0,0,0,-0.00452643763383048,0,0,0,0,0,0
X600188.SH,0,0.342299350831183,0,0,0,0,0,0,0.034734831430702,0,0,0,0,-0.00156463474181344,0,0,-0.256022557298606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598295297237698,0,0.328274010879818,-0.0134295600928309,0,0,-0.0583505385193512,0,0,0,0,0.195971739321023,0,0,0,0,0,0,0,0,0.0369169819862313,-0.0386540712609831,0,0,0,0.0220961562306033,0,0
X600585.SH,0,0,0,0.0215387938587871,0,0,0,-0.0283333837073783,-0.0743217060868476,0,0,0,0.11872021688009,0,0,0,0,0,0,0,0.147314002923406,0,0,0,0,0,0,0.0502558016375914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3461820992491,0,0.0686335648700878,0,0.0156113985122478,0,0,0,-0.00909236330848343,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.308524062028615,0.085747141294774,0.150948381799339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114006308999863,0,0,0,0,0,0,-0.0566402738916588,0.0239472445427014,0.0261491445914981,0,0,0,0,-0.00812923060463506,0,0,0,0,0,0,0,0.122739528539187,0.24238999256274,0.0892326973746826,0.0387536422297448,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.0714800053257705,0,0.623174620125787,0,0,0.0520093971055373,0,0,0,0,0,0,0.043051526323228,0,0,0,0,0,0,0,0,0,0.0305745632616249,0,0,0,0,0,0.0606154199592564,0,0,0,0,0.0159141539856921,0.0720528281031084,0,0,0,0,0,0,0,0,0,0.145141407731225,0,0,0.0132029257835983,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.129852632459534,0,0,0.0817074307645946,0,0,0,0,0,0,0,0,0,-0.0236176122642604,0,0,0,0,0,0,0,0,-0.0815780066853117,0.0947934114051752,0,0.375038822134768,0,0,0.0622582287585169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100791780377162,0,0,0,0,-0.038171344038886,0,-0.0538054108833026,0,0,0,0,0
X600111.SH,0,-0.0240625278465721,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.00681718232927579,0,0,0,0.287161460283684,0.119081863206059,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.275465178350906,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0196384996760613,0.271319613429311,0,0,0.0221563086217865,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.055253825042457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123743062506227,-1.73472347597681e-18,0,0,0,0,0,0,0.0204237561848833,0,0,0,0,0,0,0,0,0,0,0,0,0.0291748207428223,0,0,0,0,0,0.00113015211848288,0,0.47586828708175,0,0.0350048124437959,0,-0.0233000842614362,0,0,0,0,0,0,0
X601898.SH,0,0.253111661433734,0,0.129220453056881,0.000171501121815959,0,0,0,0,0,0,0,0,0,0,0,-0.0110988657522756,0,0,0,0.0525541455108833,0,0,0,0,0,0.202110125128495,0.0866858064393011,0,0,0,0,0,0.0389775215301524,0,0,0,0,0,0,0,0,0.0847159912319233,0,0,0,0,0,0,0.0903202015731241,0,-0.00911621106339534,-0.0512624433583818,0,0,0,0,0,0
