,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600188.SH,X600886.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X600583.SH,X600309.SH,X601992.SH,X600352.SH,X000792.SZ,X601158.SH,X000898.SZ,X000709.SZ,X600157.SH,X600547.SH,X002353.SZ,X600489.SH,X000539.SZ,X600008.SH,X000629.SZ,X600808.SH,X600021.SH,X000027.SZ,X600660.SH,X000630.SZ,X600549.SH,X000831.SZ,X000825.SZ,X600219.SH,X600578.SH,X002470.SZ,X600315.SH,X600307.SH,X600098.SH,X000060.SZ,X601699.SH,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.431135030966455,0,0,0,0,0,0,0.0117489431790749,0,0,0.0793525876170837,0.264345587865753,0,0.00809309072516517,0,0,0,0,0,0.00262186792356957,-0.00330556054593223,0,0,0,0,0.0800386035736561,0,0,0,0,0,0,-0.0235689818503122,0,0,0,0,0.0609033277756553,0,0,0,0,0,0,0,0,0,0,0,0.0211118241277524,0.0115291936184505,0,0,0,0,0,0
X600028.SH,0.429492383279457,0,0,0.102070822128115,0,0,0,0,0.184641004049623,0,0,0,0,0,0,0.047445073247271,0,0.0539849313219826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0666329092932962,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.434873059592601,0,0,0,0.203604615910666,0.0253613708317465,0,0,0,0,0,0.0254056263361109,0,0,0,-0.0743068260228912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215068431878496,0.246303232706617,0,0,0,0.00563673315027754,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.00465974063960847,0,0.15067234934745,0,0,0,0,0,0.170326242929826,0,0,0.0752245026999149,0.219852875302668,0.0804210352778865,0,0,0,0,0,0.114848429709681,0,0,0,0,0,0,0,0,0.0361221557354403,-0.0419837661288916,0.051226309923068,0.0849368872093904,0,0,0,0,0.0822333352427412,0.0792397458742883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248064997307884,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.00901011111945403,0,0.0764977474871605,0,0,0.0432722984878386,0.115681492344651,0,0,0,0,0,0,0.134227130213455,0.253577301468041,0,0,0,0,0.0603212068957503,0,0,0.0341026137900179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0621391285325578,0,0,0,0,0.0253756069782063,0.316700005899223,0,0,0,0,0.0316443056931996,0,0,0,0,0,0,0,0,0,0,0,0.0663604649300641,0,0,0,0.0790343656943569,0.0405080340186011,0,0,0,0,0,0.0411366395791796,0,0.112024375908616,0,0,0,0.0368868935477493,0,0,0,0,0,0
X600010.SH,0,0,0,0.116960580336621,0,0,0,0,0,0,0,0.0558119422772974,0,0,0,0,0,0,0,0,-0.0335320025650536,0,0,0.535718369018119,0,0,0,0,0,0,0,0,0,-0.0486249465299711,0,0,0,0.0865825691473823,0.126527466109708,0,0,0,0,0.348039115904392,0,0.07515170125514,0,0,0,0,0.0353858225927823,0,0,0,0,0,0,0
X601898.SH,0,0,0.088525026842109,0,0,0,0,0,0.00546762395678892,0,0.149660212324499,0,0,0,0,0,0,0.0197628036524419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172129193575263,0,0,0.0896494239723567,0,0,0,0,0,0,0.0742340847190898,0,0,0,0,0,0.305068420393015,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.335395517782613,0,0.0871371417407774,0,0,0.0854462251400632,0,0.256010949249641,0,0.138836121190118,0,0,0,0,0,0,0,0,0,0,0,0,0.0414997409683544,0.0654013618364998,0.129392043523485,0.0171608247460871,0,0.0391474408477843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.233511004429861,0,0.219200660938734,8.67361737988404e-19,0.089642570378739,0,0,0,0.173158033396076,0,0,0,0,0,0,0,0,0,0,0,0,0.0370278747901108,0,0,0.0427560543768362,0,6.93889390390723e-18,0.0549549111337638,0,0,0,0.118416954883256,0,0,0,0,0,0,0,0,0.0793526974226099,0,0,0,0,0,0,0,0,0
