,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600011.SH,X600585.SH,X600188.SH,X002460.SZ,X600547.SH,X601898.SH,X601600.SH,X000792.SZ,X002466.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X600489.SH,X000807.SZ,X000983.SZ,X601699.SH,X000786.SZ,X600160.SH,X000932.SZ,X000408.SZ,X600219.SH,X000539.SZ,X002080.SZ,X000629.SZ,X300037.SZ,X600378.SH,X000723.SZ,X600995.SH,X600688.SH,X000933.SZ,X000630.SZ,X600096.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.744192529961957,0.115887265607215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129681796338611,0,0,0,0,0,0,0.0766477247190072,0,0,0,0,0.146682036161802,0,0,0,0,0,0.0161069629981643,-0.243313055369044,0,0.0688785080303754,0,0,0,0,0,0,0,-0.00963031890149546,-0.058509787648738,0,0,0,0,0,0
X600028.SH,0.661800174940863,0,0,0,0,0,0.156080573987994,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210103631725196,0,0,0,0,0,0,0,0,0,0,0,0,-0.0485382695503348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0570824483522226,-0.0187536353296958,0.034417542551353,0,0,0,0,0,0
X601088.SH,0.153353511973767,0,0,0,0,-0.00940205769839322,0,0.346408496980668,0,0,0,0,0,0,0,0,0.0891471439430028,0,0,0,0.0310198802548487,0,0.0457682882964859,0,0,0.295053213386032,0,0,0,-0.0610811980073747,0.0065241506334334,0,0,0,0,0,-0.118955451876165,0,0,0,0,0,0,0,-0.247447373568792,0,0,0,-0.0529867435520932,0,-0.0258873453514194,0.0100468804359813,-3.46944695195361e-18,0,0,0,0,0,0
X600309.SH,-0.0621992609634967,0,0,0,0,-0.0874751100393654,0.0427869593430926,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0319572924455437,0,0,0,-8.67361737988404e-19,0,0.123403465698977,0,0,0,0,0,0,0,0,0,0,0.0307253869668753,0.000523042730497046,0,0,0,0,0.238568619321492,0,0.00868404960982858,0,0,0,0,0.0477700418771022,0,0.0559372917081237,0,0,0.00205229374846034,-0.00489493856708775,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0648449012988763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662565275439352,0.0156873375958549,0.0107699687991741,0,0,0,0.0108962326501878,0,0,0,0.168472094477837,0,0.12387861439673,0,0,0.227680398794093,0,0,0,0,0.0655043524271035,0,0,0,0.0238476534897903,0,0,0,0,0,0,0.0287711214211583,0,0.143621627738603,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0774289019223791,-0.0608767252148665,0,0,0,0,0,-0.0368319654353923,0,0.217015581090661,0,0,0,0,0,0,0,0,0,0,0.314294466192895,0,0.491154042653442,0,0,0,0,-0.172128210224919,0,0,0,0,0,-0.383091026419322,0,0,0.0611296090096561,0,0,0,0,0,0,0.276895868150617,0,0.0823617087962692,-0.0397699494448612,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.295145445242129,0.149073948999219,0,0,0.13202466160087,0,0,0,0,0,0,0,0,0,0,0,0.0215694085169644,0.109556096577024,0,0,0,0,-0.267136800573292,0,0,0,0,0,0,0,0,0,0.130911388052184,0,0.103267188078478,0,0,0,0.0896582677430027,-0.0924799213646859,0,0,0.0366292307744214,0,0,0,0,-0.00759008620768629,-0.0571613333414138,0,0,0,0,0,0
X600188.SH,0,0,0.67589958233914,0,0,0,0,0,0,-0.025296497745132,0.0998854004662255,0,0,0,0,-0.0974016992282964,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45485128771044,0.210711654700305,0,0.211500349360905,0,0.127822309415133,-0.25988139417814,0,0,0,0,0.0658234168488385,0,0,0.224082626653102,0,0,0,0,0,0,0,0.12936872572804,-0.162124591347615,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,-0.00617534259895076,0,0,0,0.58942545796816,-0.0200147201279453,0,0,0,0,0,0,0,0,0,0.0278409982938378,0,0,-0.0317033605305536,0,0,0,0,0,0,0,0.314886320735286,0.213945149637307,0,0.0184171156786427,0,0,0,0,0,0,0,0,0,0.0907276580654054,0,0.0651142809121638,0.0104996018675068,-0.0306755331736687,0,0,0,0,0,0
X600547.SH,0,0.0221321143289064,0,0,0,0,-0.0279209926330134,0.0381539695242015,-0.143978418625463,0,0,0,0,0,0,0,0,0,-0.111517887233511,0,0,0,0,0,0,0,0,0,0,0.650552124736546,0,0,0,0,0,0,0,0,0,0,0,-0.156753917880725,-0.0219726681117224,0,0.0889880557705976,0,0.10902993786907,0,0,-0.234912716090711,0,-0.0103227808107366,-0.0235356554183301,0,0,0,0,0,0
